Date,State,District,Confirmed,Recovered,Deceased,Other,Tested
2020-05-09,Madhya Pradesh,Bhind,1,0,0,0,
2020-05-10,Madhya Pradesh,Bhind,2,0,0,0,
2020-05-11,Madhya Pradesh,Bhind,4,0,0,0,
2020-05-12,Madhya Pradesh,Bhind,8,0,0,0,
2020-05-13,Madhya Pradesh,Bhind,9,0,0,0,
2020-05-14,Madhya Pradesh,Bhind,10,0,0,0,
2020-05-15,Madhya Pradesh,Bhind,12,0,0,0,
2020-05-16,Madhya Pradesh,Bhind,16,0,0,0,
2020-05-17,Madhya Pradesh,Bhind,17,0,0,0,
2020-05-18,Madhya Pradesh,Bhind,19,0,0,0,
2020-05-19,Madhya Pradesh,Bhind,25,0,0,0,
2020-05-20,Madhya Pradesh,Bhind,38,0,0,0,
2020-05-21,Madhya Pradesh,Bhind,42,0,0,0,
2020-05-22,Madhya Pradesh,Bhind,44,2,0,0,
2020-05-23,Madhya Pradesh,Bhind,44,7,0,0,
2020-05-24,Madhya Pradesh,Bhind,48,7,0,0,
2020-05-25,Madhya Pradesh,Bhind,49,7,0,0,
2020-05-26,Madhya Pradesh,Bhind,51,10,0,0,
2020-05-27,Madhya Pradesh,Bhind,51,10,0,0,
2020-05-28,Madhya Pradesh,Bhind,53,12,0,0,
2020-05-29,Madhya Pradesh,Bhind,53,12,0,0,
2020-05-30,Madhya Pradesh,Bhind,56,12,0,0,
2020-05-31,Madhya Pradesh,Bhind,56,12,0,0,
2020-06-01,Madhya Pradesh,Bhind,56,28,0,0,
2020-06-02,Madhya Pradesh,Bhind,57,28,0,0,
2020-06-03,Madhya Pradesh,Bhind,58,33,0,0,
2020-06-04,Madhya Pradesh,Bhind,61,33,0,0,
2020-06-05,Madhya Pradesh,Bhind,70,33,0,0,
2020-06-06,Madhya Pradesh,Bhind,84,33,0,0,
2020-06-07,Madhya Pradesh,Bhind,90,33,0,0,
2020-06-08,Madhya Pradesh,Bhind,104,33,0,0,
2020-06-09,Madhya Pradesh,Bhind,105,51,0,0,
2020-06-10,Madhya Pradesh,Bhind,106,56,0,0,
2020-06-11,Madhya Pradesh,Bhind,110,56,0,0,
2020-06-12,Madhya Pradesh,Bhind,112,58,0,0,
2020-06-13,Madhya Pradesh,Bhind,115,58,0,0,
2020-06-14,Madhya Pradesh,Bhind,115,84,0,0,
2020-06-15,Madhya Pradesh,Bhind,119,84,0,0,
2020-06-16,Madhya Pradesh,Bhind,119,90,0,0,
2020-06-17,Madhya Pradesh,Bhind,124,103,0,0,
2020-06-18,Madhya Pradesh,Bhind,132,103,0,0,
2020-06-19,Madhya Pradesh,Bhind,132,103,0,0,
2020-06-20,Madhya Pradesh,Bhind,138,103,0,0,3266.0
2020-06-21,Madhya Pradesh,Bhind,141,110,0,0,3266.0
2020-06-22,Madhya Pradesh,Bhind,150,111,0,0,3537.0
2020-06-23,Madhya Pradesh,Bhind,151,112,0,0,3655.0
2020-06-24,Madhya Pradesh,Bhind,173,113,0,0,3655.0
2020-06-25,Madhya Pradesh,Bhind,176,113,0,0,3936.0
2020-06-26,Madhya Pradesh,Bhind,189,118,0,0,4093.0
2020-06-27,Madhya Pradesh,Bhind,198,128,0,0,4093.0
2020-06-28,Madhya Pradesh,Bhind,206,129,0,0,4250.0
2020-06-29,Madhya Pradesh,Bhind,211,129,0,0,4512.0
2020-06-30,Madhya Pradesh,Bhind,223,138,0,0,4755.0
2020-07-01,Madhya Pradesh,Bhind,245,138,0,0,4912.0
2020-07-02,Madhya Pradesh,Bhind,255,146,0,0,4912.0
