Date,State,District,Confirmed,Recovered,Deceased,Other,Tested
2020-05-20,Madhya Pradesh,Chhatarpur,2,0,0,0,
2020-05-21,Madhya Pradesh,Chhatarpur,2,0,0,0,
2020-05-22,Madhya Pradesh,Chhatarpur,2,0,0,0,
2020-05-23,Madhya Pradesh,Chhatarpur,2,0,0,0,
2020-05-24,Madhya Pradesh,Chhatarpur,5,0,0,0,
2020-05-25,Madhya Pradesh,Chhatarpur,6,0,0,0,
2020-05-26,Madhya Pradesh,Chhatarpur,9,0,0,0,
2020-05-27,Madhya Pradesh,Chhatarpur,9,0,0,0,
2020-05-28,Madhya Pradesh,Chhatarpur,9,0,0,0,
2020-05-29,Madhya Pradesh,Chhatarpur,17,0,0,0,
2020-05-30,Madhya Pradesh,Chhatarpur,17,2,0,0,
2020-05-31,Madhya Pradesh,Chhatarpur,20,2,0,0,
2020-06-01,Madhya Pradesh,Chhatarpur,29,5,0,0,
2020-06-02,Madhya Pradesh,Chhatarpur,29,5,0,0,
2020-06-03,Madhya Pradesh,Chhatarpur,29,9,0,0,
2020-06-04,Madhya Pradesh,Chhatarpur,29,9,0,0,
2020-06-05,Madhya Pradesh,Chhatarpur,29,17,0,0,
2020-06-06,Madhya Pradesh,Chhatarpur,34,17,0,0,
2020-06-07,Madhya Pradesh,Chhatarpur,36,20,0,0,
2020-06-08,Madhya Pradesh,Chhatarpur,41,27,0,0,
2020-06-09,Madhya Pradesh,Chhatarpur,41,27,0,0,
2020-06-10,Madhya Pradesh,Chhatarpur,41,29,0,0,
2020-06-11,Madhya Pradesh,Chhatarpur,41,29,0,0,
2020-06-12,Madhya Pradesh,Chhatarpur,42,29,0,0,
2020-06-13,Madhya Pradesh,Chhatarpur,42,29,0,0,
2020-06-14,Madhya Pradesh,Chhatarpur,45,34,0,0,
2020-06-15,Madhya Pradesh,Chhatarpur,48,36,0,0,
2020-06-16,Madhya Pradesh,Chhatarpur,48,37,0,0,
2020-06-17,Madhya Pradesh,Chhatarpur,48,41,0,0,
2020-06-18,Madhya Pradesh,Chhatarpur,48,41,0,0,
2020-06-19,Madhya Pradesh,Chhatarpur,48,41,0,0,
2020-06-20,Madhya Pradesh,Chhatarpur,49,41,0,0,1483.0
2020-06-21,Madhya Pradesh,Chhatarpur,50,42,0,0,1483.0
2020-06-22,Madhya Pradesh,Chhatarpur,53,42,0,0,1483.0
2020-06-23,Madhya Pradesh,Chhatarpur,53,45,0,0,1564.0
2020-06-24,Madhya Pradesh,Chhatarpur,53,48,0,0,1564.0
2020-06-25,Madhya Pradesh,Chhatarpur,54,48,0,0,1625.0
2020-06-26,Madhya Pradesh,Chhatarpur,55,48,0,0,1676.0
2020-06-27,Madhya Pradesh,Chhatarpur,56,48,0,0,1676.0
2020-06-28,Madhya Pradesh,Chhatarpur,56,48,0,0,1852.0
2020-06-29,Madhya Pradesh,Chhatarpur,56,53,0,0,1852.0
2020-06-30,Madhya Pradesh,Chhatarpur,56,53,0,0,2001.0
2020-07-01,Madhya Pradesh,Chhatarpur,58,53,0,0,2143.0
