Date,State,District,Confirmed,Recovered,Deceased,Other,Tested
2020-05-15,Madhya Pradesh,Damoh,1,0,0,0,
2020-05-16,Madhya Pradesh,Damoh,1,0,0,0,
2020-05-17,Madhya Pradesh,Damoh,1,0,0,0,
2020-05-18,Madhya Pradesh,Damoh,1,0,0,0,
2020-05-19,Madhya Pradesh,Damoh,1,0,0,0,
2020-05-20,Madhya Pradesh,Damoh,5,0,0,0,
2020-05-21,Madhya Pradesh,Damoh,6,0,0,0,
2020-05-22,Madhya Pradesh,Damoh,6,0,0,0,
2020-05-23,Madhya Pradesh,Damoh,6,0,0,0,
2020-05-24,Madhya Pradesh,Damoh,8,0,0,0,
2020-05-25,Madhya Pradesh,Damoh,8,0,0,0,
2020-05-26,Madhya Pradesh,Damoh,10,1,0,0,
2020-05-27,Madhya Pradesh,Damoh,16,1,0,0,
2020-05-28,Madhya Pradesh,Damoh,16,1,0,0,
2020-05-29,Madhya Pradesh,Damoh,16,1,0,0,
2020-05-30,Madhya Pradesh,Damoh,19,1,0,0,
2020-05-31,Madhya Pradesh,Damoh,24,3,0,0,
2020-06-01,Madhya Pradesh,Damoh,25,9,0,0,
2020-06-02,Madhya Pradesh,Damoh,26,12,0,0,
2020-06-03,Madhya Pradesh,Damoh,26,16,0,0,
2020-06-04,Madhya Pradesh,Damoh,26,16,0,0,
2020-06-05,Madhya Pradesh,Damoh,26,16,0,0,
2020-06-06,Madhya Pradesh,Damoh,26,16,0,0,
2020-06-07,Madhya Pradesh,Damoh,26,18,0,0,
2020-06-08,Madhya Pradesh,Damoh,26,18,0,0,
2020-06-09,Madhya Pradesh,Damoh,26,23,0,0,
2020-06-10,Madhya Pradesh,Damoh,27,23,0,0,
2020-06-11,Madhya Pradesh,Damoh,27,23,0,0,
2020-06-12,Madhya Pradesh,Damoh,27,23,0,0,
2020-06-13,Madhya Pradesh,Damoh,27,25,0,0,
2020-06-14,Madhya Pradesh,Damoh,29,26,0,0,
2020-06-15,Madhya Pradesh,Damoh,29,26,0,0,
2020-06-16,Madhya Pradesh,Damoh,29,26,0,0,
2020-06-17,Madhya Pradesh,Damoh,29,26,0,0,
2020-06-18,Madhya Pradesh,Damoh,29,26,0,0,
2020-06-19,Madhya Pradesh,Damoh,29,26,0,0,
2020-06-20,Madhya Pradesh,Damoh,29,26,0,0,1184.0
2020-06-21,Madhya Pradesh,Damoh,30,27,0,0,1184.0
2020-06-22,Madhya Pradesh,Damoh,30,27,0,0,1219.0
2020-06-23,Madhya Pradesh,Damoh,30,27,0,0,1233.0
2020-06-24,Madhya Pradesh,Damoh,31,27,0,0,1233.0
2020-06-25,Madhya Pradesh,Damoh,32,27,0,0,1278.0
2020-06-26,Madhya Pradesh,Damoh,33,27,0,0,1309.0
2020-06-27,Madhya Pradesh,Damoh,34,29,0,0,1309.0
2020-06-28,Madhya Pradesh,Damoh,36,29,0,0,1368.0
2020-06-29,Madhya Pradesh,Damoh,38,29,0,0,1394.0
2020-06-30,Madhya Pradesh,Damoh,40,29,0,0,1419.0
2020-07-01,Madhya Pradesh,Damoh,42,29,0,0,1419.0
2020-07-02,Madhya Pradesh,Damoh,45,29,0,0,1457.0
2020-07-03,Madhya Pradesh,Damoh,46,30,0,0,1457.0
2020-07-04,Madhya Pradesh,Damoh,48,30,0,0,1598.0
2020-07-05,Madhya Pradesh,Damoh,52,32,0,0,1701.0
2020-07-06,Madhya Pradesh,Damoh,52,32,0,0,1811.0
2020-07-07,Madhya Pradesh,Damoh,53,32,0,0,1811.0
2020-07-08,Madhya Pradesh,Damoh,53,34,0,0,2076.0
2020-07-09,Madhya Pradesh,Damoh,54,40,0,0,2076.0
2020-07-10,Madhya Pradesh,Damoh,54,40,0,0,2076.0
2020-07-11,Madhya Pradesh,Damoh,55,40,0,0,2489.0
2020-07-12,Madhya Pradesh,Damoh,57,43,0,0,2551.0
2020-07-13,Madhya Pradesh,Damoh,62,43,0,0,2551.0
2020-07-14,Madhya Pradesh,Damoh,68,43,0,0,2950.0
2020-07-15,Madhya Pradesh,Damoh,69,50,0,0,3109.0
2020-07-16,Madhya Pradesh,Damoh,70,50,0,0,3109.0
2020-07-17,Madhya Pradesh,Damoh,72,50,0,0,3473.0
2020-07-18,Madhya Pradesh,Damoh,72,52,0,0,3473.0
2020-07-19,Madhya Pradesh,Damoh,72,52,0,0,3473.0
2020-07-20,Madhya Pradesh,Damoh,75,54,0,0,3729.0
2020-07-21,Madhya Pradesh,Damoh,85,54,0,0,3729.0
2020-07-22,Madhya Pradesh,Damoh,94,57,1,0,3729.0
2020-07-23,Madhya Pradesh,Damoh,102,67,1,0,3729.0
2020-07-24,Madhya Pradesh,Damoh,115,68,1,0,4355.0
2020-07-25,Madhya Pradesh,Damoh,119,69,1,0,4355.0
2020-07-26,Madhya Pradesh,Damoh,123,69,1,0,4573.0
2020-07-27,Madhya Pradesh,Damoh,154,70,1,0,4573.0
2020-07-28,Madhya Pradesh,Damoh,156,75,1,0,5178.0
2020-07-29,Madhya Pradesh,Damoh,182,75,1,0,5577.0
2020-07-30,Madhya Pradesh,Damoh,188,81,1,0,5577.0
2020-07-31,Madhya Pradesh,Damoh,193,91,1,0,5577.0
2020-08-01,Madhya Pradesh,Damoh,203,97,1,0,5577.0
2020-08-02,Madhya Pradesh,Damoh,209,109,1,0,6634.0
2020-08-03,Madhya Pradesh,Damoh,228,119,2,0,6634.0
2020-08-04,Madhya Pradesh,Damoh,234,129,3,0,6634.0
2020-08-05,Madhya Pradesh,Damoh,252,131,4,0,6634.0
2020-08-06,Madhya Pradesh,Damoh,274,146,4,0,7350.0
2020-08-07,Madhya Pradesh,Damoh,275,163,4,0,7669.0
2020-08-08,Madhya Pradesh,Damoh,285,177,4,0,7669.0
2020-08-09,Madhya Pradesh,Damoh,317,178,5,0,7669.0
2020-08-10,Madhya Pradesh,Damoh,340,187,5,0,7669.0
2020-08-11,Madhya Pradesh,Damoh,367,201,5,0,7669.0
2020-08-12,Madhya Pradesh,Damoh,376,210,5,0,7669.0
2020-08-13,Madhya Pradesh,Damoh,390,228,5,0,7669.0
2020-08-14,Madhya Pradesh,Damoh,397,229,7,0,7669.0
2020-08-15,Madhya Pradesh,Damoh,406,250,7,0,7669.0
2020-08-16,Madhya Pradesh,Damoh,415,264,7,0,7669.0
2020-08-17,Madhya Pradesh,Damoh,426,264,8,0,7669.0
2020-08-18,Madhya Pradesh,Damoh,451,295,8,0,9082.0
2020-08-19,Madhya Pradesh,Damoh,466,335,8,0,9677.0
2020-08-20,Madhya Pradesh,Damoh,483,340,8,0,9677.0
2020-08-21,Madhya Pradesh,Damoh,498,367,8,0,9677.0
2020-08-22,Madhya Pradesh,Damoh,512,372,9,0,9677.0
2020-08-23,Madhya Pradesh,Damoh,526,378,9,0,9677.0
2020-08-24,Madhya Pradesh,Damoh,538,382,10,0,9677.0
2020-08-25,Madhya Pradesh,Damoh,549,404,10,0,9677.0
