Date,State,District,Confirmed,Recovered,Deceased,Other,Tested
2020-04-26,Madhya Pradesh,Dindori,1,0,0,0,
2020-04-27,Madhya Pradesh,Dindori,1,0,0,0,
2020-04-28,Madhya Pradesh,Dindori,1,0,0,0,
2020-04-29,Madhya Pradesh,Dindori,1,0,0,0,
2020-04-30,Madhya Pradesh,Dindori,1,0,0,0,
2020-05-01,Madhya Pradesh,Dindori,1,0,0,0,
2020-05-02,Madhya Pradesh,Dindori,1,0,0,0,
2020-05-03,Madhya Pradesh,Dindori,1,0,0,0,
2020-05-04,Madhya Pradesh,Dindori,1,0,0,0,
2020-05-05,Madhya Pradesh,Dindori,1,0,0,0,
2020-05-06,Madhya Pradesh,Dindori,1,0,0,0,
2020-05-07,Madhya Pradesh,Dindori,1,0,0,0,
2020-05-08,Madhya Pradesh,Dindori,1,1,0,0,
2020-05-09,Madhya Pradesh,Dindori,1,1,0,0,
2020-05-10,Madhya Pradesh,Dindori,2,1,0,0,
2020-05-11,Madhya Pradesh,Dindori,2,1,0,0,
2020-05-12,Madhya Pradesh,Dindori,2,1,0,0,
2020-05-13,Madhya Pradesh,Dindori,2,1,0,0,
2020-05-14,Madhya Pradesh,Dindori,2,1,0,0,
2020-05-15,Madhya Pradesh,Dindori,2,1,0,0,
2020-05-16,Madhya Pradesh,Dindori,2,1,0,0,
2020-05-17,Madhya Pradesh,Dindori,2,1,0,0,
2020-05-18,Madhya Pradesh,Dindori,2,1,0,0,
2020-05-19,Madhya Pradesh,Dindori,4,1,0,0,
2020-05-20,Madhya Pradesh,Dindori,4,1,0,0,
2020-05-21,Madhya Pradesh,Dindori,4,1,0,0,
2020-05-22,Madhya Pradesh,Dindori,5,1,0,0,
2020-05-23,Madhya Pradesh,Dindori,9,1,0,0,
2020-05-24,Madhya Pradesh,Dindori,9,1,0,0,
2020-05-25,Madhya Pradesh,Dindori,16,1,0,0,
2020-05-26,Madhya Pradesh,Dindori,16,2,0,0,
2020-05-27,Madhya Pradesh,Dindori,16,2,0,0,
2020-05-28,Madhya Pradesh,Dindori,16,2,0,0,
2020-05-29,Madhya Pradesh,Dindori,16,2,0,0,
2020-05-30,Madhya Pradesh,Dindori,19,2,0,0,
2020-05-31,Madhya Pradesh,Dindori,20,2,0,0,
2020-06-01,Madhya Pradesh,Dindori,20,2,0,0,
2020-06-02,Madhya Pradesh,Dindori,21,2,0,0,
2020-06-03,Madhya Pradesh,Dindori,23,4,0,0,
2020-06-04,Madhya Pradesh,Dindori,24,4,0,0,
2020-06-05,Madhya Pradesh,Dindori,29,5,0,0,
2020-06-06,Madhya Pradesh,Dindori,29,5,0,0,
2020-06-07,Madhya Pradesh,Dindori,29,5,0,0,
2020-06-08,Madhya Pradesh,Dindori,29,5,0,0,
2020-06-09,Madhya Pradesh,Dindori,29,5,0,0,
2020-06-10,Madhya Pradesh,Dindori,29,16,0,0,
2020-06-11,Madhya Pradesh,Dindori,29,16,0,0,
2020-06-12,Madhya Pradesh,Dindori,29,17,0,0,
2020-06-13,Madhya Pradesh,Dindori,29,17,0,0,
2020-06-14,Madhya Pradesh,Dindori,30,23,0,0,
2020-06-15,Madhya Pradesh,Dindori,30,23,0,0,
2020-06-16,Madhya Pradesh,Dindori,30,23,0,0,
2020-06-17,Madhya Pradesh,Dindori,30,23,0,0,
2020-06-18,Madhya Pradesh,Dindori,30,23,0,0,
2020-06-19,Madhya Pradesh,Dindori,30,23,0,0,
2020-06-20,Madhya Pradesh,Dindori,30,29,0,0,2286.0
2020-06-21,Madhya Pradesh,Dindori,30,29,0,0,2286.0
2020-06-22,Madhya Pradesh,Dindori,30,29,0,0,2402.0
2020-06-23,Madhya Pradesh,Dindori,30,29,0,0,2495.0
2020-06-24,Madhya Pradesh,Dindori,30,29,0,0,2495.0
2020-06-25,Madhya Pradesh,Dindori,30,29,0,0,2600.0
2020-06-26,Madhya Pradesh,Dindori,30,29,0,0,2657.0
2020-06-27,Madhya Pradesh,Dindori,30,29,0,0,2695.0
2020-06-28,Madhya Pradesh,Dindori,30,30,0,0,2716.0
2020-06-29,Madhya Pradesh,Dindori,30,30,0,0,2756.0
2020-06-30,Madhya Pradesh,Dindori,30,30,0,0,2756.0
2020-07-01,Madhya Pradesh,Dindori,30,30,0,0,2756.0
2020-07-02,Madhya Pradesh,Dindori,30,30,0,0,2868.0
2020-07-03,Madhya Pradesh,Dindori,31,30,0,0,2929.0
2020-07-04,Madhya Pradesh,Dindori,31,30,0,0,2959.0
2020-07-05,Madhya Pradesh,Dindori,31,30,0,0,2959.0
2020-07-06,Madhya Pradesh,Dindori,31,30,0,0,3244.0
2020-07-07,Madhya Pradesh,Dindori,31,30,0,0,3244.0
2020-07-08,Madhya Pradesh,Dindori,31,30,0,0,3557.0
2020-07-09,Madhya Pradesh,Dindori,31,30,0,0,3557.0
2020-07-10,Madhya Pradesh,Dindori,31,30,0,0,3557.0
2020-07-11,Madhya Pradesh,Dindori,31,30,0,0,3557.0
2020-07-12,Madhya Pradesh,Dindori,31,30,0,0,3557.0
2020-07-13,Madhya Pradesh,Dindori,31,30,0,0,3557.0
2020-07-14,Madhya Pradesh,Dindori,31,30,0,0,3557.0
2020-07-15,Madhya Pradesh,Dindori,31,30,0,0,3557.0
2020-07-16,Madhya Pradesh,Dindori,31,30,0,0,3557.0
2020-07-17,Madhya Pradesh,Dindori,31,30,0,0,3557.0
2020-07-18,Madhya Pradesh,Dindori,31,30,0,0,3557.0
2020-07-19,Madhya Pradesh,Dindori,31,31,0,0,3557.0
2020-07-20,Madhya Pradesh,Dindori,32,31,0,0,3557.0
2020-07-21,Madhya Pradesh,Dindori,32,31,0,0,3557.0
2020-07-22,Madhya Pradesh,Dindori,32,31,0,0,3557.0
2020-07-23,Madhya Pradesh,Dindori,32,31,0,0,3557.0
2020-07-24,Madhya Pradesh,Dindori,32,31,0,0,3557.0
2020-07-25,Madhya Pradesh,Dindori,34,31,0,0,3557.0
2020-07-26,Madhya Pradesh,Dindori,34,31,0,0,3557.0
2020-07-27,Madhya Pradesh,Dindori,36,31,0,0,3557.0
2020-07-28,Madhya Pradesh,Dindori,36,31,0,0,3557.0
2020-07-29,Madhya Pradesh,Dindori,36,31,0,0,3557.0
2020-07-30,Madhya Pradesh,Dindori,38,31,0,0,3557.0
2020-07-31,Madhya Pradesh,Dindori,38,31,0,0,3557.0
2020-08-01,Madhya Pradesh,Dindori,38,31,0,0,3557.0
2020-08-02,Madhya Pradesh,Dindori,48,31,0,0,3557.0
2020-08-03,Madhya Pradesh,Dindori,48,31,0,0,3557.0
2020-08-04,Madhya Pradesh,Dindori,50,33,0,0,3557.0
2020-08-05,Madhya Pradesh,Dindori,53,37,0,0,3557.0
2020-08-06,Madhya Pradesh,Dindori,55,37,0,0,3557.0
2020-08-07,Madhya Pradesh,Dindori,55,37,0,0,3557.0
2020-08-08,Madhya Pradesh,Dindori,56,37,0,0,3557.0
2020-08-09,Madhya Pradesh,Dindori,57,38,0,0,3557.0
2020-08-10,Madhya Pradesh,Dindori,58,38,0,0,3557.0
2020-08-11,Madhya Pradesh,Dindori,59,46,0,0,3557.0
2020-08-12,Madhya Pradesh,Dindori,75,46,0,0,3557.0
2020-08-13,Madhya Pradesh,Dindori,84,46,0,0,3557.0
2020-08-14,Madhya Pradesh,Dindori,88,48,0,0,3557.0
2020-08-15,Madhya Pradesh,Dindori,100,53,0,0,3557.0
2020-08-16,Madhya Pradesh,Dindori,101,53,0,0,3557.0
2020-08-17,Madhya Pradesh,Dindori,101,53,0,0,3557.0
2020-08-18,Madhya Pradesh,Dindori,101,54,0,0,3557.0
2020-08-19,Madhya Pradesh,Dindori,103,56,0,0,3557.0
2020-08-20,Madhya Pradesh,Dindori,106,57,0,0,3557.0
2020-08-21,Madhya Pradesh,Dindori,109,59,0,0,3557.0
2020-08-22,Madhya Pradesh,Dindori,112,75,0,0,3557.0
2020-08-23,Madhya Pradesh,Dindori,135,84,0,0,3557.0
2020-08-24,Madhya Pradesh,Dindori,115,86,0,0,3557.0
2020-08-25,Madhya Pradesh,Dindori,126,100,0,0,3557.0
2020-08-26,Madhya Pradesh,Dindori,126,100,0,0,3557.0
2020-08-27,Madhya Pradesh,Dindori,127,100,0,0,3557.0
2020-08-28,Madhya Pradesh,Dindori,129,103,0,0,3557.0
2020-08-29,Madhya Pradesh,Dindori,135,103,0,0,3557.0
2020-08-30,Madhya Pradesh,Dindori,142,106,0,0,3557.0
2020-08-31,Madhya Pradesh,Dindori,145,109,0,0,3557.0
2020-09-01,Madhya Pradesh,Dindori,156,112,0,0,3557.0
2020-09-02,Madhya Pradesh,Dindori,169,113,0,0,3557.0
2020-09-03,Madhya Pradesh,Dindori,177,115,0,0,3557.0
2020-09-04,Madhya Pradesh,Dindori,178,126,0,0,3557.0
2020-09-05,Madhya Pradesh,Dindori,185,126,0,0,3557.0
2020-09-06,Madhya Pradesh,Dindori,202,127,0,0,3557.0
2020-09-07,Madhya Pradesh,Dindori,205,129,0,0,3557.0
2020-09-08,Madhya Pradesh,Dindori,205,135,0,0,3557.0
