Date,State,District,Confirmed,Recovered,Deceased,Other,Tested
2020-04-26,Madhya Pradesh,Gwalior,4,2,0,0,
2020-04-27,Madhya Pradesh,Gwalior,4,2,0,0,
2020-04-28,Madhya Pradesh,Gwalior,4,2,0,0,
2020-04-29,Madhya Pradesh,Gwalior,4,2,0,0,
2020-04-30,Madhya Pradesh,Gwalior,4,2,0,0,
2020-05-01,Madhya Pradesh,Gwalior,5,2,0,0,
2020-05-02,Madhya Pradesh,Gwalior,5,2,0,0,
2020-05-03,Madhya Pradesh,Gwalior,5,2,0,0,
2020-05-04,Madhya Pradesh,Gwalior,5,2,0,0,
2020-05-05,Madhya Pradesh,Gwalior,5,2,0,0,
2020-05-06,Madhya Pradesh,Gwalior,7,2,0,0,
2020-05-07,Madhya Pradesh,Gwalior,12,2,0,0,
2020-05-08,Madhya Pradesh,Gwalior,12,3,0,0,
2020-05-09,Madhya Pradesh,Gwalior,17,3,0,0,
2020-05-10,Madhya Pradesh,Gwalior,22,4,0,0,
2020-05-11,Madhya Pradesh,Gwalior,26,4,0,0,
2020-05-12,Madhya Pradesh,Gwalior,29,4,0,0,
2020-05-13,Madhya Pradesh,Gwalior,31,5,1,0,
2020-05-14,Madhya Pradesh,Gwalior,31,5,1,0,
2020-05-15,Madhya Pradesh,Gwalior,36,5,1,0,
2020-05-16,Madhya Pradesh,Gwalior,48,7,1,0,
2020-05-17,Madhya Pradesh,Gwalior,58,12,1,0,
2020-05-18,Madhya Pradesh,Gwalior,65,16,1,0,
2020-05-19,Madhya Pradesh,Gwalior,72,20,1,0,
2020-05-20,Madhya Pradesh,Gwalior,77,23,1,0,
2020-05-21,Madhya Pradesh,Gwalior,83,27,1,0,
2020-05-22,Madhya Pradesh,Gwalior,90,29,1,0,
2020-05-23,Madhya Pradesh,Gwalior,92,29,1,0,
2020-05-24,Madhya Pradesh,Gwalior,98,34,1,0,
2020-05-25,Madhya Pradesh,Gwalior,107,36,2,0,
2020-05-26,Madhya Pradesh,Gwalior,117,40,2,0,
2020-05-27,Madhya Pradesh,Gwalior,119,47,2,0,
2020-05-28,Madhya Pradesh,Gwalior,120,48,2,0,
2020-05-29,Madhya Pradesh,Gwalior,120,67,2,0,
2020-05-30,Madhya Pradesh,Gwalior,120,72,2,0,
2020-05-31,Madhya Pradesh,Gwalior,121,72,2,0,
2020-06-01,Madhya Pradesh,Gwalior,130,76,2,0,
2020-06-02,Madhya Pradesh,Gwalior,139,80,2,0,
2020-06-03,Madhya Pradesh,Gwalior,166,84,2,0,
2020-06-04,Madhya Pradesh,Gwalior,173,94,2,0,
2020-06-05,Madhya Pradesh,Gwalior,176,105,2,0,
2020-06-06,Madhya Pradesh,Gwalior,186,105,2,0,
2020-06-07,Madhya Pradesh,Gwalior,198,115,2,0,
2020-06-08,Madhya Pradesh,Gwalior,211,115,2,0,
2020-06-09,Madhya Pradesh,Gwalior,216,115,2,0,
2020-06-10,Madhya Pradesh,Gwalior,228,115,2,0,
2020-06-11,Madhya Pradesh,Gwalior,233,125,2,0,
2020-06-12,Madhya Pradesh,Gwalior,249,135,2,0,
2020-06-13,Madhya Pradesh,Gwalior,251,163,2,0,
2020-06-14,Madhya Pradesh,Gwalior,257,170,2,0,
2020-06-15,Madhya Pradesh,Gwalior,259,173,2,0,
2020-06-16,Madhya Pradesh,Gwalior,262,181,2,0,
2020-06-17,Madhya Pradesh,Gwalior,272,194,2,0,
2020-06-18,Madhya Pradesh,Gwalior,277,208,2,0,
2020-06-19,Madhya Pradesh,Gwalior,278,213,2,0,
2020-06-20,Madhya Pradesh,Gwalior,286,223,2,0,21448.0
2020-06-21,Madhya Pradesh,Gwalior,286,239,2,0,21448.0
2020-06-22,Madhya Pradesh,Gwalior,292,247,2,0,22476.0
2020-06-23,Madhya Pradesh,Gwalior,298,249,2,0,23088.0
2020-06-24,Madhya Pradesh,Gwalior,309,255,2,0,23088.0
2020-06-25,Madhya Pradesh,Gwalior,312,259,2,0,25403.0
2020-06-26,Madhya Pradesh,Gwalior,321,263,2,0,26288.0
