Date,State,District,Confirmed,Recovered,Deceased,Other,Tested
2020-04-26,Madhya Pradesh,Jabalpur,59,7,1,0,
2020-04-27,Madhya Pradesh,Jabalpur,69,7,1,0,
2020-04-28,Madhya Pradesh,Jabalpur,70,7,1,0,
2020-04-29,Madhya Pradesh,Jabalpur,78,7,1,0,
2020-04-30,Madhya Pradesh,Jabalpur,85,7,1,0,
2020-05-01,Madhya Pradesh,Jabalpur,87,7,1,0,
2020-05-02,Madhya Pradesh,Jabalpur,92,9,1,0,
2020-05-03,Madhya Pradesh,Jabalpur,96,10,1,0,
2020-05-04,Madhya Pradesh,Jabalpur,98,12,1,0,
2020-05-05,Madhya Pradesh,Jabalpur,106,12,3,0,
2020-05-06,Madhya Pradesh,Jabalpur,109,15,3,0,
2020-05-07,Madhya Pradesh,Jabalpur,115,15,4,0,
2020-05-08,Madhya Pradesh,Jabalpur,116,17,5,0,
2020-05-09,Madhya Pradesh,Jabalpur,119,17,5,0,
2020-05-10,Madhya Pradesh,Jabalpur,123,28,5,0,
2020-05-11,Madhya Pradesh,Jabalpur,133,33,7,0,
2020-05-12,Madhya Pradesh,Jabalpur,137,42,7,0,
2020-05-13,Madhya Pradesh,Jabalpur,147,47,8,0,
2020-05-14,Madhya Pradesh,Jabalpur,157,65,8,0,
2020-05-15,Madhya Pradesh,Jabalpur,168,79,8,0,
2020-05-16,Madhya Pradesh,Jabalpur,175,85,8,0,
2020-05-17,Madhya Pradesh,Jabalpur,175,95,8,0,
2020-05-18,Madhya Pradesh,Jabalpur,182,95,8,0,
2020-05-19,Madhya Pradesh,Jabalpur,184,101,9,0,
2020-05-20,Madhya Pradesh,Jabalpur,186,107,9,0,
2020-05-21,Madhya Pradesh,Jabalpur,192,114,9,0,
2020-05-22,Madhya Pradesh,Jabalpur,194,115,9,0,
2020-05-23,Madhya Pradesh,Jabalpur,199,116,9,0,
2020-05-24,Madhya Pradesh,Jabalpur,209,129,9,0,
2020-05-25,Madhya Pradesh,Jabalpur,212,141,9,0,
2020-05-26,Madhya Pradesh,Jabalpur,213,151,9,0,
2020-05-27,Madhya Pradesh,Jabalpur,216,160,9,0,
2020-05-28,Madhya Pradesh,Jabalpur,221,166,9,0,
2020-05-29,Madhya Pradesh,Jabalpur,226,168,9,0,
2020-05-30,Madhya Pradesh,Jabalpur,233,171,9,0,
2020-05-31,Madhya Pradesh,Jabalpur,238,176,9,0,
2020-06-01,Madhya Pradesh,Jabalpur,241,179,10,0,
2020-06-02,Madhya Pradesh,Jabalpur,251,180,10,0,
2020-06-03,Madhya Pradesh,Jabalpur,260,192,10,0,
2020-06-04,Madhya Pradesh,Jabalpur,263,197,10,0,
2020-06-05,Madhya Pradesh,Jabalpur,267,197,10,0,
2020-06-06,Madhya Pradesh,Jabalpur,268,198,10,0,
2020-06-07,Madhya Pradesh,Jabalpur,272,200,10,0,
2020-06-08,Madhya Pradesh,Jabalpur,272,211,10,0,
2020-06-09,Madhya Pradesh,Jabalpur,281,215,11,0,
2020-06-10,Madhya Pradesh,Jabalpur,283,219,11,0,
2020-06-11,Madhya Pradesh,Jabalpur,283,223,11,0,
2020-06-12,Madhya Pradesh,Jabalpur,298,226,11,0,
2020-06-13,Madhya Pradesh,Jabalpur,307,229,13,0,
2020-06-14,Madhya Pradesh,Jabalpur,309,238,13,0,
2020-06-15,Madhya Pradesh,Jabalpur,309,242,13,0,
2020-06-16,Madhya Pradesh,Jabalpur,317,245,13,0,
2020-06-17,Madhya Pradesh,Jabalpur,318,251,13,0,
2020-06-18,Madhya Pradesh,Jabalpur,324,258,13,0,
2020-06-19,Madhya Pradesh,Jabalpur,329,260,13,0,10242.0
2020-06-20,Madhya Pradesh,Jabalpur,335,264,13,0,10449.0
2020-06-21,Madhya Pradesh,Jabalpur,348,269,14,0,10449.0
