Date,State,District,Confirmed,Recovered,Deceased,Other,Tested
2020-05-02,Madhya Pradesh,Katni,1,0,0,0,
2020-05-03,Madhya Pradesh,Katni,0,0,0,0,
2020-05-28,Madhya Pradesh,Katni,1,0,0,0,
2020-05-29,Madhya Pradesh,Katni,1,0,0,0,
2020-05-30,Madhya Pradesh,Katni,1,0,0,0,
2020-05-31,Madhya Pradesh,Katni,1,0,0,0,
2020-06-01,Madhya Pradesh,Katni,1,0,0,0,
2020-06-02,Madhya Pradesh,Katni,1,0,0,0,
2020-06-03,Madhya Pradesh,Katni,1,0,0,0,
2020-06-04,Madhya Pradesh,Katni,3,0,0,0,
2020-06-05,Madhya Pradesh,Katni,3,0,0,0,
2020-06-06,Madhya Pradesh,Katni,3,0,0,0,
2020-06-07,Madhya Pradesh,Katni,3,0,0,0,
2020-06-08,Madhya Pradesh,Katni,3,0,0,0,
2020-06-09,Madhya Pradesh,Katni,3,0,0,0,
2020-06-10,Madhya Pradesh,Katni,3,0,0,0,
2020-06-11,Madhya Pradesh,Katni,4,1,0,0,
2020-06-12,Madhya Pradesh,Katni,4,1,0,0,
2020-06-13,Madhya Pradesh,Katni,4,1,0,0,
2020-06-14,Madhya Pradesh,Katni,8,1,0,0,
2020-06-15,Madhya Pradesh,Katni,8,1,0,0,
2020-06-16,Madhya Pradesh,Katni,9,2,1,0,
2020-06-17,Madhya Pradesh,Katni,9,2,1,0,
2020-06-18,Madhya Pradesh,Katni,10,2,1,0,
2020-06-19,Madhya Pradesh,Katni,11,3,1,0,
2020-06-20,Madhya Pradesh,Katni,14,3,1,0,400.0
2020-06-21,Madhya Pradesh,Katni,14,3,2,0,400.0
2020-06-22,Madhya Pradesh,Katni,15,3,2,0,424.0
2020-06-23,Madhya Pradesh,Katni,15,3,2,0,443.0
2020-06-24,Madhya Pradesh,Katni,15,3,2,0,443.0
2020-06-25,Madhya Pradesh,Katni,15,7,2,0,458.0
2020-06-26,Madhya Pradesh,Katni,15,7,2,0,545.0
2020-06-27,Madhya Pradesh,Katni,15,9,2,0,547.0
2020-06-28,Madhya Pradesh,Katni,15,9,2,0,591.0
2020-06-29,Madhya Pradesh,Katni,15,9,2,0,591.0
2020-06-30,Madhya Pradesh,Katni,19,10,2,0,591.0
2020-07-01,Madhya Pradesh,Katni,19,12,2,0,591.0
2020-07-02,Madhya Pradesh,Katni,19,12,2,0,735.0
2020-07-03,Madhya Pradesh,Katni,19,12,2,0,814.0
2020-07-04,Madhya Pradesh,Katni,19,13,3,0,844.0
2020-07-05,Madhya Pradesh,Katni,26,13,3,0,1000.0
2020-07-06,Madhya Pradesh,Katni,26,13,3,0,1025.0
2020-07-07,Madhya Pradesh,Katni,27,13,3,0,1025.0
2020-07-08,Madhya Pradesh,Katni,27,16,3,0,1139.0
2020-07-09,Madhya Pradesh,Katni,27,16,3,0,1139.0
2020-07-10,Madhya Pradesh,Katni,29,16,3,0,1231.0
2020-07-11,Madhya Pradesh,Katni,30,16,3,0,1305.0
2020-07-12,Madhya Pradesh,Katni,30,16,3,0,1393.0
2020-07-13,Madhya Pradesh,Katni,36,17,3,0,1393.0
2020-07-14,Madhya Pradesh,Katni,43,22,3,0,1579.0
2020-07-15,Madhya Pradesh,Katni,43,22,3,0,1622.0
2020-07-16,Madhya Pradesh,Katni,43,23,3,0,1622.0
2020-07-17,Madhya Pradesh,Katni,43,24,3,0,1850.0
2020-07-18,Madhya Pradesh,Katni,47,24,3,0,1850.0
2020-07-19,Madhya Pradesh,Katni,50,24,3,0,1850.0
2020-07-20,Madhya Pradesh,Katni,51,25,3,0,2066.0
2020-07-21,Madhya Pradesh,Katni,58,29,3,0,2066.0
2020-07-22,Madhya Pradesh,Katni,58,29,3,0,2066.0
2020-07-23,Madhya Pradesh,Katni,71,32,3,0,2066.0
2020-07-24,Madhya Pradesh,Katni,73,34,3,0,2344.0
2020-07-25,Madhya Pradesh,Katni,79,40,3,0,2476.0
2020-07-26,Madhya Pradesh,Katni,110,40,3,0,2582.0
2020-07-27,Madhya Pradesh,Katni,115,42,3,0,2658.0
2020-07-28,Madhya Pradesh,Katni,121,46,3,0,2734.0
2020-07-29,Madhya Pradesh,Katni,140,47,3,0,2807.0
2020-07-30,Madhya Pradesh,Katni,142,47,3,0,2888.0
2020-07-31,Madhya Pradesh,Katni,147,53,3,0,2975.0
2020-08-01,Madhya Pradesh,Katni,158,56,3,0,3037.0
2020-08-02,Madhya Pradesh,Katni,161,68,3,0,3114.0
2020-08-03,Madhya Pradesh,Katni,169,88,3,0,3114.0
2020-08-04,Madhya Pradesh,Katni,174,110,3,0,3114.0
2020-08-05,Madhya Pradesh,Katni,174,116,4,0,3114.0
2020-08-06,Madhya Pradesh,Katni,187,135,4,0,3764.0
2020-08-07,Madhya Pradesh,Katni,190,136,5,0,4039.0
2020-08-08,Madhya Pradesh,Katni,221,139,5,0,4039.0
2020-08-09,Madhya Pradesh,Katni,224,143,5,0,4039.0
2020-08-10,Madhya Pradesh,Katni,248,158,6,0,4039.0
2020-08-11,Madhya Pradesh,Katni,265,159,6,0,4039.0
2020-08-12,Madhya Pradesh,Katni,281,162,6,0,4039.0
2020-08-13,Madhya Pradesh,Katni,292,171,6,0,4039.0
2020-08-14,Madhya Pradesh,Katni,307,180,6,0,4039.0
2020-08-15,Madhya Pradesh,Katni,311,210,6,0,4039.0
2020-08-16,Madhya Pradesh,Katni,319,226,6,0,4039.0
2020-08-17,Madhya Pradesh,Katni,334,231,6,0,6943.0
2020-08-18,Madhya Pradesh,Katni,341,233,6,0,7527.0
2020-08-19,Madhya Pradesh,Katni,349,258,6,0,7960.0
2020-08-20,Madhya Pradesh,Katni,359,265,6,0,7960.0
2020-08-21,Madhya Pradesh,Katni,361,282,6,0,8375.0
2020-08-22,Madhya Pradesh,Katni,368,301,6,0,8656.0
2020-08-23,Madhya Pradesh,Katni,385,306,7,0,8656.0
2020-08-24,Madhya Pradesh,Katni,403,313,7,0,9511.0
2020-08-25,Madhya Pradesh,Katni,417,321,8,0,9923.0
2020-08-26,Madhya Pradesh,Katni,427,328,8,0,10346.0
2020-08-27,Madhya Pradesh,Katni,436,334,8,0,10718.0
2020-08-28,Madhya Pradesh,Katni,452,336,9,0,11065.0
2020-08-29,Madhya Pradesh,Katni,466,343,9,0,11780.0
2020-08-30,Madhya Pradesh,Katni,466,352,10,0,11780.0
2020-08-31,Madhya Pradesh,Katni,481,364,10,0,11962.0
2020-09-01,Madhya Pradesh,Katni,492,393,10,0,12366.0
