Date,State,District,Confirmed,Recovered,Deceased,Other,Tested
2020-04-26,Madhya Pradesh,Khandwa,36,12,1,0,
2020-04-27,Madhya Pradesh,Khandwa,36,12,1,0,
2020-04-28,Madhya Pradesh,Khandwa,36,12,1,0,
2020-04-29,Madhya Pradesh,Khandwa,46,12,3,0,
2020-04-30,Madhya Pradesh,Khandwa,46,31,4,0,
2020-05-01,Madhya Pradesh,Khandwa,46,31,6,0,
2020-05-02,Madhya Pradesh,Khandwa,47,31,6,0,
2020-05-03,Madhya Pradesh,Khandwa,47,32,6,0,
2020-05-04,Madhya Pradesh,Khandwa,47,32,6,0,
2020-05-05,Madhya Pradesh,Khandwa,49,32,6,0,
2020-05-06,Madhya Pradesh,Khandwa,50,32,7,0,
2020-05-07,Madhya Pradesh,Khandwa,50,32,7,0,
2020-05-08,Madhya Pradesh,Khandwa,52,32,7,0,
2020-05-09,Madhya Pradesh,Khandwa,56,33,7,0,
2020-05-10,Madhya Pradesh,Khandwa,56,33,7,0,
2020-05-11,Madhya Pradesh,Khandwa,59,34,7,0,
2020-05-12,Madhya Pradesh,Khandwa,79,34,7,0,
2020-05-13,Madhya Pradesh,Khandwa,80,38,8,0,
2020-05-14,Madhya Pradesh,Khandwa,81,38,8,0,
2020-05-15,Madhya Pradesh,Khandwa,81,38,8,0,
2020-05-16,Madhya Pradesh,Khandwa,96,38,8,0,
2020-05-17,Madhya Pradesh,Khandwa,96,38,8,0,
2020-05-18,Madhya Pradesh,Khandwa,165,41,8,0,
2020-05-19,Madhya Pradesh,Khandwa,186,55,9,0,
2020-05-20,Madhya Pradesh,Khandwa,186,79,10,0,
2020-05-21,Madhya Pradesh,Khandwa,208,81,10,0,
2020-05-22,Madhya Pradesh,Khandwa,208,128,10,0,
2020-05-23,Madhya Pradesh,Khandwa,216,147,11,0,
2020-05-24,Madhya Pradesh,Khandwa,222,157,11,0,
2020-05-25,Madhya Pradesh,Khandwa,230,172,11,0,
2020-05-26,Madhya Pradesh,Khandwa,232,184,12,0,
2020-05-27,Madhya Pradesh,Khandwa,233,191,12,0,
2020-05-28,Madhya Pradesh,Khandwa,235,193,13,0,
2020-05-29,Madhya Pradesh,Khandwa,236,199,13,0,
2020-05-30,Madhya Pradesh,Khandwa,240,201,13,0,
2020-05-31,Madhya Pradesh,Khandwa,240,206,13,0,
2020-06-01,Madhya Pradesh,Khandwa,248,206,13,0,
2020-06-02,Madhya Pradesh,Khandwa,251,210,13,0,
2020-06-03,Madhya Pradesh,Khandwa,251,212,14,0,
2020-06-04,Madhya Pradesh,Khandwa,251,212,14,0,
2020-06-05,Madhya Pradesh,Khandwa,258,216,15,0,
2020-06-06,Madhya Pradesh,Khandwa,260,218,15,0,
2020-06-07,Madhya Pradesh,Khandwa,264,220,17,0,
2020-06-08,Madhya Pradesh,Khandwa,271,224,17,0,
2020-06-09,Madhya Pradesh,Khandwa,274,224,17,0,
2020-06-10,Madhya Pradesh,Khandwa,274,227,17,0,
2020-06-11,Madhya Pradesh,Khandwa,274,234,17,0,
2020-06-12,Madhya Pradesh,Khandwa,276,234,17,0,
2020-06-13,Madhya Pradesh,Khandwa,279,234,17,0,
2020-06-14,Madhya Pradesh,Khandwa,279,239,17,0,
2020-06-15,Madhya Pradesh,Khandwa,280,241,17,0,
2020-06-16,Madhya Pradesh,Khandwa,282,244,17,0,
2020-06-17,Madhya Pradesh,Khandwa,283,250,17,0,
2020-06-18,Madhya Pradesh,Khandwa,283,251,17,0,
2020-06-19,Madhya Pradesh,Khandwa,283,253,17,0,
2020-06-20,Madhya Pradesh,Khandwa,284,255,17,0,4724.0
2020-06-21,Madhya Pradesh,Khandwa,287,257,17,0,4724.0
2020-06-22,Madhya Pradesh,Khandwa,287,262,17,0,4916.0
2020-06-23,Madhya Pradesh,Khandwa,292,262,17,0,5016.0
2020-06-24,Madhya Pradesh,Khandwa,292,263,17,0,5016.0
2020-06-25,Madhya Pradesh,Khandwa,293,263,17,0,5275.0
2020-06-26,Madhya Pradesh,Khandwa,299,263,17,0,5452.0
2020-06-27,Madhya Pradesh,Khandwa,301,263,17,0,5538.0
2020-06-28,Madhya Pradesh,Khandwa,304,263,17,0,5663.0
2020-06-29,Madhya Pradesh,Khandwa,310,263,17,0,5792.0
2020-06-30,Madhya Pradesh,Khandwa,315,263,17,0,5926.0
2020-07-01,Madhya Pradesh,Khandwa,317,263,17,0,6228.0
2020-07-02,Madhya Pradesh,Khandwa,320,263,17,0,6483.0
2020-07-03,Madhya Pradesh,Khandwa,322,265,17,0,6593.0
2020-07-04,Madhya Pradesh,Khandwa,327,269,17,0,6926.0
2020-07-05,Madhya Pradesh,Khandwa,335,269,17,0,7020.0
2020-07-06,Madhya Pradesh,Khandwa,344,274,17,0,7342.0
2020-07-07,Madhya Pradesh,Khandwa,358,277,17,0,7342.0
2020-07-08,Madhya Pradesh,Khandwa,367,283,17,0,8063.0
2020-07-09,Madhya Pradesh,Khandwa,371,283,17,0,8063.0
2020-07-10,Madhya Pradesh,Khandwa,379,290,17,0,8366.0
2020-07-11,Madhya Pradesh,Khandwa,393,296,17,0,8629.0
2020-07-12,Madhya Pradesh,Khandwa,402,306,17,0,8958.0
2020-07-13,Madhya Pradesh,Khandwa,414,315,17,0,9444.0
2020-07-14,Madhya Pradesh,Khandwa,429,323,17,0,9709.0
2020-07-15,Madhya Pradesh,Khandwa,454,333,17,0,9953.0
2020-07-16,Madhya Pradesh,Khandwa,473,339,17,0,9953.0
2020-07-17,Madhya Pradesh,Khandwa,486,361,17,0,10370.0
2020-07-18,Madhya Pradesh,Khandwa,504,363,18,0,10495.0
2020-07-19,Madhya Pradesh,Khandwa,520,375,19,0,10698.0
2020-07-20,Madhya Pradesh,Khandwa,530,386,19,0,10892.0
2020-07-21,Madhya Pradesh,Khandwa,537,386,19,0,10892.0
2020-07-22,Madhya Pradesh,Khandwa,542,421,19,0,10892.0
2020-07-23,Madhya Pradesh,Khandwa,548,436,19,0,11646.0
2020-07-24,Madhya Pradesh,Khandwa,553,445,19,0,11879.0
2020-07-25,Madhya Pradesh,Khandwa,561,465,19,0,11879.0
2020-07-26,Madhya Pradesh,Khandwa,570,480,19,0,12296.0
2020-07-27,Madhya Pradesh,Khandwa,582,492,19,0,12342.0
2020-07-28,Madhya Pradesh,Khandwa,592,497,19,0,12535.0
2020-07-29,Madhya Pradesh,Khandwa,605,505,19,0,12705.0
2020-07-30,Madhya Pradesh,Khandwa,618,513,19,0,12705.0
2020-07-31,Madhya Pradesh,Khandwa,631,517,19,0,12705.0
2020-08-01,Madhya Pradesh,Khandwa,644,528,19,0,12705.0
2020-08-02,Madhya Pradesh,Khandwa,657,544,19,0,13543.0
2020-08-03,Madhya Pradesh,Khandwa,668,555,19,0,13546.0
2020-08-04,Madhya Pradesh,Khandwa,677,564,19,0,13546.0
2020-08-05,Madhya Pradesh,Khandwa,680,573,19,0,13930.0
2020-08-06,Madhya Pradesh,Khandwa,688,574,19,0,14108.0
2020-08-07,Madhya Pradesh,Khandwa,690,593,19,0,14204.0
2020-08-08,Madhya Pradesh,Khandwa,698,600,20,0,14204.0
2020-08-09,Madhya Pradesh,Khandwa,703,608,20,0,14657.0
2020-08-10,Madhya Pradesh,Khandwa,712,622,20,0,14657.0
2020-08-11,Madhya Pradesh,Khandwa,720,635,20,0,14657.0
2020-08-12,Madhya Pradesh,Khandwa,731,637,20,0,14657.0
