Date,State,District,Confirmed,Recovered,Deceased,Other,Tested
2020-05-11,Madhya Pradesh,Mandla,1,0,0,0,
2020-05-12,Madhya Pradesh,Mandla,1,0,0,0,
2020-05-13,Madhya Pradesh,Mandla,1,0,0,0,
2020-05-14,Madhya Pradesh,Mandla,1,0,0,0,
2020-05-15,Madhya Pradesh,Mandla,1,0,0,0,
2020-05-16,Madhya Pradesh,Mandla,1,0,0,0,
2020-05-17,Madhya Pradesh,Mandla,1,0,0,0,
2020-05-18,Madhya Pradesh,Mandla,1,0,0,0,
2020-05-19,Madhya Pradesh,Mandla,1,0,0,0,
2020-05-20,Madhya Pradesh,Mandla,1,0,0,0,
2020-05-21,Madhya Pradesh,Mandla,1,0,0,0,
2020-05-22,Madhya Pradesh,Mandla,1,0,0,0,
2020-05-23,Madhya Pradesh,Mandla,1,1,0,0,
2020-05-24,Madhya Pradesh,Mandla,1,1,0,0,
2020-05-25,Madhya Pradesh,Mandla,1,1,0,0,
2020-05-26,Madhya Pradesh,Mandla,2,1,1,0,
2020-05-27,Madhya Pradesh,Mandla,3,1,1,0,
2020-05-28,Madhya Pradesh,Mandla,3,1,1,0,
2020-05-29,Madhya Pradesh,Mandla,4,1,1,0,
2020-05-30,Madhya Pradesh,Mandla,4,1,1,0,
2020-05-31,Madhya Pradesh,Mandla,4,1,1,0,
2020-06-01,Madhya Pradesh,Mandla,4,1,1,0,
2020-06-02,Madhya Pradesh,Mandla,4,1,1,0,
2020-06-03,Madhya Pradesh,Mandla,4,1,1,0,
2020-06-04,Madhya Pradesh,Mandla,4,1,1,0,
2020-06-05,Madhya Pradesh,Mandla,5,1,1,0,
2020-06-06,Madhya Pradesh,Mandla,5,1,1,0,
2020-06-07,Madhya Pradesh,Mandla,5,1,1,0,
2020-06-08,Madhya Pradesh,Mandla,5,1,1,0,
2020-06-09,Madhya Pradesh,Mandla,5,1,1,0,
2020-06-10,Madhya Pradesh,Mandla,5,3,1,0,
2020-06-11,Madhya Pradesh,Mandla,5,3,1,0,
2020-06-12,Madhya Pradesh,Mandla,5,3,1,0,
2020-06-13,Madhya Pradesh,Mandla,5,3,1,0,
2020-06-14,Madhya Pradesh,Mandla,5,3,1,0,
2020-06-15,Madhya Pradesh,Mandla,5,3,1,0,
2020-06-16,Madhya Pradesh,Mandla,5,3,1,0,
2020-06-17,Madhya Pradesh,Mandla,5,3,1,0,
2020-06-18,Madhya Pradesh,Mandla,5,4,1,0,
2020-06-19,Madhya Pradesh,Mandla,5,4,1,0,
2020-06-20,Madhya Pradesh,Mandla,5,4,1,0,
2020-06-21,Madhya Pradesh,Mandla,5,4,1,0,
2020-06-22,Madhya Pradesh,Mandla,6,4,1,0,
2020-06-23,Madhya Pradesh,Mandla,6,4,1,0,
2020-06-24,Madhya Pradesh,Mandla,6,4,1,0,
2020-06-25,Madhya Pradesh,Mandla,6,4,1,0,
2020-06-26,Madhya Pradesh,Mandla,6,4,1,0,
2020-06-27,Madhya Pradesh,Mandla,6,4,1,0,
2020-06-28,Madhya Pradesh,Mandla,6,4,1,0,
2020-06-29,Madhya Pradesh,Mandla,6,4,1,0,
2020-06-30,Madhya Pradesh,Mandla,6,4,1,0,
2020-07-01,Madhya Pradesh,Mandla,6,4,1,0,
2020-07-02,Madhya Pradesh,Mandla,6,4,1,0,
2020-07-03,Madhya Pradesh,Mandla,6,4,1,0,
2020-07-04,Madhya Pradesh,Mandla,6,5,1,0,
2020-07-05,Madhya Pradesh,Mandla,6,5,1,0,
2020-07-06,Madhya Pradesh,Mandla,6,5,1,0,
2020-07-07,Madhya Pradesh,Mandla,6,5,1,0,
2020-07-08,Madhya Pradesh,Mandla,6,5,1,0,
2020-07-09,Madhya Pradesh,Mandla,6,5,1,0,
2020-07-10,Madhya Pradesh,Mandla,6,5,1,0,
2020-07-11,Madhya Pradesh,Mandla,7,5,1,0,
2020-07-12,Madhya Pradesh,Mandla,7,5,1,0,
2020-07-13,Madhya Pradesh,Mandla,7,5,1,0,
2020-07-14,Madhya Pradesh,Mandla,7,5,1,0,
2020-07-15,Madhya Pradesh,Mandla,10,5,1,0,
2020-07-16,Madhya Pradesh,Mandla,10,5,1,0,
2020-07-17,Madhya Pradesh,Mandla,11,5,1,0,
2020-07-18,Madhya Pradesh,Mandla,13,6,1,0,
2020-07-19,Madhya Pradesh,Mandla,14,6,1,0,
2020-07-20,Madhya Pradesh,Mandla,14,6,1,0,
2020-07-21,Madhya Pradesh,Mandla,18,6,1,0,
2020-07-22,Madhya Pradesh,Mandla,19,6,1,0,
2020-07-23,Madhya Pradesh,Mandla,20,6,1,0,
2020-07-24,Madhya Pradesh,Mandla,20,6,1,0,
2020-07-25,Madhya Pradesh,Mandla,20,6,1,0,
2020-07-26,Madhya Pradesh,Mandla,21,6,1,0,
2020-07-27,Madhya Pradesh,Mandla,21,13,1,0,
2020-07-28,Madhya Pradesh,Mandla,21,13,1,0,
2020-07-29,Madhya Pradesh,Mandla,21,15,1,0,
2020-07-30,Madhya Pradesh,Mandla,22,15,1,0,
2020-07-31,Madhya Pradesh,Mandla,23,15,1,0,
2020-08-01,Madhya Pradesh,Mandla,24,15,1,0,
2020-08-02,Madhya Pradesh,Mandla,38,15,1,0,
2020-08-03,Madhya Pradesh,Mandla,38,19,1,0,
2020-08-04,Madhya Pradesh,Mandla,40,19,1,0,
2020-08-05,Madhya Pradesh,Mandla,43,19,1,0,
2020-08-06,Madhya Pradesh,Mandla,45,19,1,0,
2020-08-07,Madhya Pradesh,Mandla,47,19,1,0,
2020-08-08,Madhya Pradesh,Mandla,50,19,1,0,
2020-08-09,Madhya Pradesh,Mandla,53,22,1,0,
2020-08-10,Madhya Pradesh,Mandla,73,34,1,0,
2020-08-11,Madhya Pradesh,Mandla,74,37,1,0,
2020-08-12,Madhya Pradesh,Mandla,81,37,1,0,
2020-08-13,Madhya Pradesh,Mandla,83,39,1,0,
2020-08-14,Madhya Pradesh,Mandla,86,39,1,0,
2020-08-15,Madhya Pradesh,Mandla,91,39,1,0,
2020-08-16,Madhya Pradesh,Mandla,92,50,1,0,
2020-08-17,Madhya Pradesh,Mandla,95,52,1,0,
2020-08-18,Madhya Pradesh,Mandla,99,52,1,0,
2020-08-19,Madhya Pradesh,Mandla,107,57,1,0,
2020-08-20,Madhya Pradesh,Mandla,112,64,1,0,
2020-08-21,Madhya Pradesh,Mandla,117,67,1,0,
2020-08-22,Madhya Pradesh,Mandla,118,69,1,0,
2020-08-23,Madhya Pradesh,Mandla,126,77,1,0,
2020-08-24,Madhya Pradesh,Mandla,130,77,1,0,
2020-08-25,Madhya Pradesh,Mandla,142,81,1,0,
2020-08-26,Madhya Pradesh,Mandla,144,87,1,0,
2020-08-27,Madhya Pradesh,Mandla,147,90,1,0,
2020-08-28,Madhya Pradesh,Mandla,158,95,1,0,
2020-08-29,Madhya Pradesh,Mandla,160,107,1,0,
2020-08-30,Madhya Pradesh,Mandla,176,110,1,0,
2020-08-31,Madhya Pradesh,Mandla,181,113,1,0,
2020-09-01,Madhya Pradesh,Mandla,200,118,1,0,
2020-09-02,Madhya Pradesh,Mandla,259,123,1,0,
2020-09-03,Madhya Pradesh,Mandla,268,137,2,0,
2020-09-04,Madhya Pradesh,Mandla,274,141,2,0,
2020-09-05,Madhya Pradesh,Mandla,287,147,2,0,
2020-09-06,Madhya Pradesh,Mandla,295,148,3,0,
2020-09-07,Madhya Pradesh,Mandla,318,148,3,0,
2020-09-08,Madhya Pradesh,Mandla,325,157,3,0,
2020-09-09,Madhya Pradesh,Mandla,336,166,4,0,
2020-09-10,Madhya Pradesh,Mandla,347,176,5,0,
2020-09-11,Madhya Pradesh,Mandla,360,197,5,0,
2020-09-12,Madhya Pradesh,Mandla,364,250,5,0,
2020-09-13,Madhya Pradesh,Mandla,378,276,5,0,
2020-09-14,Madhya Pradesh,Mandla,387,295,5,0,
2020-09-15,Madhya Pradesh,Mandla,392,306,5,0,
2020-09-16,Madhya Pradesh,Mandla,414,321,5,0,
2020-09-17,Madhya Pradesh,Mandla,423,337,5,0,
