Date,State,District,Confirmed,Recovered,Deceased,Other,Tested
2020-04-26,Madhya Pradesh,Morena,13,13,0,0,
2020-04-27,Madhya Pradesh,Morena,13,13,0,0,
2020-04-28,Madhya Pradesh,Morena,13,13,0,0,
2020-04-29,Madhya Pradesh,Morena,13,13,0,0,
2020-04-30,Madhya Pradesh,Morena,13,13,0,0,
2020-05-01,Madhya Pradesh,Morena,14,13,0,0,
2020-05-02,Madhya Pradesh,Morena,16,13,0,0,
2020-05-03,Madhya Pradesh,Morena,16,13,0,0,
2020-05-04,Madhya Pradesh,Morena,17,13,0,0,
2020-05-05,Madhya Pradesh,Morena,17,13,0,0,
2020-05-06,Madhya Pradesh,Morena,17,13,0,0,
2020-05-07,Madhya Pradesh,Morena,22,13,0,0,
2020-05-08,Madhya Pradesh,Morena,22,13,0,0,
2020-05-09,Madhya Pradesh,Morena,22,13,0,0,
2020-05-10,Madhya Pradesh,Morena,22,13,0,0,
2020-05-11,Madhya Pradesh,Morena,22,13,0,0,
2020-05-12,Madhya Pradesh,Morena,25,13,0,0,
2020-05-13,Madhya Pradesh,Morena,25,17,0,0,
2020-05-14,Madhya Pradesh,Morena,25,17,0,0,
2020-05-15,Madhya Pradesh,Morena,25,17,0,0,
2020-05-16,Madhya Pradesh,Morena,26,20,0,0,
2020-05-17,Madhya Pradesh,Morena,29,20,0,0,
2020-05-18,Madhya Pradesh,Morena,34,22,0,0,
2020-05-19,Madhya Pradesh,Morena,38,22,0,0,
2020-05-20,Madhya Pradesh,Morena,44,24,0,0,
2020-05-21,Madhya Pradesh,Morena,58,25,0,0,
2020-05-22,Madhya Pradesh,Morena,67,25,0,0,
2020-05-23,Madhya Pradesh,Morena,67,25,0,0,
2020-05-24,Madhya Pradesh,Morena,71,25,0,0,
2020-05-25,Madhya Pradesh,Morena,83,25,0,0,
2020-05-26,Madhya Pradesh,Morena,85,31,0,0,
2020-05-27,Madhya Pradesh,Morena,88,41,0,0,
2020-05-28,Madhya Pradesh,Morena,88,56,0,0,
2020-05-29,Madhya Pradesh,Morena,89,60,1,0,
2020-05-30,Madhya Pradesh,Morena,93,60,1,0,
2020-05-31,Madhya Pradesh,Morena,93,66,1,0,
2020-06-01,Madhya Pradesh,Morena,93,73,1,0,
2020-06-02,Madhya Pradesh,Morena,93,80,1,0,
2020-06-03,Madhya Pradesh,Morena,95,80,1,0,
2020-06-04,Madhya Pradesh,Morena,98,85,1,0,
2020-06-05,Madhya Pradesh,Morena,106,87,1,0,
2020-06-06,Madhya Pradesh,Morena,107,87,1,0,
2020-06-07,Madhya Pradesh,Morena,117,87,1,0,
2020-06-08,Madhya Pradesh,Morena,126,92,1,0,
2020-06-09,Madhya Pradesh,Morena,131,92,1,0,
2020-06-10,Madhya Pradesh,Morena,133,92,1,0,
2020-06-11,Madhya Pradesh,Morena,139,92,1,0,
2020-06-12,Madhya Pradesh,Morena,140,93,1,0,
2020-06-13,Madhya Pradesh,Morena,142,96,1,0,
2020-06-14,Madhya Pradesh,Morena,146,103,1,0,
2020-06-15,Madhya Pradesh,Morena,148,114,1,0,
2020-06-16,Madhya Pradesh,Morena,148,122,1,0,
2020-06-17,Madhya Pradesh,Morena,148,128,1,0,
2020-06-18,Madhya Pradesh,Morena,152,131,1,0,
2020-06-19,Madhya Pradesh,Morena,152,137,1,0,
2020-06-20,Madhya Pradesh,Morena,157,138,1,0,3188.0
2020-06-21,Madhya Pradesh,Morena,161,140,1,0,3188.0
2020-06-22,Madhya Pradesh,Morena,172,140,1,0,3469.0
2020-06-23,Madhya Pradesh,Morena,195,144,1,0,3516.0
2020-06-24,Madhya Pradesh,Morena,214,147,1,0,3516.0
2020-06-25,Madhya Pradesh,Morena,224,147,1,0,3962.0
2020-06-26,Madhya Pradesh,Morena,260,147,1,0,4282.0
2020-06-27,Madhya Pradesh,Morena,278,150,1,0,4282.0
2020-06-28,Madhya Pradesh,Morena,325,153,3,0,4777.0
2020-06-29,Madhya Pradesh,Morena,349,155,3,0,5191.0
2020-06-30,Madhya Pradesh,Morena,408,160,3,0,5478.0
2020-07-01,Madhya Pradesh,Morena,481,168,4,0,5989.0
2020-07-02,Madhya Pradesh,Morena,538,180,5,0,5989.0
2020-07-03,Madhya Pradesh,Morena,540,194,5,0,6669.0
2020-07-04,Madhya Pradesh,Morena,618,209,5,0,6669.0
2020-07-05,Madhya Pradesh,Morena,654,229,5,0,6750.0
2020-07-06,Madhya Pradesh,Morena,682,254,5,0,7800.0
2020-07-07,Madhya Pradesh,Morena,718,291,5,0,7800.0
2020-07-08,Madhya Pradesh,Morena,833,332,5,0,8426.0
2020-07-09,Madhya Pradesh,Morena,841,387,5,0,8666.0
2020-07-10,Madhya Pradesh,Morena,844,428,5,0,9090.0
2020-07-11,Madhya Pradesh,Morena,945,476,5,0,9435.0
2020-07-12,Madhya Pradesh,Morena,945,482,5,0,10930.0
2020-07-13,Madhya Pradesh,Morena,976,574,5,0,11705.0
2020-07-14,Madhya Pradesh,Morena,1074,662,5,0,13035.0
2020-07-15,Madhya Pradesh,Morena,1142,708,5,0,14300.0
2020-07-16,Madhya Pradesh,Morena,1187,746,5,0,14300.0
2020-07-17,Madhya Pradesh,Morena,1187,808,5,0,16707.0
2020-07-18,Madhya Pradesh,Morena,1216,841,5,0,16707.0
2020-07-19,Madhya Pradesh,Morena,1319,913,5,0,17998.0
2020-07-20,Madhya Pradesh,Morena,1332,959,7,0,17998.0
2020-07-21,Madhya Pradesh,Morena,1394,999,8,0,17998.0
2020-07-22,Madhya Pradesh,Morena,1401,1081,8,0,17998.0
2020-07-23,Madhya Pradesh,Morena,1410,1128,8,0,17998.0
2020-07-24,Madhya Pradesh,Morena,1459,1167,9,0,21201.0
2020-07-25,Madhya Pradesh,Morena,1478,1204,9,0,21201.0
2020-07-26,Madhya Pradesh,Morena,1500,1271,9,0,22433.0
2020-07-27,Madhya Pradesh,Morena,1519,1345,9,0,22433.0
2020-07-28,Madhya Pradesh,Morena,1531,1366,9,0,24128.0
2020-07-29,Madhya Pradesh,Morena,1555,1378,9,0,24926.0
2020-07-30,Madhya Pradesh,Morena,1567,1398,9,0,24926.0
2020-07-31,Madhya Pradesh,Morena,1573,1435,9,0,24926.0
2020-08-01,Madhya Pradesh,Morena,1589,1460,9,0,24926.0
2020-08-02,Madhya Pradesh,Morena,1627,1487,9,0,26401.0
2020-08-03,Madhya Pradesh,Morena,1643,1495,9,0,26479.0
2020-08-04,Madhya Pradesh,Morena,1686,1511,9,0,26479.0
2020-08-05,Madhya Pradesh,Morena,1690,1522,9,0,27906.0
2020-08-06,Madhya Pradesh,Morena,1694,1535,9,0,27929.0
2020-08-07,Madhya Pradesh,Morena,1718,1548,9,0,28519.0
2020-08-08,Madhya Pradesh,Morena,1750,1572,9,0,28519.0
2020-08-09,Madhya Pradesh,Morena,1769,1596,11,0,29617.0
2020-08-10,Madhya Pradesh,Morena,1807,1621,11,0,29617.0
2020-08-11,Madhya Pradesh,Morena,1814,1644,11,0,29617.0
2020-08-12,Madhya Pradesh,Morena,1824,1654,11,0,29617.0
2020-08-13,Madhya Pradesh,Morena,1847,1661,11,0,29617.0
2020-08-14,Madhya Pradesh,Morena,1870,1672,11,0,29617.0
2020-08-15,Madhya Pradesh,Morena,1879,1700,11,0,29617.0
2020-08-16,Madhya Pradesh,Morena,1889,1738,11,0,29617.0
2020-08-17,Madhya Pradesh,Morena,1895,1755,11,0,29617.0
2020-08-18,Madhya Pradesh,Morena,1898,1779,11,0,33332.0
2020-08-19,Madhya Pradesh,Morena,1911,1788,11,0,35043.0
2020-08-20,Madhya Pradesh,Morena,1926,1794,11,0,35043.0
2020-08-21,Madhya Pradesh,Morena,1936,1824,11,0,35043.0
2020-08-22,Madhya Pradesh,Morena,1953,1844,11,0,35043.0
2020-08-23,Madhya Pradesh,Morena,1975,1855,11,0,35043.0
2020-08-24,Madhya Pradesh,Morena,1980,1860,12,0,35043.0
2020-08-25,Madhya Pradesh,Morena,1997,1874,12,0,35043.0
2020-08-26,Madhya Pradesh,Morena,2009,1878,13,0,35043.0
2020-08-27,Madhya Pradesh,Morena,2026,1886,13,0,35043.0
2020-08-28,Madhya Pradesh,Morena,2039,1897,13,0,35043.0
2020-08-29,Madhya Pradesh,Morena,2056,1905,13,0,40239.0
2020-08-30,Madhya Pradesh,Morena,2066,1926,13,0,40239.0
2020-08-31,Madhya Pradesh,Morena,2079,1942,13,0,40239.0
2020-09-01,Madhya Pradesh,Morena,2100,1954,13,0,41387.0
2020-09-02,Madhya Pradesh,Morena,2109,1967,15,0,41884.0
2020-09-03,Madhya Pradesh,Morena,2117,1980,15,0,41884.0
2020-09-04,Madhya Pradesh,Morena,2132,1992,15,0,42820.0
2020-09-05,Madhya Pradesh,Morena,2152,2000,15,0,43283.0
2020-09-06,Madhya Pradesh,Morena,2158,2006,15,0,43283.0
2020-09-07,Madhya Pradesh,Morena,2179,2020,15,0,43283.0
2020-09-08,Madhya Pradesh,Morena,2199,2047,15,0,43283.0
2020-09-09,Madhya Pradesh,Morena,2206,2061,15,0,43283.0
2020-09-10,Madhya Pradesh,Morena,2220,2065,15,0,43283.0
2020-09-11,Madhya Pradesh,Morena,2227,2081,15,0,43283.0
2020-09-12,Madhya Pradesh,Morena,2246,2094,17,0,43283.0
2020-09-13,Madhya Pradesh,Morena,2263,2116,17,0,43283.0
2020-09-14,Madhya Pradesh,Morena,2284,2127,18,0,43283.0
2020-09-15,Madhya Pradesh,Morena,2311,2148,18,0,43283.0
2020-09-16,Madhya Pradesh,Morena,2324,2174,19,0,43283.0
2020-09-17,Madhya Pradesh,Morena,2362,2178,19,0,43283.0
2020-09-18,Madhya Pradesh,Morena,2379,2191,19,0,43283.0
2020-09-19,Madhya Pradesh,Morena,2413,2201,19,0,47363.0
2020-09-20,Madhya Pradesh,Morena,2428,2216,19,0,47363.0
2020-09-21,Madhya Pradesh,Morena,2459,2227,19,0,47363.0
2020-09-22,Madhya Pradesh,Morena,2478,2242,19,0,47363.0
2020-09-23,Madhya Pradesh,Morena,2493,2274,19,0,47363.0
2020-09-24,Madhya Pradesh,Morena,2500,2288,21,0,47363.0
2020-09-25,Madhya Pradesh,Morena,2510,2313,21,0,47363.0
2020-09-26,Madhya Pradesh,Morena,2539,2323,21,0,47363.0
2020-09-27,Madhya Pradesh,Morena,2550,2359,21,0,47363.0
2020-09-28,Madhya Pradesh,Morena,2551,2383,21,0,47363.0
2020-09-29,Madhya Pradesh,Morena,2560,2414,21,0,47363.0
2020-09-30,Madhya Pradesh,Morena,2571,2430,21,0,47363.0
2020-10-01,Madhya Pradesh,Morena,2595,2442,21,0,47363.0
2020-10-02,Madhya Pradesh,Morena,2603,2460,22,0,47363.0
2020-10-03,Madhya Pradesh,Morena,2610,2484,22,0,47363.0
2020-10-04,Madhya Pradesh,Morena,2619,2507,22,0,53345.0
2020-10-05,Madhya Pradesh,Morena,2621,2525,22,0,53758.0
2020-10-06,Madhya Pradesh,Morena,2638,2528,22,0,53758.0
2020-10-07,Madhya Pradesh,Morena,2646,2540,23,0,54581.0
2020-10-08,Madhya Pradesh,Morena,2657,2546,23,0,54581.0
2020-10-09,Madhya Pradesh,Morena,2667,2546,23,0,54581.0
2020-10-10,Madhya Pradesh,Morena,2674,2556,23,0,55807.0
2020-10-11,Madhya Pradesh,Morena,2679,2583,23,0,55807.0
2020-10-12,Madhya Pradesh,Morena,2681,2589,23,0,55807.0
2020-10-13,Madhya Pradesh,Morena,2689,2597,23,0,55807.0
2020-10-14,Madhya Pradesh,Morena,2699,2617,23,0,55807.0
2020-10-15,Madhya Pradesh,Morena,2701,2623,23,0,55807.0
2020-10-16,Madhya Pradesh,Morena,2706,2633,23,0,55807.0
2020-10-17,Madhya Pradesh,Morena,2715,2639,23,0,55807.0
2020-10-18,Madhya Pradesh,Morena,2716,2644,23,0,55807.0
2020-10-19,Madhya Pradesh,Morena,2721,2649,23,0,55807.0
2020-10-20,Madhya Pradesh,Morena,2725,2656,23,0,55807.0
2020-10-21,Madhya Pradesh,Morena,2729,2662,23,0,55807.0
2020-10-22,Madhya Pradesh,Morena,2738,2663,23,0,55807.0
2020-10-23,Madhya Pradesh,Morena,2744,2671,23,0,55807.0
2020-10-24,Madhya Pradesh,Morena,2748,2678,23,0,55807.0
2020-10-25,Madhya Pradesh,Morena,2750,2685,23,0,60487.0
2020-10-26,Madhya Pradesh,Morena,2753,2693,23,0,60647.0
2020-10-27,Madhya Pradesh,Morena,2755,2701,23,0,60647.0
2020-10-28,Madhya Pradesh,Morena,2763,2702,23,0,60647.0
2020-10-29,Madhya Pradesh,Morena,2763,2702,23,0,60647.0
