Date,State,District,Confirmed,Recovered,Deceased,Other,Tested
2020-05-03,Madhya Pradesh,Niwari,1,0,0,0,
2020-05-04,Madhya Pradesh,Niwari,0,0,0,0,
2020-06-14,Madhya Pradesh,Niwari,1,0,0,0,
2020-06-15,Madhya Pradesh,Niwari,3,0,0,0,
2020-06-16,Madhya Pradesh,Niwari,7,0,0,0,
2020-06-17,Madhya Pradesh,Niwari,7,0,0,0,
2020-06-18,Madhya Pradesh,Niwari,7,0,0,0,
2020-06-19,Madhya Pradesh,Niwari,7,0,0,0,
2020-06-20,Madhya Pradesh,Niwari,7,0,0,0,
2020-06-21,Madhya Pradesh,Niwari,7,0,0,0,
2020-06-22,Madhya Pradesh,Niwari,8,0,0,0,
2020-06-23,Madhya Pradesh,Niwari,8,0,0,0,
2020-06-24,Madhya Pradesh,Niwari,8,0,0,0,
2020-06-25,Madhya Pradesh,Niwari,8,0,0,0,
2020-06-26,Madhya Pradesh,Niwari,8,0,0,0,
2020-06-27,Madhya Pradesh,Niwari,8,0,0,0,
2020-06-28,Madhya Pradesh,Niwari,8,0,0,0,
2020-06-29,Madhya Pradesh,Niwari,8,4,0,0,
2020-06-30,Madhya Pradesh,Niwari,9,7,0,0,
2020-07-01,Madhya Pradesh,Niwari,10,7,0,0,
2020-07-02,Madhya Pradesh,Niwari,10,7,0,0,
2020-07-03,Madhya Pradesh,Niwari,10,7,0,0,
2020-07-04,Madhya Pradesh,Niwari,11,8,0,0,
2020-07-05,Madhya Pradesh,Niwari,11,8,0,0,
2020-07-06,Madhya Pradesh,Niwari,11,8,0,0,251.0
2020-07-07,Madhya Pradesh,Niwari,11,8,0,0,251.0
2020-07-08,Madhya Pradesh,Niwari,11,8,0,0,251.0
2020-07-09,Madhya Pradesh,Niwari,11,8,0,0,251.0
2020-07-10,Madhya Pradesh,Niwari,12,8,0,0,251.0
2020-07-11,Madhya Pradesh,Niwari,12,8,0,0,251.0
2020-07-12,Madhya Pradesh,Niwari,12,8,0,0,251.0
2020-07-13,Madhya Pradesh,Niwari,13,10,0,0,562.0
2020-07-14,Madhya Pradesh,Niwari,19,11,0,0,562.0
2020-07-15,Madhya Pradesh,Niwari,22,11,0,0,605.0
2020-07-16,Madhya Pradesh,Niwari,23,11,0,0,605.0
2020-07-17,Madhya Pradesh,Niwari,23,11,0,0,605.0
