Date,State,District,Confirmed,Recovered,Deceased,Other,Tested
2020-05-03,Madhya Pradesh,Panna,1,0,0,0,
2020-05-04,Madhya Pradesh,Panna,1,0,0,0,
2020-05-05,Madhya Pradesh,Panna,1,0,0,0,
2020-05-06,Madhya Pradesh,Panna,1,0,0,0,
2020-05-07,Madhya Pradesh,Panna,1,0,0,0,
2020-05-08,Madhya Pradesh,Panna,1,0,0,0,
2020-05-09,Madhya Pradesh,Panna,1,0,0,0,
2020-05-10,Madhya Pradesh,Panna,1,0,0,0,
2020-05-11,Madhya Pradesh,Panna,1,0,0,0,
2020-05-12,Madhya Pradesh,Panna,1,0,0,0,
2020-05-13,Madhya Pradesh,Panna,1,0,0,0,
2020-05-14,Madhya Pradesh,Panna,1,0,0,0,
2020-05-15,Madhya Pradesh,Panna,1,0,0,0,
2020-05-16,Madhya Pradesh,Panna,1,0,0,0,
2020-05-17,Madhya Pradesh,Panna,2,1,0,0,
2020-05-18,Madhya Pradesh,Panna,2,1,0,0,
2020-05-19,Madhya Pradesh,Panna,2,1,0,0,
2020-05-20,Madhya Pradesh,Panna,3,1,0,0,
2020-05-21,Madhya Pradesh,Panna,3,1,0,0,
2020-05-22,Madhya Pradesh,Panna,3,1,0,0,
2020-05-23,Madhya Pradesh,Panna,3,1,0,0,
2020-05-24,Madhya Pradesh,Panna,3,1,0,0,
2020-05-25,Madhya Pradesh,Panna,3,1,0,0,
2020-05-26,Madhya Pradesh,Panna,4,1,0,0,
2020-05-27,Madhya Pradesh,Panna,4,1,0,0,
2020-05-28,Madhya Pradesh,Panna,4,1,0,0,
2020-05-29,Madhya Pradesh,Panna,4,1,0,0,
2020-05-30,Madhya Pradesh,Panna,11,2,0,0,
2020-05-31,Madhya Pradesh,Panna,16,3,0,0,
2020-06-01,Madhya Pradesh,Panna,19,3,0,0,
2020-06-02,Madhya Pradesh,Panna,20,3,0,0,
2020-06-03,Madhya Pradesh,Panna,20,3,0,0,
2020-06-04,Madhya Pradesh,Panna,20,4,0,0,
2020-06-05,Madhya Pradesh,Panna,20,4,0,0,
2020-06-06,Madhya Pradesh,Panna,20,9,0,0,
2020-06-07,Madhya Pradesh,Panna,20,10,0,0,
2020-06-08,Madhya Pradesh,Panna,21,15,0,0,
2020-06-09,Madhya Pradesh,Panna,21,15,0,0,
2020-06-10,Madhya Pradesh,Panna,21,19,0,0,
2020-06-11,Madhya Pradesh,Panna,21,19,0,0,
2020-06-12,Madhya Pradesh,Panna,21,20,0,0,
2020-06-13,Madhya Pradesh,Panna,21,20,0,0,
2020-06-14,Madhya Pradesh,Panna,21,20,0,0,
2020-06-15,Madhya Pradesh,Panna,22,21,0,0,
2020-06-16,Madhya Pradesh,Panna,22,21,0,0,
2020-06-17,Madhya Pradesh,Panna,23,21,0,0,
2020-06-18,Madhya Pradesh,Panna,23,21,0,0,
2020-06-19,Madhya Pradesh,Panna,25,21,0,0,
