Date,State,District,Confirmed,Recovered,Deceased,Other,Tested
2020-05-19,Madhya Pradesh,Rajgarh,1,0,0,0,
2020-05-20,Madhya Pradesh,Rajgarh,1,0,0,0,
2020-05-21,Madhya Pradesh,Rajgarh,2,0,0,0,
2020-05-22,Madhya Pradesh,Rajgarh,2,0,0,0,
2020-05-23,Madhya Pradesh,Rajgarh,2,0,0,0,
2020-05-24,Madhya Pradesh,Rajgarh,2,0,0,0,
2020-05-25,Madhya Pradesh,Rajgarh,3,0,0,0,
2020-05-26,Madhya Pradesh,Rajgarh,3,0,0,0,
2020-05-27,Madhya Pradesh,Rajgarh,7,0,0,0,
2020-05-28,Madhya Pradesh,Rajgarh,7,0,0,0,
2020-05-29,Madhya Pradesh,Rajgarh,8,0,1,0,
2020-05-30,Madhya Pradesh,Rajgarh,8,0,1,0,
2020-05-31,Madhya Pradesh,Rajgarh,10,0,1,0,
2020-06-01,Madhya Pradesh,Rajgarh,10,0,1,0,
2020-06-02,Madhya Pradesh,Rajgarh,13,1,1,0,
2020-06-03,Madhya Pradesh,Rajgarh,14,1,1,0,
2020-06-04,Madhya Pradesh,Rajgarh,14,1,1,0,
2020-06-05,Madhya Pradesh,Rajgarh,14,1,1,0,
2020-06-06,Madhya Pradesh,Rajgarh,20,6,3,0,
2020-06-07,Madhya Pradesh,Rajgarh,20,7,3,0,
2020-06-08,Madhya Pradesh,Rajgarh,28,7,3,0,
2020-06-09,Madhya Pradesh,Rajgarh,33,9,3,0,
2020-06-10,Madhya Pradesh,Rajgarh,37,9,3,0,
2020-06-11,Madhya Pradesh,Rajgarh,39,12,3,0,
2020-06-12,Madhya Pradesh,Rajgarh,41,13,4,0,
2020-06-13,Madhya Pradesh,Rajgarh,43,13,4,0,
2020-06-14,Madhya Pradesh,Rajgarh,45,13,4,0,
2020-06-15,Madhya Pradesh,Rajgarh,46,15,4,0,
2020-06-16,Madhya Pradesh,Rajgarh,46,16,4,0,
2020-06-17,Madhya Pradesh,Rajgarh,49,21,4,0,
2020-06-18,Madhya Pradesh,Rajgarh,51,25,4,0,
2020-06-19,Madhya Pradesh,Rajgarh,62,28,5,0,
2020-06-20,Madhya Pradesh,Rajgarh,62,32,5,0,1618.0
2020-06-21,Madhya Pradesh,Rajgarh,80,32,5,0,1618.0
2020-06-22,Madhya Pradesh,Rajgarh,80,32,5,0,1732.0
2020-06-23,Madhya Pradesh,Rajgarh,81,35,5,0,1767.0
2020-06-24,Madhya Pradesh,Rajgarh,81,36,5,0,1767.0
2020-06-25,Madhya Pradesh,Rajgarh,82,37,5,0,1847.0
2020-06-26,Madhya Pradesh,Rajgarh,83,39,5,0,1953.0
2020-06-27,Madhya Pradesh,Rajgarh,85,41,5,0,2008.0
2020-06-28,Madhya Pradesh,Rajgarh,85,43,5,0,2049.0
2020-06-29,Madhya Pradesh,Rajgarh,86,45,5,0,2118.0
2020-06-30,Madhya Pradesh,Rajgarh,94,46,6,0,2197.0
2020-07-01,Madhya Pradesh,Rajgarh,96,56,6,0,2258.0
2020-07-02,Madhya Pradesh,Rajgarh,96,57,6,0,2316.0
2020-07-03,Madhya Pradesh,Rajgarh,98,57,6,0,2393.0
2020-07-04,Madhya Pradesh,Rajgarh,101,64,6,0,2450.0
2020-07-05,Madhya Pradesh,Rajgarh,104,65,6,0,2450.0
2020-07-06,Madhya Pradesh,Rajgarh,104,70,6,0,2503.0
2020-07-07,Madhya Pradesh,Rajgarh,106,70,6,0,2503.0
2020-07-08,Madhya Pradesh,Rajgarh,106,70,6,0,2686.0
2020-07-09,Madhya Pradesh,Rajgarh,112,75,6,0,2850.0
2020-07-10,Madhya Pradesh,Rajgarh,113,85,6,0,2850.0
2020-07-11,Madhya Pradesh,Rajgarh,114,85,7,0,2850.0
2020-07-12,Madhya Pradesh,Rajgarh,121,86,7,0,2850.0
2020-07-13,Madhya Pradesh,Rajgarh,125,89,7,0,2850.0
2020-07-14,Madhya Pradesh,Rajgarh,148,89,7,0,2850.0
2020-07-15,Madhya Pradesh,Rajgarh,150,89,7,0,2850.0
2020-07-16,Madhya Pradesh,Rajgarh,153,93,7,0,2850.0
2020-07-17,Madhya Pradesh,Rajgarh,161,93,7,0,2850.0
2020-07-18,Madhya Pradesh,Rajgarh,163,95,7,0,2850.0
2020-07-19,Madhya Pradesh,Rajgarh,171,97,7,0,2850.0
2020-07-20,Madhya Pradesh,Rajgarh,174,100,8,0,2850.0
2020-07-21,Madhya Pradesh,Rajgarh,182,103,8,0,2850.0
2020-07-22,Madhya Pradesh,Rajgarh,187,118,8,0,2850.0
2020-07-23,Madhya Pradesh,Rajgarh,199,124,9,0,2850.0
2020-07-24,Madhya Pradesh,Rajgarh,207,126,9,0,2850.0
2020-07-25,Madhya Pradesh,Rajgarh,219,128,9,0,2850.0
2020-07-26,Madhya Pradesh,Rajgarh,225,129,9,0,2850.0
2020-07-27,Madhya Pradesh,Rajgarh,231,143,9,0,2850.0
2020-07-28,Madhya Pradesh,Rajgarh,238,150,9,0,2850.0
2020-07-29,Madhya Pradesh,Rajgarh,273,155,9,0,2850.0
2020-07-30,Madhya Pradesh,Rajgarh,285,157,9,0,2850.0
2020-07-31,Madhya Pradesh,Rajgarh,301,166,9,0,2850.0
2020-08-01,Madhya Pradesh,Rajgarh,320,180,9,0,2850.0
2020-08-02,Madhya Pradesh,Rajgarh,343,180,9,0,2850.0
2020-08-03,Madhya Pradesh,Rajgarh,370,205,9,0,2850.0
2020-08-04,Madhya Pradesh,Rajgarh,376,211,9,0,2850.0
2020-08-05,Madhya Pradesh,Rajgarh,389,223,10,0,2850.0
2020-08-06,Madhya Pradesh,Rajgarh,389,231,10,0,2850.0
2020-08-07,Madhya Pradesh,Rajgarh,395,239,10,0,2850.0
2020-08-08,Madhya Pradesh,Rajgarh,411,262,11,0,2850.0
2020-08-09,Madhya Pradesh,Rajgarh,418,293,11,0,8592.0
2020-08-10,Madhya Pradesh,Rajgarh,426,296,11,0,8592.0
2020-08-11,Madhya Pradesh,Rajgarh,426,307,11,0,8592.0
2020-08-12,Madhya Pradesh,Rajgarh,441,329,11,0,8592.0
2020-08-13,Madhya Pradesh,Rajgarh,477,333,11,0,8592.0
2020-08-14,Madhya Pradesh,Rajgarh,484,343,11,0,8592.0
2020-08-15,Madhya Pradesh,Rajgarh,512,354,11,0,8592.0
2020-08-16,Madhya Pradesh,Rajgarh,530,357,12,0,8592.0
2020-08-17,Madhya Pradesh,Rajgarh,539,379,12,0,8592.0
2020-08-18,Madhya Pradesh,Rajgarh,578,385,12,0,8364.0
2020-08-19,Madhya Pradesh,Rajgarh,585,395,12,0,8364.0
2020-08-20,Madhya Pradesh,Rajgarh,617,409,12,0,8364.0
2020-08-21,Madhya Pradesh,Rajgarh,646,413,12,0,8364.0
2020-08-22,Madhya Pradesh,Rajgarh,676,425,12,0,8364.0
2020-08-23,Madhya Pradesh,Rajgarh,706,436,12,0,8364.0
2020-08-24,Madhya Pradesh,Rajgarh,735,464,13,0,8364.0
2020-08-25,Madhya Pradesh,Rajgarh,746,481,13,0,8364.0
2020-08-26,Madhya Pradesh,Rajgarh,756,484,13,0,8364.0
2020-08-27,Madhya Pradesh,Rajgarh,770,515,13,0,8364.0
2020-08-28,Madhya Pradesh,Rajgarh,784,532,13,0,8364.0
2020-08-29,Madhya Pradesh,Rajgarh,807,556,13,0,11591.0
2020-08-30,Madhya Pradesh,Rajgarh,832,586,13,0,11591.0
2020-08-31,Madhya Pradesh,Rajgarh,841,599,13,0,11591.0
2020-09-01,Madhya Pradesh,Rajgarh,865,637,13,0,12706.0
2020-09-02,Madhya Pradesh,Rajgarh,875,658,13,0,12706.0
2020-09-03,Madhya Pradesh,Rajgarh,879,664,13,0,13637.0
2020-09-04,Madhya Pradesh,Rajgarh,894,693,14,0,14158.0
2020-09-05,Madhya Pradesh,Rajgarh,902,698,14,0,14539.0
2020-09-06,Madhya Pradesh,Rajgarh,905,705,15,0,14539.0
2020-09-07,Madhya Pradesh,Rajgarh,922,730,15,0,14539.0
2020-09-08,Madhya Pradesh,Rajgarh,952,739,15,0,14539.0
2020-09-09,Madhya Pradesh,Rajgarh,970,772,15,0,14539.0
2020-09-10,Madhya Pradesh,Rajgarh,985,798,15,0,14539.0
2020-09-11,Madhya Pradesh,Rajgarh,997,819,15,0,14539.0
2020-09-12,Madhya Pradesh,Rajgarh,1011,835,15,0,14539.0
2020-09-13,Madhya Pradesh,Rajgarh,1022,839,15,0,14539.0
2020-09-14,Madhya Pradesh,Rajgarh,1047,854,15,0,14539.0
2020-09-15,Madhya Pradesh,Rajgarh,1058,871,15,0,14539.0
2020-09-16,Madhya Pradesh,Rajgarh,1072,878,17,0,14539.0
2020-09-17,Madhya Pradesh,Rajgarh,1089,889,17,0,14539.0
2020-09-18,Madhya Pradesh,Rajgarh,1113,905,18,0,14539.0
2020-09-19,Madhya Pradesh,Rajgarh,1137,931,18,0,14539.0
