Date,State,District,Confirmed,Recovered,Deceased,Other,Tested
2020-04-26,Madhya Pradesh,Ratlam,13,0,0,0,
2020-04-27,Madhya Pradesh,Ratlam,13,0,0,0,
2020-04-28,Madhya Pradesh,Ratlam,13,0,0,0,
2020-04-29,Madhya Pradesh,Ratlam,13,0,0,0,
2020-04-30,Madhya Pradesh,Ratlam,14,0,0,0,
2020-05-01,Madhya Pradesh,Ratlam,16,11,0,0,
2020-05-02,Madhya Pradesh,Ratlam,16,11,0,0,
2020-05-03,Madhya Pradesh,Ratlam,16,11,0,0,
2020-05-04,Madhya Pradesh,Ratlam,16,11,0,0,
2020-05-05,Madhya Pradesh,Ratlam,16,12,0,0,
2020-05-06,Madhya Pradesh,Ratlam,20,12,0,0,
2020-05-07,Madhya Pradesh,Ratlam,20,12,0,0,
2020-05-08,Madhya Pradesh,Ratlam,23,12,0,0,
2020-05-09,Madhya Pradesh,Ratlam,23,12,0,0,
2020-05-10,Madhya Pradesh,Ratlam,23,12,0,0,
2020-05-11,Madhya Pradesh,Ratlam,23,12,0,0,
2020-05-12,Madhya Pradesh,Ratlam,24,19,0,0,
2020-05-13,Madhya Pradesh,Ratlam,28,19,0,0,
2020-05-14,Madhya Pradesh,Ratlam,28,19,0,0,
2020-05-15,Madhya Pradesh,Ratlam,28,23,0,0,
2020-05-16,Madhya Pradesh,Ratlam,28,23,0,0,
2020-05-17,Madhya Pradesh,Ratlam,28,23,0,0,
2020-05-18,Madhya Pradesh,Ratlam,28,23,0,0,
2020-05-19,Madhya Pradesh,Ratlam,28,26,0,0,
2020-05-20,Madhya Pradesh,Ratlam,28,26,0,0,
2020-05-21,Madhya Pradesh,Ratlam,29,26,0,0,
2020-05-22,Madhya Pradesh,Ratlam,30,27,0,0,
2020-05-23,Madhya Pradesh,Ratlam,31,27,0,0,
2020-05-24,Madhya Pradesh,Ratlam,31,27,0,0,
2020-05-25,Madhya Pradesh,Ratlam,31,27,0,0,
2020-05-26,Madhya Pradesh,Ratlam,31,27,0,0,
2020-05-27,Madhya Pradesh,Ratlam,31,27,0,0,
2020-05-28,Madhya Pradesh,Ratlam,32,29,1,0,
2020-05-29,Madhya Pradesh,Ratlam,34,29,1,0,
2020-05-30,Madhya Pradesh,Ratlam,34,31,1,0,
2020-05-31,Madhya Pradesh,Ratlam,34,31,1,0,
2020-06-01,Madhya Pradesh,Ratlam,37,31,1,0,
2020-06-02,Madhya Pradesh,Ratlam,38,31,2,0,
2020-06-03,Madhya Pradesh,Ratlam,41,31,2,0,
2020-06-04,Madhya Pradesh,Ratlam,43,31,2,0,
2020-06-05,Madhya Pradesh,Ratlam,44,31,2,0,
2020-06-06,Madhya Pradesh,Ratlam,51,31,4,0,
2020-06-07,Madhya Pradesh,Ratlam,53,31,4,0,
2020-06-08,Madhya Pradesh,Ratlam,61,32,4,0,
2020-06-09,Madhya Pradesh,Ratlam,61,32,4,0,
2020-06-10,Madhya Pradesh,Ratlam,85,35,4,0,
2020-06-11,Madhya Pradesh,Ratlam,85,35,4,0,
2020-06-12,Madhya Pradesh,Ratlam,85,40,4,0,
2020-06-13,Madhya Pradesh,Ratlam,86,44,4,0,
2020-06-14,Madhya Pradesh,Ratlam,87,44,4,0,
2020-06-15,Madhya Pradesh,Ratlam,107,55,4,0,
2020-06-16,Madhya Pradesh,Ratlam,111,55,5,0,
2020-06-17,Madhya Pradesh,Ratlam,118,77,5,0,
2020-06-18,Madhya Pradesh,Ratlam,127,77,6,0,
2020-06-19,Madhya Pradesh,Ratlam,130,82,6,0,
2020-06-20,Madhya Pradesh,Ratlam,133,90,6,0,2882.0
2020-06-21,Madhya Pradesh,Ratlam,134,95,6,0,2882.0
2020-06-22,Madhya Pradesh,Ratlam,137,109,6,0,3001.0
2020-06-23,Madhya Pradesh,Ratlam,137,113,6,0,3073.0
2020-06-24,Madhya Pradesh,Ratlam,141,117,6,0,3073.0
2020-06-25,Madhya Pradesh,Ratlam,143,118,6,0,3335.0
2020-06-26,Madhya Pradesh,Ratlam,147,125,6,0,3555.0
2020-06-27,Madhya Pradesh,Ratlam,147,128,6,0,3605.0
2020-06-28,Madhya Pradesh,Ratlam,151,130,6,0,3655.0
2020-06-29,Madhya Pradesh,Ratlam,156,130,6,0,3775.0
2020-06-30,Madhya Pradesh,Ratlam,157,132,6,0,3830.0
2020-07-01,Madhya Pradesh,Ratlam,162,132,6,0,4025.0
2020-07-02,Madhya Pradesh,Ratlam,167,137,6,0,4025.0
2020-07-03,Madhya Pradesh,Ratlam,170,138,6,0,4316.0
2020-07-04,Madhya Pradesh,Ratlam,172,138,6,0,4666.0
