Date,State,District,Confirmed,Recovered,Deceased,Other,Tested
2020-04-28,Madhya Pradesh,Rewa,2,0,0,0,
2020-04-29,Madhya Pradesh,Rewa,2,0,0,0,
2020-04-30,Madhya Pradesh,Rewa,2,0,0,0,
2020-05-01,Madhya Pradesh,Rewa,2,0,0,0,
2020-05-02,Madhya Pradesh,Rewa,2,0,0,0,
2020-05-03,Madhya Pradesh,Rewa,2,0,0,0,
2020-05-04,Madhya Pradesh,Rewa,2,0,0,0,
2020-05-05,Madhya Pradesh,Rewa,2,0,0,0,
2020-05-06,Madhya Pradesh,Rewa,2,0,0,0,
2020-05-07,Madhya Pradesh,Rewa,2,0,0,0,
2020-05-08,Madhya Pradesh,Rewa,2,0,0,0,
2020-05-09,Madhya Pradesh,Rewa,2,0,0,0,
2020-05-10,Madhya Pradesh,Rewa,2,0,0,0,
2020-05-11,Madhya Pradesh,Rewa,3,0,0,0,
2020-05-12,Madhya Pradesh,Rewa,3,0,0,0,
2020-05-13,Madhya Pradesh,Rewa,3,1,0,0,
2020-05-14,Madhya Pradesh,Rewa,7,1,0,0,
2020-05-15,Madhya Pradesh,Rewa,11,1,0,0,
2020-05-16,Madhya Pradesh,Rewa,11,1,0,0,
2020-05-17,Madhya Pradesh,Rewa,11,1,0,0,
2020-05-18,Madhya Pradesh,Rewa,14,1,0,0,
2020-05-19,Madhya Pradesh,Rewa,14,1,0,0,
2020-05-20,Madhya Pradesh,Rewa,25,1,1,0,
2020-05-21,Madhya Pradesh,Rewa,22,1,1,0,
2020-05-22,Madhya Pradesh,Rewa,26,1,0,0,
2020-05-23,Madhya Pradesh,Rewa,26,2,0,0,
2020-05-24,Madhya Pradesh,Rewa,26,2,0,0,
2020-05-25,Madhya Pradesh,Rewa,28,2,0,0,
2020-05-26,Madhya Pradesh,Rewa,30,2,0,0,
2020-05-27,Madhya Pradesh,Rewa,32,2,0,0,
2020-05-28,Madhya Pradesh,Rewa,33,10,0,0,
2020-05-29,Madhya Pradesh,Rewa,35,10,0,0,
2020-05-30,Madhya Pradesh,Rewa,35,10,0,0,
2020-05-31,Madhya Pradesh,Rewa,35,10,0,0,
2020-06-01,Madhya Pradesh,Rewa,35,13,0,0,
2020-06-02,Madhya Pradesh,Rewa,35,22,0,0,
2020-06-03,Madhya Pradesh,Rewa,35,26,0,0,
2020-06-04,Madhya Pradesh,Rewa,35,27,0,0,
2020-06-05,Madhya Pradesh,Rewa,35,27,0,0,
2020-06-06,Madhya Pradesh,Rewa,36,27,0,0,
2020-06-07,Madhya Pradesh,Rewa,36,31,0,0,
2020-06-08,Madhya Pradesh,Rewa,36,34,0,0,
2020-06-09,Madhya Pradesh,Rewa,38,34,0,0,
2020-06-10,Madhya Pradesh,Rewa,38,34,1,0,
2020-06-11,Madhya Pradesh,Rewa,38,34,1,0,
2020-06-12,Madhya Pradesh,Rewa,39,35,1,0,
2020-06-13,Madhya Pradesh,Rewa,39,35,1,0,
2020-06-14,Madhya Pradesh,Rewa,39,35,1,0,
2020-06-15,Madhya Pradesh,Rewa,39,35,1,0,
2020-06-16,Madhya Pradesh,Rewa,39,35,1,0,
2020-06-17,Madhya Pradesh,Rewa,40,35,1,0,
2020-06-18,Madhya Pradesh,Rewa,41,36,1,0,
2020-06-19,Madhya Pradesh,Rewa,41,36,1,0,
2020-06-20,Madhya Pradesh,Rewa,42,36,1,0,
2020-06-21,Madhya Pradesh,Rewa,42,36,1,0,
2020-06-22,Madhya Pradesh,Rewa,43,38,1,0,
2020-06-23,Madhya Pradesh,Rewa,43,38,1,0,
2020-06-24,Madhya Pradesh,Rewa,43,38,1,0,
2020-06-25,Madhya Pradesh,Rewa,46,38,1,0,
2020-06-26,Madhya Pradesh,Rewa,51,38,1,0,
2020-06-27,Madhya Pradesh,Rewa,51,38,1,0,
2020-06-28,Madhya Pradesh,Rewa,55,38,1,0,
2020-06-29,Madhya Pradesh,Rewa,57,40,1,0,
2020-06-30,Madhya Pradesh,Rewa,58,40,1,0,
2020-07-01,Madhya Pradesh,Rewa,59,40,1,0,
2020-07-02,Madhya Pradesh,Rewa,60,42,1,0,
2020-07-03,Madhya Pradesh,Rewa,61,42,1,0,
2020-07-04,Madhya Pradesh,Rewa,62,42,1,0,
2020-07-05,Madhya Pradesh,Rewa,66,42,1,0,
2020-07-06,Madhya Pradesh,Rewa,68,46,1,0,
2020-07-07,Madhya Pradesh,Rewa,68,49,1,0,
2020-07-08,Madhya Pradesh,Rewa,68,53,1,0,
2020-07-09,Madhya Pradesh,Rewa,70,53,1,0,
2020-07-10,Madhya Pradesh,Rewa,71,55,1,0,
2020-07-11,Madhya Pradesh,Rewa,71,56,1,0,
2020-07-12,Madhya Pradesh,Rewa,85,59,1,0,
2020-07-13,Madhya Pradesh,Rewa,85,59,1,0,
2020-07-14,Madhya Pradesh,Rewa,86,62,1,0,
2020-07-15,Madhya Pradesh,Rewa,89,62,1,0,
2020-07-16,Madhya Pradesh,Rewa,113,65,1,0,
2020-07-17,Madhya Pradesh,Rewa,121,66,1,0,
2020-07-18,Madhya Pradesh,Rewa,136,66,1,0,
2020-07-19,Madhya Pradesh,Rewa,142,66,1,0,
2020-07-20,Madhya Pradesh,Rewa,142,66,1,0,
