Date,State,District,Confirmed,Recovered,Deceased,Other,Tested
2020-04-26,Madhya Pradesh,Sagar,5,1,0,0,
2020-04-27,Madhya Pradesh,Sagar,5,1,0,0,
2020-04-28,Madhya Pradesh,Sagar,5,1,0,0,
2020-04-29,Madhya Pradesh,Sagar,5,1,0,0,
2020-04-30,Madhya Pradesh,Sagar,5,1,0,0,
2020-05-01,Madhya Pradesh,Sagar,5,1,0,0,
2020-05-02,Madhya Pradesh,Sagar,5,1,0,0,
2020-05-03,Madhya Pradesh,Sagar,5,1,0,0,
2020-05-04,Madhya Pradesh,Sagar,5,1,0,0,
2020-05-05,Madhya Pradesh,Sagar,5,2,0,0,
2020-05-06,Madhya Pradesh,Sagar,5,5,0,0,
2020-05-07,Madhya Pradesh,Sagar,5,5,0,0,
2020-05-08,Madhya Pradesh,Sagar,5,5,0,0,
2020-05-09,Madhya Pradesh,Sagar,6,5,1,0,
2020-05-10,Madhya Pradesh,Sagar,6,5,1,0,
2020-05-11,Madhya Pradesh,Sagar,10,5,1,0,
2020-05-12,Madhya Pradesh,Sagar,10,5,1,0,
2020-05-13,Madhya Pradesh,Sagar,10,5,1,0,
2020-05-14,Madhya Pradesh,Sagar,14,5,1,0,
2020-05-15,Madhya Pradesh,Sagar,17,5,1,0,
2020-05-16,Madhya Pradesh,Sagar,18,5,1,0,
2020-05-17,Madhya Pradesh,Sagar,19,5,1,0,
2020-05-18,Madhya Pradesh,Sagar,21,5,1,0,
2020-05-19,Madhya Pradesh,Sagar,23,5,1,0,
2020-05-20,Madhya Pradesh,Sagar,44,5,2,0,
2020-05-21,Madhya Pradesh,Sagar,51,5,2,0,
2020-05-22,Madhya Pradesh,Sagar,57,5,2,0,
2020-05-23,Madhya Pradesh,Sagar,59,8,3,0,
2020-05-24,Madhya Pradesh,Sagar,68,8,3,0,
2020-05-25,Madhya Pradesh,Sagar,77,12,3,0,
2020-05-26,Madhya Pradesh,Sagar,86,19,3,0,
2020-05-27,Madhya Pradesh,Sagar,106,27,3,0,
2020-05-28,Madhya Pradesh,Sagar,112,36,4,0,
2020-05-29,Madhya Pradesh,Sagar,139,36,6,0,
2020-05-30,Madhya Pradesh,Sagar,164,42,7,0,
2020-05-31,Madhya Pradesh,Sagar,172,68,8,0,
2020-06-01,Madhya Pradesh,Sagar,180,86,9,0,
2020-06-02,Madhya Pradesh,Sagar,189,93,9,0,
2020-06-03,Madhya Pradesh,Sagar,197,93,10,0,
2020-06-04,Madhya Pradesh,Sagar,207,96,10,0,
