Date,State,District,Confirmed,Recovered,Deceased,Other,Tested
2020-05-04,Madhya Pradesh,Satna,1,0,0,0,
2020-05-05,Madhya Pradesh,Satna,1,0,1,0,
2020-05-06,Madhya Pradesh,Satna,1,0,1,0,
2020-05-07,Madhya Pradesh,Satna,1,0,1,0,
2020-05-08,Madhya Pradesh,Satna,1,0,1,0,
2020-05-09,Madhya Pradesh,Satna,2,0,1,0,
2020-05-10,Madhya Pradesh,Satna,3,0,1,0,
2020-05-11,Madhya Pradesh,Satna,4,0,1,0,
2020-05-12,Madhya Pradesh,Satna,5,0,1,0,
2020-05-13,Madhya Pradesh,Satna,7,0,1,0,
2020-05-14,Madhya Pradesh,Satna,7,0,1,0,
2020-05-15,Madhya Pradesh,Satna,8,0,1,0,
2020-05-16,Madhya Pradesh,Satna,8,0,1,0,
2020-05-17,Madhya Pradesh,Satna,8,0,1,0,
2020-05-18,Madhya Pradesh,Satna,8,0,1,0,
2020-05-19,Madhya Pradesh,Satna,9,0,1,0,
2020-05-20,Madhya Pradesh,Satna,10,2,1,0,
2020-05-21,Madhya Pradesh,Satna,10,2,1,0,
2020-05-22,Madhya Pradesh,Satna,12,2,1,0,
2020-05-23,Madhya Pradesh,Satna,12,2,1,0,
2020-05-24,Madhya Pradesh,Satna,13,2,1,0,
2020-05-25,Madhya Pradesh,Satna,14,4,1,0,
2020-05-26,Madhya Pradesh,Satna,14,5,1,0,
2020-05-27,Madhya Pradesh,Satna,20,5,1,0,
2020-05-28,Madhya Pradesh,Satna,21,6,2,0,
2020-05-29,Madhya Pradesh,Satna,21,6,2,0,
2020-05-30,Madhya Pradesh,Satna,21,6,2,0,
2020-05-31,Madhya Pradesh,Satna,21,7,2,0,
2020-06-01,Madhya Pradesh,Satna,21,7,2,0,
2020-06-02,Madhya Pradesh,Satna,21,12,2,0,
2020-06-03,Madhya Pradesh,Satna,21,12,2,0,
2020-06-04,Madhya Pradesh,Satna,21,18,2,0,
2020-06-05,Madhya Pradesh,Satna,22,18,2,0,
2020-06-06,Madhya Pradesh,Satna,22,19,2,0,
2020-06-07,Madhya Pradesh,Satna,22,19,2,0,
2020-06-08,Madhya Pradesh,Satna,22,19,2,0,
2020-06-09,Madhya Pradesh,Satna,22,19,2,0,
2020-06-10,Madhya Pradesh,Satna,22,19,2,0,
2020-06-11,Madhya Pradesh,Satna,22,19,2,0,
2020-06-12,Madhya Pradesh,Satna,22,19,2,0,
2020-06-13,Madhya Pradesh,Satna,22,19,2,0,
2020-06-14,Madhya Pradesh,Satna,22,20,2,0,
2020-06-15,Madhya Pradesh,Satna,22,20,2,0,
2020-06-16,Madhya Pradesh,Satna,22,20,2,0,
2020-06-17,Madhya Pradesh,Satna,22,20,2,0,
2020-06-18,Madhya Pradesh,Satna,23,20,2,0,
2020-06-19,Madhya Pradesh,Satna,23,20,2,0,
2020-06-20,Madhya Pradesh,Satna,24,20,2,0,2157.0
2020-06-21,Madhya Pradesh,Satna,24,20,2,0,2157.0
2020-06-22,Madhya Pradesh,Satna,24,20,2,0,2157.0
2020-06-23,Madhya Pradesh,Satna,25,20,2,0,2157.0
2020-06-24,Madhya Pradesh,Satna,27,20,2,0,2157.0
2020-06-25,Madhya Pradesh,Satna,29,20,2,0,2157.0
2020-06-26,Madhya Pradesh,Satna,29,20,2,0,2419.0
2020-06-27,Madhya Pradesh,Satna,31,20,2,0,2419.0
2020-06-28,Madhya Pradesh,Satna,33,21,2,0,2419.0
2020-06-29,Madhya Pradesh,Satna,33,21,2,0,2419.0
2020-06-30,Madhya Pradesh,Satna,34,21,2,0,2419.0
2020-07-01,Madhya Pradesh,Satna,36,21,2,0,2419.0
2020-07-02,Madhya Pradesh,Satna,38,21,2,0,2419.0
2020-07-03,Madhya Pradesh,Satna,40,21,2,0,2419.0
2020-07-04,Madhya Pradesh,Satna,40,21,2,0,2419.0
2020-07-05,Madhya Pradesh,Satna,43,25,2,0,2419.0
2020-07-06,Madhya Pradesh,Satna,45,27,2,0,2419.0
2020-07-07,Madhya Pradesh,Satna,45,27,2,0,2419.0
2020-07-08,Madhya Pradesh,Satna,46,28,2,0,2912.0
2020-07-09,Madhya Pradesh,Satna,48,32,2,0,2912.0
2020-07-10,Madhya Pradesh,Satna,48,35,2,0,2912.0
2020-07-11,Madhya Pradesh,Satna,48,35,2,0,2912.0
2020-07-12,Madhya Pradesh,Satna,49,36,2,0,2912.0
2020-07-13,Madhya Pradesh,Satna,50,37,2,0,2912.0
2020-07-14,Madhya Pradesh,Satna,54,39,2,0,2912.0
2020-07-15,Madhya Pradesh,Satna,59,39,2,0,2912.0
2020-07-16,Madhya Pradesh,Satna,60,40,3,0,2912.0
2020-07-17,Madhya Pradesh,Satna,60,40,3,0,2912.0
2020-07-18,Madhya Pradesh,Satna,62,41,3,0,2912.0
2020-07-19,Madhya Pradesh,Satna,70,41,3,0,2912.0
2020-07-20,Madhya Pradesh,Satna,71,41,3,0,2912.0
2020-07-21,Madhya Pradesh,Satna,75,49,3,0,2912.0
2020-07-22,Madhya Pradesh,Satna,83,49,5,0,2912.0
2020-07-23,Madhya Pradesh,Satna,89,49,6,0,2912.0
2020-07-24,Madhya Pradesh,Satna,101,50,7,0,2912.0
2020-07-25,Madhya Pradesh,Satna,106,51,7,0,2912.0
2020-07-26,Madhya Pradesh,Satna,112,63,7,0,2912.0
2020-07-27,Madhya Pradesh,Satna,118,63,7,0,2912.0
2020-07-28,Madhya Pradesh,Satna,125,63,7,0,2912.0
2020-07-29,Madhya Pradesh,Satna,152,68,7,0,2912.0
2020-07-30,Madhya Pradesh,Satna,170,68,8,0,2912.0
2020-07-31,Madhya Pradesh,Satna,186,88,8,0,2912.0
2020-08-01,Madhya Pradesh,Satna,188,92,8,0,2912.0
2020-08-02,Madhya Pradesh,Satna,188,97,8,0,2912.0
2020-08-03,Madhya Pradesh,Satna,188,110,8,0,2912.0
2020-08-04,Madhya Pradesh,Satna,194,114,8,0,2912.0
2020-08-05,Madhya Pradesh,Satna,204,129,8,0,2912.0
2020-08-06,Madhya Pradesh,Satna,214,139,9,0,2912.0
2020-08-07,Madhya Pradesh,Satna,224,151,10,0,2912.0
2020-08-08,Madhya Pradesh,Satna,238,156,10,0,2912.0
2020-08-09,Madhya Pradesh,Satna,252,157,11,0,2912.0
2020-08-10,Madhya Pradesh,Satna,267,160,12,0,2912.0
2020-08-11,Madhya Pradesh,Satna,278,164,12,0,2912.0
2020-08-12,Madhya Pradesh,Satna,287,171,12,0,2912.0
2020-08-13,Madhya Pradesh,Satna,298,191,12,0,2912.0
2020-08-14,Madhya Pradesh,Satna,301,203,12,0,2912.0
2020-08-15,Madhya Pradesh,Satna,301,205,12,0,2912.0
2020-08-16,Madhya Pradesh,Satna,313,210,12,0,2912.0
2020-08-17,Madhya Pradesh,Satna,331,221,12,0,2912.0
2020-08-18,Madhya Pradesh,Satna,350,224,12,0,2912.0
2020-08-19,Madhya Pradesh,Satna,360,235,12,0,2912.0
2020-08-20,Madhya Pradesh,Satna,369,236,12,0,2912.0
2020-08-21,Madhya Pradesh,Satna,371,239,13,0,2912.0
2020-08-22,Madhya Pradesh,Satna,383,244,13,0,2912.0
2020-08-23,Madhya Pradesh,Satna,400,260,13,0,2912.0
2020-08-24,Madhya Pradesh,Satna,414,261,13,0,15401.0
2020-08-25,Madhya Pradesh,Satna,433,298,13,0,15401.0
2020-08-26,Madhya Pradesh,Satna,452,324,14,0,15401.0
2020-08-27,Madhya Pradesh,Satna,467,346,14,0,15401.0
2020-08-28,Madhya Pradesh,Satna,478,354,14,0,15401.0
2020-08-29,Madhya Pradesh,Satna,495,372,14,0,17083.0
2020-08-30,Madhya Pradesh,Satna,515,393,14,0,17083.0
2020-08-31,Madhya Pradesh,Satna,532,397,15,0,18186.0
2020-09-01,Madhya Pradesh,Satna,552,425,16,0,19071.0
2020-09-02,Madhya Pradesh,Satna,573,445,16,0,19402.0
2020-09-03,Madhya Pradesh,Satna,591,456,17,0,19402.0
2020-09-04,Madhya Pradesh,Satna,605,484,17,0,19402.0
2020-09-05,Madhya Pradesh,Satna,622,495,17,0,19402.0
2020-09-06,Madhya Pradesh,Satna,641,519,18,0,19402.0
2020-09-07,Madhya Pradesh,Satna,664,529,19,0,19402.0
2020-09-08,Madhya Pradesh,Satna,691,543,20,0,19402.0
2020-09-09,Madhya Pradesh,Satna,723,560,20,0,19402.0
2020-09-10,Madhya Pradesh,Satna,759,575,21,0,19402.0
2020-09-11,Madhya Pradesh,Satna,797,603,21,0,19402.0
2020-09-12,Madhya Pradesh,Satna,832,618,22,0,19402.0
2020-09-13,Madhya Pradesh,Satna,871,675,23,0,19402.0
2020-09-14,Madhya Pradesh,Satna,909,710,23,0,19402.0
2020-09-15,Madhya Pradesh,Satna,948,736,23,0,19402.0
2020-09-16,Madhya Pradesh,Satna,984,758,23,0,19402.0
2020-09-17,Madhya Pradesh,Satna,1023,792,23,0,19402.0
2020-09-18,Madhya Pradesh,Satna,1065,836,23,0,19402.0
2020-09-19,Madhya Pradesh,Satna,1112,853,24,0,28159.0
2020-09-20,Madhya Pradesh,Satna,1160,881,24,0,28159.0
2020-09-21,Madhya Pradesh,Satna,1204,919,24,0,28159.0
2020-09-22,Madhya Pradesh,Satna,1246,967,24,0,28159.0
2020-09-23,Madhya Pradesh,Satna,1290,1015,25,0,28159.0
2020-09-24,Madhya Pradesh,Satna,1327,1042,26,0,28159.0
2020-09-25,Madhya Pradesh,Satna,1361,1091,27,0,28159.0
2020-09-26,Madhya Pradesh,Satna,1385,1117,27,0,28159.0
2020-09-27,Madhya Pradesh,Satna,1424,1183,27,0,28159.0
2020-09-28,Madhya Pradesh,Satna,1453,1208,27,0,28159.0
2020-09-29,Madhya Pradesh,Satna,1482,1253,28,0,28159.0
2020-09-30,Madhya Pradesh,Satna,1504,1296,28,0,28159.0
2020-10-01,Madhya Pradesh,Satna,1526,1320,28,0,28159.0
2020-10-02,Madhya Pradesh,Satna,1554,1342,28,0,28159.0
2020-10-03,Madhya Pradesh,Satna,1583,1370,28,0,28159.0
2020-10-04,Madhya Pradesh,Satna,1617,1405,29,0,28159.0
2020-10-05,Madhya Pradesh,Satna,1641,1428,30,0,28159.0
2020-10-06,Madhya Pradesh,Satna,1663,1459,31,0,28159.0
2020-10-07,Madhya Pradesh,Satna,1680,1488,32,0,28159.0
2020-10-08,Madhya Pradesh,Satna,1699,1516,32,0,28159.0
2020-10-09,Madhya Pradesh,Satna,1722,1553,33,0,28159.0
2020-10-10,Madhya Pradesh,Satna,1745,1585,33,0,28159.0
2020-10-11,Madhya Pradesh,Satna,1767,1634,33,0,28159.0
2020-10-12,Madhya Pradesh,Satna,1790,1670,33,0,28159.0
2020-10-13,Madhya Pradesh,Satna,1814,1708,34,0,28159.0
2020-10-14,Madhya Pradesh,Satna,1953,1847,35,0,28159.0
2020-10-15,Madhya Pradesh,Satna,1965,1860,35,0,28159.0
2020-10-16,Madhya Pradesh,Satna,1988,1874,35,0,28159.0
2020-10-17,Madhya Pradesh,Satna,2009,1883,35,0,28159.0
2020-10-18,Madhya Pradesh,Satna,2023,1901,36,0,28159.0
2020-10-19,Madhya Pradesh,Satna,2050,1915,36,0,28159.0
2020-10-20,Madhya Pradesh,Satna,2072,1929,37,0,28159.0
2020-10-21,Madhya Pradesh,Satna,2100,1951,37,0,28159.0
2020-10-22,Madhya Pradesh,Satna,2123,1978,37,0,28159.0
2020-10-23,Madhya Pradesh,Satna,2142,1997,37,0,28159.0
2020-10-24,Madhya Pradesh,Satna,2159,2036,37,0,28159.0
2020-10-25,Madhya Pradesh,Satna,2174,2058,37,0,28159.0
2020-10-26,Madhya Pradesh,Satna,2189,2078,37,0,28159.0
2020-10-27,Madhya Pradesh,Satna,2202,2095,37,0,28159.0
2020-10-28,Madhya Pradesh,Satna,2218,2111,37,0,28159.0
2020-10-29,Madhya Pradesh,Satna,2218,2111,37,0,28159.0
