Date,State,District,Confirmed,Recovered,Deceased,Other,Tested
2020-04-26,Madhya Pradesh,Shajapur,6,1,0,0,
2020-04-27,Madhya Pradesh,Shajapur,6,1,0,0,
2020-04-28,Madhya Pradesh,Shajapur,6,1,0,0,
2020-04-29,Madhya Pradesh,Shajapur,6,4,0,0,
2020-04-30,Madhya Pradesh,Shajapur,6,4,0,0,
2020-05-01,Madhya Pradesh,Shajapur,7,6,1,0,
2020-05-02,Madhya Pradesh,Shajapur,7,6,1,0,
2020-05-03,Madhya Pradesh,Shajapur,7,6,1,0,
2020-05-04,Madhya Pradesh,Shajapur,7,6,1,0,
2020-05-05,Madhya Pradesh,Shajapur,7,6,1,0,
2020-05-06,Madhya Pradesh,Shajapur,8,6,1,0,
2020-05-07,Madhya Pradesh,Shajapur,8,6,1,0,
2020-05-08,Madhya Pradesh,Shajapur,8,6,1,0,
2020-05-09,Madhya Pradesh,Shajapur,8,6,1,0,
2020-05-10,Madhya Pradesh,Shajapur,8,6,1,0,
2020-05-11,Madhya Pradesh,Shajapur,8,6,1,0,
2020-05-12,Madhya Pradesh,Shajapur,8,6,1,0,
2020-05-13,Madhya Pradesh,Shajapur,8,6,1,0,
2020-05-14,Madhya Pradesh,Shajapur,8,6,1,0,
2020-05-15,Madhya Pradesh,Shajapur,8,7,1,0,
2020-05-16,Madhya Pradesh,Shajapur,8,7,1,0,
2020-05-17,Madhya Pradesh,Shajapur,8,7,1,0,
2020-05-18,Madhya Pradesh,Shajapur,8,7,1,0,
2020-05-19,Madhya Pradesh,Shajapur,8,7,1,0,
2020-05-20,Madhya Pradesh,Shajapur,8,7,1,0,
2020-05-21,Madhya Pradesh,Shajapur,9,7,1,0,
2020-05-22,Madhya Pradesh,Shajapur,9,7,1,0,
2020-05-23,Madhya Pradesh,Shajapur,9,7,1,0,
2020-05-24,Madhya Pradesh,Shajapur,9,7,1,0,
2020-05-25,Madhya Pradesh,Shajapur,9,7,1,0,
2020-05-26,Madhya Pradesh,Shajapur,9,7,1,0,
2020-05-27,Madhya Pradesh,Shajapur,9,7,1,0,
2020-05-28,Madhya Pradesh,Shajapur,9,7,1,0,
2020-05-29,Madhya Pradesh,Shajapur,9,7,1,0,
2020-05-30,Madhya Pradesh,Shajapur,9,7,1,0,
2020-05-31,Madhya Pradesh,Shajapur,9,7,1,0,
2020-06-01,Madhya Pradesh,Shajapur,9,7,1,0,
2020-06-02,Madhya Pradesh,Shajapur,9,8,1,0,
2020-06-03,Madhya Pradesh,Shajapur,11,8,1,0,
2020-06-04,Madhya Pradesh,Shajapur,11,8,1,0,
2020-06-05,Madhya Pradesh,Shajapur,11,8,1,0,
2020-06-06,Madhya Pradesh,Shajapur,31,8,1,0,
2020-06-07,Madhya Pradesh,Shajapur,38,8,1,0,
2020-06-08,Madhya Pradesh,Shajapur,38,8,1,0,
2020-06-09,Madhya Pradesh,Shajapur,38,8,2,0,
2020-06-10,Madhya Pradesh,Shajapur,38,8,3,0,
2020-06-11,Madhya Pradesh,Shajapur,38,8,3,0,
2020-06-12,Madhya Pradesh,Shajapur,43,8,3,0,
2020-06-13,Madhya Pradesh,Shajapur,43,8,3,0,
2020-06-14,Madhya Pradesh,Shajapur,46,8,3,0,
2020-06-15,Madhya Pradesh,Shajapur,46,8,3,0,
2020-06-16,Madhya Pradesh,Shajapur,47,26,3,0,
2020-06-17,Madhya Pradesh,Shajapur,47,26,3,0,
2020-06-18,Madhya Pradesh,Shajapur,47,26,3,0,
2020-06-19,Madhya Pradesh,Shajapur,48,27,3,0,
2020-06-20,Madhya Pradesh,Shajapur,48,36,3,0,1234.0
2020-06-21,Madhya Pradesh,Shajapur,48,37,3,0,1271.0
2020-06-22,Madhya Pradesh,Shajapur,49,37,3,0,1300.0
2020-06-23,Madhya Pradesh,Shajapur,53,38,3,0,1312.0
2020-06-24,Madhya Pradesh,Shajapur,53,38,3,0,1312.0
2020-06-25,Madhya Pradesh,Shajapur,54,41,3,0,1501.0
2020-06-26,Madhya Pradesh,Shajapur,56,44,3,0,1641.0
2020-06-27,Madhya Pradesh,Shajapur,58,44,3,0,1843.0
2020-06-28,Madhya Pradesh,Shajapur,61,44,3,0,1843.0
2020-06-29,Madhya Pradesh,Shajapur,62,44,3,0,1843.0
2020-06-30,Madhya Pradesh,Shajapur,62,44,3,0,2786.0
2020-07-01,Madhya Pradesh,Shajapur,63,44,3,0,2996.0
2020-07-02,Madhya Pradesh,Shajapur,64,48,3,0,3181.0
2020-07-03,Madhya Pradesh,Shajapur,65,50,3,0,3380.0
2020-07-04,Madhya Pradesh,Shajapur,68,50,3,0,3749.0
2020-07-05,Madhya Pradesh,Shajapur,69,50,3,0,3915.0
2020-07-06,Madhya Pradesh,Shajapur,70,50,3,0,4141.0
2020-07-07,Madhya Pradesh,Shajapur,71,51,3,0,4141.0
2020-07-08,Madhya Pradesh,Shajapur,75,54,3,0,5124.0
