Date,State,District,Confirmed,Recovered,Deceased,Other,Tested
2020-05-19,Madhya Pradesh,Singrauli,1,0,0,0,
2020-05-20,Madhya Pradesh,Singrauli,1,0,0,0,
2020-05-21,Madhya Pradesh,Singrauli,1,0,0,0,
2020-05-22,Madhya Pradesh,Singrauli,7,0,0,0,
2020-05-23,Madhya Pradesh,Singrauli,7,0,0,0,
2020-05-24,Madhya Pradesh,Singrauli,7,0,0,0,
2020-05-25,Madhya Pradesh,Singrauli,7,0,0,0,
2020-05-26,Madhya Pradesh,Singrauli,11,0,0,0,
2020-05-27,Madhya Pradesh,Singrauli,11,0,0,0,
2020-05-28,Madhya Pradesh,Singrauli,11,0,0,0,
2020-05-29,Madhya Pradesh,Singrauli,11,0,0,0,
2020-05-30,Madhya Pradesh,Singrauli,11,0,0,0,
2020-05-31,Madhya Pradesh,Singrauli,11,0,0,0,
2020-06-01,Madhya Pradesh,Singrauli,11,0,0,0,
2020-06-02,Madhya Pradesh,Singrauli,11,0,0,0,
2020-06-03,Madhya Pradesh,Singrauli,11,1,0,0,
2020-06-04,Madhya Pradesh,Singrauli,11,1,0,0,
2020-06-05,Madhya Pradesh,Singrauli,11,1,0,0,
2020-06-06,Madhya Pradesh,Singrauli,12,7,0,0,
2020-06-07,Madhya Pradesh,Singrauli,12,7,0,0,
2020-06-08,Madhya Pradesh,Singrauli,12,11,0,0,
2020-06-09,Madhya Pradesh,Singrauli,12,11,0,0,
2020-06-10,Madhya Pradesh,Singrauli,12,11,0,0,
2020-06-11,Madhya Pradesh,Singrauli,12,11,0,0,
2020-06-12,Madhya Pradesh,Singrauli,12,11,0,0,
2020-06-13,Madhya Pradesh,Singrauli,12,11,0,0,
2020-06-14,Madhya Pradesh,Singrauli,12,11,0,0,
2020-06-15,Madhya Pradesh,Singrauli,12,11,0,0,
2020-06-16,Madhya Pradesh,Singrauli,12,11,0,0,
2020-06-17,Madhya Pradesh,Singrauli,12,11,0,0,
2020-06-18,Madhya Pradesh,Singrauli,12,12,0,0,
2020-06-19,Madhya Pradesh,Singrauli,12,12,0,0,
2020-06-20,Madhya Pradesh,Singrauli,13,12,0,0,
2020-06-21,Madhya Pradesh,Singrauli,13,12,0,0,
2020-06-22,Madhya Pradesh,Singrauli,15,12,0,0,
2020-06-23,Madhya Pradesh,Singrauli,16,12,0,0,
2020-06-24,Madhya Pradesh,Singrauli,16,12,0,0,
2020-06-25,Madhya Pradesh,Singrauli,16,12,0,0,
2020-06-26,Madhya Pradesh,Singrauli,16,12,0,0,
2020-06-27,Madhya Pradesh,Singrauli,16,12,0,0,
2020-06-28,Madhya Pradesh,Singrauli,16,12,0,0,
2020-06-29,Madhya Pradesh,Singrauli,16,12,0,0,
2020-06-30,Madhya Pradesh,Singrauli,16,12,0,0,
2020-07-01,Madhya Pradesh,Singrauli,16,13,0,0,
2020-07-02,Madhya Pradesh,Singrauli,17,13,0,0,
2020-07-03,Madhya Pradesh,Singrauli,19,13,0,0,
2020-07-04,Madhya Pradesh,Singrauli,20,13,0,0,
2020-07-05,Madhya Pradesh,Singrauli,20,14,0,0,
2020-07-06,Madhya Pradesh,Singrauli,20,14,0,0,
2020-07-07,Madhya Pradesh,Singrauli,21,14,0,0,
2020-07-08,Madhya Pradesh,Singrauli,27,14,0,0,
2020-07-09,Madhya Pradesh,Singrauli,27,14,0,0,
2020-07-10,Madhya Pradesh,Singrauli,28,14,0,0,
2020-07-11,Madhya Pradesh,Singrauli,29,14,0,0,
2020-07-12,Madhya Pradesh,Singrauli,31,16,0,0,
2020-07-13,Madhya Pradesh,Singrauli,31,16,0,0,
2020-07-14,Madhya Pradesh,Singrauli,37,18,0,0,
2020-07-15,Madhya Pradesh,Singrauli,38,18,0,0,
2020-07-16,Madhya Pradesh,Singrauli,39,18,1,0,
2020-07-17,Madhya Pradesh,Singrauli,42,18,1,0,
2020-07-18,Madhya Pradesh,Singrauli,46,18,1,0,
2020-07-19,Madhya Pradesh,Singrauli,49,19,1,0,
2020-07-20,Madhya Pradesh,Singrauli,51,19,1,0,
2020-07-21,Madhya Pradesh,Singrauli,56,19,1,0,
2020-07-22,Madhya Pradesh,Singrauli,69,22,1,0,
2020-07-23,Madhya Pradesh,Singrauli,69,22,1,0,
2020-07-24,Madhya Pradesh,Singrauli,69,22,1,0,
2020-07-25,Madhya Pradesh,Singrauli,74,26,1,0,
2020-07-26,Madhya Pradesh,Singrauli,78,28,1,0,
2020-07-27,Madhya Pradesh,Singrauli,83,28,2,0,
2020-07-28,Madhya Pradesh,Singrauli,84,28,2,0,
2020-07-29,Madhya Pradesh,Singrauli,85,31,2,0,
2020-07-30,Madhya Pradesh,Singrauli,88,31,2,0,
2020-07-31,Madhya Pradesh,Singrauli,89,31,2,0,
2020-08-01,Madhya Pradesh,Singrauli,89,31,2,0,
2020-08-02,Madhya Pradesh,Singrauli,89,31,2,0,
2020-08-03,Madhya Pradesh,Singrauli,89,48,2,0,
2020-08-04,Madhya Pradesh,Singrauli,114,54,2,0,
2020-08-05,Madhya Pradesh,Singrauli,114,57,2,0,
2020-08-06,Madhya Pradesh,Singrauli,128,58,2,0,
2020-08-07,Madhya Pradesh,Singrauli,148,66,2,0,
2020-08-08,Madhya Pradesh,Singrauli,180,66,2,0,
2020-08-09,Madhya Pradesh,Singrauli,184,66,4,0,
2020-08-10,Madhya Pradesh,Singrauli,188,76,4,0,
2020-08-11,Madhya Pradesh,Singrauli,190,76,5,0,
2020-08-12,Madhya Pradesh,Singrauli,204,88,5,0,
2020-08-13,Madhya Pradesh,Singrauli,214,90,5,0,
2020-08-14,Madhya Pradesh,Singrauli,243,111,6,0,
2020-08-15,Madhya Pradesh,Singrauli,250,111,6,0,
2020-08-16,Madhya Pradesh,Singrauli,275,114,6,0,
2020-08-17,Madhya Pradesh,Singrauli,292,134,6,0,
2020-08-18,Madhya Pradesh,Singrauli,296,134,6,0,
2020-08-19,Madhya Pradesh,Singrauli,296,135,7,0,
2020-08-20,Madhya Pradesh,Singrauli,299,140,7,0,
2020-08-21,Madhya Pradesh,Singrauli,300,167,7,0,
2020-08-22,Madhya Pradesh,Singrauli,304,179,7,0,
2020-08-23,Madhya Pradesh,Singrauli,304,182,7,0,
2020-08-24,Madhya Pradesh,Singrauli,310,184,7,0,
2020-08-25,Madhya Pradesh,Singrauli,321,202,7,0,
2020-08-26,Madhya Pradesh,Singrauli,330,209,7,0,
2020-08-27,Madhya Pradesh,Singrauli,335,235,7,0,
2020-08-28,Madhya Pradesh,Singrauli,338,241,7,0,
