Date,State,District,Confirmed,Recovered,Deceased,Other,Tested
2020-05-16,Madhya Pradesh,Umaria,1,0,0,0,
2020-05-17,Madhya Pradesh,Umaria,1,0,0,0,
2020-05-18,Madhya Pradesh,Umaria,1,0,0,0,
2020-05-19,Madhya Pradesh,Umaria,1,0,0,0,
2020-05-20,Madhya Pradesh,Umaria,1,0,0,0,
2020-05-21,Madhya Pradesh,Umaria,1,0,0,0,
2020-05-22,Madhya Pradesh,Umaria,2,0,0,0,
2020-05-23,Madhya Pradesh,Umaria,2,0,0,0,
2020-05-24,Madhya Pradesh,Umaria,2,0,0,0,
2020-05-25,Madhya Pradesh,Umaria,5,0,1,0,
2020-05-26,Madhya Pradesh,Umaria,5,0,1,0,
2020-05-27,Madhya Pradesh,Umaria,5,0,1,0,
2020-05-28,Madhya Pradesh,Umaria,5,0,1,0,
2020-05-29,Madhya Pradesh,Umaria,6,0,1,0,
2020-05-30,Madhya Pradesh,Umaria,6,1,1,0,
2020-05-31,Madhya Pradesh,Umaria,7,1,1,0,
2020-06-01,Madhya Pradesh,Umaria,7,1,1,0,
2020-06-02,Madhya Pradesh,Umaria,7,1,1,0,
2020-06-03,Madhya Pradesh,Umaria,9,1,1,0,
2020-06-04,Madhya Pradesh,Umaria,10,2,1,0,
2020-06-05,Madhya Pradesh,Umaria,10,2,1,0,
2020-06-06,Madhya Pradesh,Umaria,10,2,1,0,
2020-06-07,Madhya Pradesh,Umaria,10,2,1,0,
2020-06-08,Madhya Pradesh,Umaria,10,2,1,0,
2020-06-09,Madhya Pradesh,Umaria,10,2,1,0,
2020-06-10,Madhya Pradesh,Umaria,10,2,1,0,
2020-06-11,Madhya Pradesh,Umaria,10,4,1,0,
2020-06-12,Madhya Pradesh,Umaria,10,5,1,0,
2020-06-13,Madhya Pradesh,Umaria,10,6,1,0,
2020-06-14,Madhya Pradesh,Umaria,10,6,1,0,
2020-06-15,Madhya Pradesh,Umaria,10,6,1,0,
2020-06-16,Madhya Pradesh,Umaria,10,6,1,0,
2020-06-17,Madhya Pradesh,Umaria,10,7,1,0,
2020-06-18,Madhya Pradesh,Umaria,10,9,1,0,
2020-06-19,Madhya Pradesh,Umaria,10,9,1,0,
2020-06-20,Madhya Pradesh,Umaria,10,9,1,0,920.0
2020-06-21,Madhya Pradesh,Umaria,10,9,1,0,920.0
2020-06-22,Madhya Pradesh,Umaria,10,9,1,0,972.0
2020-06-23,Madhya Pradesh,Umaria,10,9,1,0,1004.0
2020-06-24,Madhya Pradesh,Umaria,10,9,1,0,1004.0
2020-06-25,Madhya Pradesh,Umaria,10,9,1,0,1031.0
2020-06-26,Madhya Pradesh,Umaria,10,9,1,0,1107.0
2020-06-27,Madhya Pradesh,Umaria,10,9,1,0,1155.0
2020-06-28,Madhya Pradesh,Umaria,10,9,1,0,1155.0
2020-06-29,Madhya Pradesh,Umaria,10,9,1,0,1240.0
2020-06-30,Madhya Pradesh,Umaria,10,9,1,0,1294.0
2020-07-01,Madhya Pradesh,Umaria,10,9,1,0,1326.0
2020-07-02,Madhya Pradesh,Umaria,11,9,1,0,1376.0
2020-07-03,Madhya Pradesh,Umaria,11,9,1,0,1418.0
2020-07-04,Madhya Pradesh,Umaria,11,9,1,0,1472.0
2020-07-05,Madhya Pradesh,Umaria,11,9,1,0,1539.0
2020-07-06,Madhya Pradesh,Umaria,11,9,1,0,1539.0
2020-07-07,Madhya Pradesh,Umaria,11,9,1,0,1539.0
2020-07-08,Madhya Pradesh,Umaria,11,9,1,0,1695.0
2020-07-09,Madhya Pradesh,Umaria,11,9,1,0,1695.0
2020-07-10,Madhya Pradesh,Umaria,11,9,1,0,1695.0
2020-07-11,Madhya Pradesh,Umaria,24,9,1,0,1980.0
2020-07-12,Madhya Pradesh,Umaria,25,9,1,0,1980.0
2020-07-13,Madhya Pradesh,Umaria,25,10,1,0,1980.0
2020-07-14,Madhya Pradesh,Umaria,27,10,1,0,1980.0
2020-07-15,Madhya Pradesh,Umaria,30,10,1,0,1980.0
2020-07-16,Madhya Pradesh,Umaria,30,10,1,0,1980.0
2020-07-17,Madhya Pradesh,Umaria,31,10,1,0,1980.0
2020-07-18,Madhya Pradesh,Umaria,32,10,1,0,1980.0
2020-07-19,Madhya Pradesh,Umaria,32,10,1,0,1980.0
2020-07-20,Madhya Pradesh,Umaria,32,10,1,0,1980.0
2020-07-21,Madhya Pradesh,Umaria,32,20,1,0,1980.0
2020-07-22,Madhya Pradesh,Umaria,35,20,1,0,1980.0
2020-07-23,Madhya Pradesh,Umaria,35,22,1,0,1980.0
2020-07-24,Madhya Pradesh,Umaria,35,24,1,0,1980.0
2020-07-25,Madhya Pradesh,Umaria,36,24,1,0,1980.0
2020-07-26,Madhya Pradesh,Umaria,36,29,1,0,1980.0
2020-07-27,Madhya Pradesh,Umaria,36,29,1,0,1980.0
2020-07-28,Madhya Pradesh,Umaria,40,31,1,0,1980.0
2020-07-29,Madhya Pradesh,Umaria,40,31,2,0,1980.0
2020-07-30,Madhya Pradesh,Umaria,44,31,2,0,1980.0
2020-07-31,Madhya Pradesh,Umaria,45,31,2,0,1980.0
2020-08-01,Madhya Pradesh,Umaria,45,31,2,0,1980.0
2020-08-02,Madhya Pradesh,Umaria,45,33,2,0,1980.0
2020-08-03,Madhya Pradesh,Umaria,45,33,2,0,1980.0
2020-08-04,Madhya Pradesh,Umaria,45,33,2,0,1980.0
2020-08-05,Madhya Pradesh,Umaria,46,34,2,0,1980.0
