Date,State,District,Confirmed,Recovered,Deceased,Other,Tested
2020-04-26,Maharashtra,Buldhana,21,14,1,0,
2020-04-27,Maharashtra,Buldhana,21,15,1,0,
2020-04-28,Maharashtra,Buldhana,21,17,1,0,
2020-04-29,Maharashtra,Buldhana,21,17,1,0,
2020-04-30,Maharashtra,Buldhana,21,17,1,0,
2020-05-01,Maharashtra,Buldhana,21,19,1,0,
2020-05-02,Maharashtra,Buldhana,21,19,1,0,
2020-05-03,Maharashtra,Buldhana,21,19,1,0,
2020-05-04,Maharashtra,Buldhana,24,20,1,0,
2020-05-05,Maharashtra,Buldhana,24,20,1,0,
2020-05-06,Maharashtra,Buldhana,24,24,1,0,
2020-05-07,Maharashtra,Buldhana,24,24,1,0,
2020-05-08,Maharashtra,Buldhana,24,21,1,0,
2020-05-09,Maharashtra,Buldhana,24,21,1,0,
2020-05-10,Maharashtra,Buldhana,24,26,1,0,
2020-05-11,Maharashtra,Buldhana,25,23,1,0,
2020-05-12,Maharashtra,Buldhana,25,23,1,0,
2020-05-13,Maharashtra,Buldhana,25,23,1,0,
2020-05-14,Maharashtra,Buldhana,26,23,1,0,
2020-05-15,Maharashtra,Buldhana,26,27,1,0,
2020-05-16,Maharashtra,Buldhana,26,24,1,0,
2020-05-17,Maharashtra,Buldhana,30,24,1,0,
2020-05-18,Maharashtra,Buldhana,30,24,1,0,
2020-05-19,Maharashtra,Buldhana,33,24,3,0,
2020-05-20,Maharashtra,Buldhana,34,24,3,0,
2020-05-21,Maharashtra,Buldhana,38,24,3,0,
2020-05-22,Maharashtra,Buldhana,39,24,3,0,
2020-05-23,Maharashtra,Buldhana,39,25,3,0,
2020-05-24,Maharashtra,Buldhana,40,26,3,0,
2020-05-25,Maharashtra,Buldhana,41,26,3,0,
2020-05-26,Maharashtra,Buldhana,49,27,3,0,
2020-05-27,Maharashtra,Buldhana,53,28,3,0,
2020-05-28,Maharashtra,Buldhana,55,28,3,0,
2020-05-29,Maharashtra,Buldhana,56,29,3,0,
2020-05-30,Maharashtra,Buldhana,58,29,3,0,
2020-05-31,Maharashtra,Buldhana,62,33,3,0,
2020-06-01,Maharashtra,Buldhana,63,33,3,0,
2020-06-02,Maharashtra,Buldhana,73,42,3,0,
2020-06-03,Maharashtra,Buldhana,74,45,3,0,
2020-06-04,Maharashtra,Buldhana,80,46,3,0,
2020-06-05,Maharashtra,Buldhana,82,48,3,0,
2020-06-06,Maharashtra,Buldhana,86,48,3,0,
2020-06-07,Maharashtra,Buldhana,87,48,3,0,
2020-06-08,Maharashtra,Buldhana,95,54,3,0,
2020-06-09,Maharashtra,Buldhana,97,54,3,0,
2020-06-10,Maharashtra,Buldhana,98,56,3,0,
2020-06-11,Maharashtra,Buldhana,103,69,3,0,
2020-06-12,Maharashtra,Buldhana,117,73,3,0,
2020-06-13,Maharashtra,Buldhana,117,73,3,0,
2020-06-14,Maharashtra,Buldhana,125,73,3,0,
2020-06-15,Maharashtra,Buldhana,125,77,3,0,
2020-06-16,Maharashtra,Buldhana,138,77,5,0,
2020-06-17,Maharashtra,Buldhana,140,83,5,0,
2020-06-18,Maharashtra,Buldhana,149,91,5,0,
2020-06-19,Maharashtra,Buldhana,154,92,5,0,
2020-06-20,Maharashtra,Buldhana,156,104,5,0,
2020-06-21,Maharashtra,Buldhana,160,104,6,0,
2020-06-22,Maharashtra,Buldhana,170,116,6,0,
2020-06-23,Maharashtra,Buldhana,176,117,9,0,
2020-06-24,Maharashtra,Buldhana,179,120,11,0,
2020-06-25,Maharashtra,Buldhana,181,131,12,0,
2020-06-26,Maharashtra,Buldhana,186,134,12,0,
2020-06-27,Maharashtra,Buldhana,204,136,12,0,
2020-06-28,Maharashtra,Buldhana,213,140,12,0,
2020-06-29,Maharashtra,Buldhana,228,145,12,0,
2020-06-30,Maharashtra,Buldhana,245,145,12,0,
2020-07-01,Maharashtra,Buldhana,251,152,12,0,
2020-07-02,Maharashtra,Buldhana,263,152,13,0,
2020-07-03,Maharashtra,Buldhana,277,160,13,0,3062.0
2020-07-04,Maharashtra,Buldhana,298,167,13,0,3195.0
2020-07-05,Maharashtra,Buldhana,318,169,13,0,3719.0
2020-07-06,Maharashtra,Buldhana,318,182,13,0,3719.0
2020-07-07,Maharashtra,Buldhana,343,186,13,0,4023.0
2020-07-08,Maharashtra,Buldhana,367,190,13,0,4172.0
2020-07-09,Maharashtra,Buldhana,368,190,13,0,4320.0
2020-07-10,Maharashtra,Buldhana,379,197,16,0,4677.0
2020-07-11,Maharashtra,Buldhana,385,206,16,0,5209.0
2020-07-12,Maharashtra,Buldhana,399,206,16,0,5443.0
2020-07-13,Maharashtra,Buldhana,411,216,16,0,5443.0
2020-07-14,Maharashtra,Buldhana,420,216,17,0,5809.0
2020-07-15,Maharashtra,Buldhana,434,216,17,0,6189.0
2020-07-16,Maharashtra,Buldhana,442,216,20,0,6469.0
2020-07-17,Maharashtra,Buldhana,473,216,20,0,6765.0
2020-07-18,Maharashtra,Buldhana,482,225,22,0,6800.0
2020-07-19,Maharashtra,Buldhana,493,225,22,0,7000.0
2020-07-20,Maharashtra,Buldhana,525,227,24,0,7104.0
2020-07-21,Maharashtra,Buldhana,561,227,24,0,7280.0
2020-07-22,Maharashtra,Buldhana,669,227,25,0,7536.0
2020-07-23,Maharashtra,Buldhana,795,234,25,0,7536.0
2020-07-24,Maharashtra,Buldhana,905,247,25,0,7798.0
2020-07-25,Maharashtra,Buldhana,954,307,26,0,7992.0
2020-07-26,Maharashtra,Buldhana,979,531,29,0,7992.0
2020-07-27,Maharashtra,Buldhana,1041,541,29,0,7992.0
2020-07-28,Maharashtra,Buldhana,1116,601,30,0,8842.0
