Date,State,District,Confirmed,Recovered,Deceased,Other,Tested
2020-04-26,Maharashtra,Dhule,25,0,3,0,
2020-04-27,Maharashtra,Dhule,25,0,3,0,
2020-04-28,Maharashtra,Dhule,25,0,3,0,
2020-04-29,Maharashtra,Dhule,25,0,3,0,
2020-04-30,Maharashtra,Dhule,25,0,3,0,
2020-05-01,Maharashtra,Dhule,26,0,3,0,
2020-05-02,Maharashtra,Dhule,27,0,3,0,
2020-05-03,Maharashtra,Dhule,28,0,3,0,
2020-05-04,Maharashtra,Dhule,32,0,3,0,
2020-05-05,Maharashtra,Dhule,32,0,3,0,
2020-05-06,Maharashtra,Dhule,32,5,3,0,
2020-05-07,Maharashtra,Dhule,32,12,3,0,
2020-05-08,Maharashtra,Dhule,32,14,3,0,
2020-05-09,Maharashtra,Dhule,50,14,3,0,
2020-05-10,Maharashtra,Dhule,54,15,6,0,
2020-05-11,Maharashtra,Dhule,54,16,6,0,
2020-05-12,Maharashtra,Dhule,63,16,6,0,
2020-05-13,Maharashtra,Dhule,71,19,6,0,
2020-05-14,Maharashtra,Dhule,71,19,6,0,
2020-05-15,Maharashtra,Dhule,74,24,8,0,
2020-05-16,Maharashtra,Dhule,77,24,8,0,
2020-05-17,Maharashtra,Dhule,80,24,8,0,
2020-05-18,Maharashtra,Dhule,83,38,8,0,
2020-05-19,Maharashtra,Dhule,84,38,9,0,
2020-05-20,Maharashtra,Dhule,84,47,9,0,
2020-05-21,Maharashtra,Dhule,95,52,9,0,
2020-05-22,Maharashtra,Dhule,97,53,9,0,
2020-05-23,Maharashtra,Dhule,97,62,9,0,
2020-05-24,Maharashtra,Dhule,118,62,9,0,
2020-05-25,Maharashtra,Dhule,118,62,9,0,
2020-05-26,Maharashtra,Dhule,129,62,9,0,
2020-05-27,Maharashtra,Dhule,129,63,9,0,
2020-05-28,Maharashtra,Dhule,129,67,9,0,
2020-05-29,Maharashtra,Dhule,135,70,16,0,
2020-05-30,Maharashtra,Dhule,140,71,16,0,
2020-05-31,Maharashtra,Dhule,140,86,16,0,
2020-06-01,Maharashtra,Dhule,145,88,16,0,
2020-06-02,Maharashtra,Dhule,173,93,16,0,
2020-06-03,Maharashtra,Dhule,177,94,20,0,
2020-06-04,Maharashtra,Dhule,187,99,21,0,
2020-06-05,Maharashtra,Dhule,195,102,21,0,
2020-06-06,Maharashtra,Dhule,231,108,21,0,
2020-06-07,Maharashtra,Dhule,238,118,21,0,
2020-06-08,Maharashtra,Dhule,261,118,25,0,
2020-06-09,Maharashtra,Dhule,290,129,25,0,
2020-06-10,Maharashtra,Dhule,334,135,25,0,
2020-06-11,Maharashtra,Dhule,341,161,25,0,
2020-06-12,Maharashtra,Dhule,353,168,26,0,
2020-06-13,Maharashtra,Dhule,353,199,26,1,
2020-06-14,Maharashtra,Dhule,393,223,26,1,
2020-06-15,Maharashtra,Dhule,433,223,39,1,
2020-06-16,Maharashtra,Dhule,448,254,51,1,
2020-06-17,Maharashtra,Dhule,464,277,51,1,
2020-06-18,Maharashtra,Dhule,466,278,51,1,
2020-06-19,Maharashtra,Dhule,479,318,54,1,
2020-06-20,Maharashtra,Dhule,483,321,46,1,
2020-06-21,Maharashtra,Dhule,500,329,46,1,
2020-06-22,Maharashtra,Dhule,561,339,46,1,
2020-06-23,Maharashtra,Dhule,587,350,47,2,
2020-06-24,Maharashtra,Dhule,588,353,47,2,
2020-06-25,Maharashtra,Dhule,615,372,47,2,
2020-06-26,Maharashtra,Dhule,663,391,47,2,
2020-06-27,Maharashtra,Dhule,935,399,54,2,
2020-06-28,Maharashtra,Dhule,962,449,54,2,
2020-06-29,Maharashtra,Dhule,1032,496,54,2,
2020-06-30,Maharashtra,Dhule,1094,544,54,2,
2020-07-01,Maharashtra,Dhule,1096,594,56,2,
2020-07-02,Maharashtra,Dhule,1172,657,56,2,
2020-07-03,Maharashtra,Dhule,1182,680,58,2,9813.0
2020-07-04,Maharashtra,Dhule,1233,692,58,2,9460.0
2020-07-05,Maharashtra,Dhule,1248,704,62,2,9885.0
2020-07-06,Maharashtra,Dhule,1274,724,67,2,9813.0
2020-07-07,Maharashtra,Dhule,1283,752,69,2,9885.0
2020-07-08,Maharashtra,Dhule,1367,766,69,2,9820.0
2020-07-09,Maharashtra,Dhule,1388,824,69,2,9880.0
2020-07-10,Maharashtra,Dhule,1423,834,73,2,9890.0
2020-07-11,Maharashtra,Dhule,1473,834,74,2,9897.0
2020-07-12,Maharashtra,Dhule,1517,835,76,2,9813.0
2020-07-13,Maharashtra,Dhule,1523,860,78,2,9902.0
2020-07-14,Maharashtra,Dhule,1610,864,78,2,9925.0
2020-07-15,Maharashtra,Dhule,1688,949,81,2,9925.0
2020-07-16,Maharashtra,Dhule,1703,1174,81,2,10388.0
2020-07-17,Maharashtra,Dhule,1771,1174,81,2,10400.0
2020-07-18,Maharashtra,Dhule,1814,1227,82,2,10500.0
