Date,State,District,Confirmed,Recovered,Deceased,Other,Tested
2020-04-26,Maharashtra,Jalna,2,0,0,0,
2020-04-27,Maharashtra,Jalna,2,0,0,0,
2020-04-28,Maharashtra,Jalna,2,0,0,0,
2020-04-29,Maharashtra,Jalna,2,0,0,0,
2020-04-30,Maharashtra,Jalna,2,1,0,0,
2020-05-01,Maharashtra,Jalna,3,1,0,0,
2020-05-02,Maharashtra,Jalna,8,1,0,0,
2020-05-03,Maharashtra,Jalna,8,1,0,0,
2020-05-04,Maharashtra,Jalna,8,1,0,0,
2020-05-05,Maharashtra,Jalna,8,1,0,0,
2020-05-06,Maharashtra,Jalna,8,1,0,0,
2020-05-07,Maharashtra,Jalna,8,1,0,0,
2020-05-08,Maharashtra,Jalna,12,1,0,0,
2020-05-09,Maharashtra,Jalna,12,1,0,0,
2020-05-10,Maharashtra,Jalna,12,1,0,0,
2020-05-11,Maharashtra,Jalna,14,1,0,0,
2020-05-12,Maharashtra,Jalna,16,1,0,0,
2020-05-13,Maharashtra,Jalna,16,1,0,0,
2020-05-14,Maharashtra,Jalna,20,1,0,0,
2020-05-15,Maharashtra,Jalna,21,5,0,0,
2020-05-16,Maharashtra,Jalna,21,7,0,0,
2020-05-17,Maharashtra,Jalna,28,7,0,0,
2020-05-18,Maharashtra,Jalna,36,7,0,0,
2020-05-19,Maharashtra,Jalna,38,8,0,0,
2020-05-20,Maharashtra,Jalna,38,8,0,0,
2020-05-21,Maharashtra,Jalna,43,8,0,0,
2020-05-22,Maharashtra,Jalna,46,11,0,0,
2020-05-23,Maharashtra,Jalna,54,13,0,0,
2020-05-24,Maharashtra,Jalna,56,13,0,0,
2020-05-25,Maharashtra,Jalna,63,15,0,0,
2020-05-26,Maharashtra,Jalna,73,16,0,0,
2020-05-27,Maharashtra,Jalna,79,23,0,0,
2020-05-28,Maharashtra,Jalna,87,24,0,0,
2020-05-29,Maharashtra,Jalna,117,32,0,0,
2020-05-30,Maharashtra,Jalna,119,45,0,0,
2020-05-31,Maharashtra,Jalna,125,54,0,0,
2020-06-01,Maharashtra,Jalna,129,57,1,0,
2020-06-02,Maharashtra,Jalna,130,58,1,0,
2020-06-03,Maharashtra,Jalna,154,59,2,0,
2020-06-04,Maharashtra,Jalna,159,72,3,0,
2020-06-05,Maharashtra,Jalna,170,78,3,0,
2020-06-06,Maharashtra,Jalna,177,85,3,0,
2020-06-07,Maharashtra,Jalna,188,120,4,0,
2020-06-08,Maharashtra,Jalna,208,130,5,0,
2020-06-09,Maharashtra,Jalna,209,131,5,0,
2020-06-10,Maharashtra,Jalna,225,148,5,0,
2020-06-11,Maharashtra,Jalna,225,148,6,0,
2020-06-12,Maharashtra,Jalna,250,148,6,0,
2020-06-13,Maharashtra,Jalna,258,156,6,0,
2020-06-14,Maharashtra,Jalna,272,159,6,0,
2020-06-15,Maharashtra,Jalna,280,171,8,0,
2020-06-16,Maharashtra,Jalna,295,181,12,0,
2020-06-17,Maharashtra,Jalna,314,194,12,0,
2020-06-18,Maharashtra,Jalna,319,201,12,0,
2020-06-19,Maharashtra,Jalna,327,226,12,0,
2020-06-20,Maharashtra,Jalna,360,230,11,0,
2020-06-21,Maharashtra,Jalna,365,231,11,0,
2020-06-22,Maharashtra,Jalna,372,250,11,0,
2020-06-23,Maharashtra,Jalna,395,259,11,0,
2020-06-24,Maharashtra,Jalna,395,264,12,0,
2020-06-25,Maharashtra,Jalna,411,282,12,0,
2020-06-26,Maharashtra,Jalna,418,292,12,0,
2020-06-27,Maharashtra,Jalna,470,313,13,0,
2020-06-28,Maharashtra,Jalna,488,313,14,0,
2020-06-29,Maharashtra,Jalna,535,333,14,0,
2020-06-30,Maharashtra,Jalna,552,334,14,0,
2020-07-01,Maharashtra,Jalna,583,344,17,0,
2020-07-02,Maharashtra,Jalna,613,355,19,0,
2020-07-03,Maharashtra,Jalna,619,363,24,0,5467.0
2020-07-04,Maharashtra,Jalna,683,380,24,0,5608.0
2020-07-05,Maharashtra,Jalna,719,380,24,0,5746.0
2020-07-06,Maharashtra,Jalna,758,397,29,0,5998.0
2020-07-07,Maharashtra,Jalna,832,424,31,0,6065.0
2020-07-08,Maharashtra,Jalna,845,456,34,0,6304.0
2020-07-09,Maharashtra,Jalna,852,474,35,0,6598.0
2020-07-10,Maharashtra,Jalna,880,475,36,0,6524.0
2020-07-11,Maharashtra,Jalna,906,506,44,0,6743.0
2020-07-12,Maharashtra,Jalna,983,506,47,0,6883.0
2020-07-13,Maharashtra,Jalna,1083,571,47,0,6887.0
2020-07-14,Maharashtra,Jalna,1084,580,47,0,6887.0
2020-07-15,Maharashtra,Jalna,1089,612,50,0,7314.0
2020-07-16,Maharashtra,Jalna,1146,631,50,0,7748.0
2020-07-17,Maharashtra,Jalna,1228,639,54,0,8176.0
2020-07-18,Maharashtra,Jalna,1298,661,54,0,8176.0
2020-07-19,Maharashtra,Jalna,1366,661,55,0,8786.0
2020-07-20,Maharashtra,Jalna,1461,664,56,0,8889.0
2020-07-21,Maharashtra,Jalna,1516,673,57,0,8889.0
2020-07-22,Maharashtra,Jalna,1571,673,58,0,9218.0
2020-07-23,Maharashtra,Jalna,1578,681,61,0,9386.0
2020-07-24,Maharashtra,Jalna,1610,761,64,0,9386.0
2020-07-25,Maharashtra,Jalna,1718,909,67,0,10661.0
2020-07-26,Maharashtra,Jalna,1762,909,68,0,10661.0
2020-07-27,Maharashtra,Jalna,1791,1150,68,0,11057.0
2020-07-28,Maharashtra,Jalna,1846,1334,69,0,11535.0
2020-07-29,Maharashtra,Jalna,1863,1418,73,0,11781.0
2020-07-30,Maharashtra,Jalna,1913,1421,73,0,12003.0
2020-07-31,Maharashtra,Jalna,1940,1434,74,0,12573.0
2020-08-01,Maharashtra,Jalna,1962,1453,75,0,13447.0
2020-08-02,Maharashtra,Jalna,1990,1481,77,0,13318.0
2020-08-03,Maharashtra,Jalna,2009,1512,78,0,13491.0
2020-08-04,Maharashtra,Jalna,2010,1512,78,0,13925.0
2020-08-05,Maharashtra,Jalna,2021,1533,79,0,13925.0
2020-08-06,Maharashtra,Jalna,2087,1553,79,0,14750.0
2020-08-07,Maharashtra,Jalna,2148,1594,79,0,16007.0
