Date,State,District,Confirmed,Recovered,Deceased,Other,Tested
2020-04-26,Maharashtra,Kolhapur,10,4,0,0,
2020-04-27,Maharashtra,Kolhapur,11,4,0,0,
2020-04-28,Maharashtra,Kolhapur,12,4,0,0,
2020-04-29,Maharashtra,Kolhapur,12,4,0,0,
2020-04-30,Maharashtra,Kolhapur,14,4,0,0,
2020-05-01,Maharashtra,Kolhapur,15,5,0,0,
2020-05-02,Maharashtra,Kolhapur,16,5,0,0,
2020-05-03,Maharashtra,Kolhapur,16,5,0,0,
2020-05-04,Maharashtra,Kolhapur,14,5,0,0,
2020-05-05,Maharashtra,Kolhapur,15,5,1,0,
2020-05-06,Maharashtra,Kolhapur,16,5,1,0,
2020-05-07,Maharashtra,Kolhapur,16,8,1,0,
2020-05-08,Maharashtra,Kolhapur,16,8,1,0,
2020-05-09,Maharashtra,Kolhapur,19,8,1,0,
2020-05-10,Maharashtra,Kolhapur,19,8,1,0,
2020-05-11,Maharashtra,Kolhapur,19,8,1,0,
2020-05-12,Maharashtra,Kolhapur,19,8,1,0,
2020-05-13,Maharashtra,Kolhapur,22,8,1,0,
2020-05-14,Maharashtra,Kolhapur,25,8,1,0,
2020-05-15,Maharashtra,Kolhapur,25,8,1,0,
2020-05-16,Maharashtra,Kolhapur,27,8,1,0,
2020-05-17,Maharashtra,Kolhapur,36,11,1,0,
2020-05-18,Maharashtra,Kolhapur,52,11,1,0,
2020-05-19,Maharashtra,Kolhapur,81,11,1,0,
2020-05-20,Maharashtra,Kolhapur,139,11,1,0,
2020-05-21,Maharashtra,Kolhapur,161,11,1,0,
2020-05-22,Maharashtra,Kolhapur,195,12,1,0,
2020-05-23,Maharashtra,Kolhapur,229,12,1,0,
2020-05-24,Maharashtra,Kolhapur,259,12,1,0,
2020-05-25,Maharashtra,Kolhapur,267,15,1,0,
2020-05-26,Maharashtra,Kolhapur,340,18,1,0,
2020-05-27,Maharashtra,Kolhapur,346,18,1,0,
2020-05-28,Maharashtra,Kolhapur,351,36,1,0,
2020-05-29,Maharashtra,Kolhapur,379,87,4,0,
2020-05-30,Maharashtra,Kolhapur,429,104,4,0,
2020-05-31,Maharashtra,Kolhapur,457,150,4,0,
2020-06-01,Maharashtra,Kolhapur,509,150,4,0,
2020-06-02,Maharashtra,Kolhapur,543,205,4,0,
2020-06-03,Maharashtra,Kolhapur,607,213,6,0,
2020-06-04,Maharashtra,Kolhapur,612,260,6,0,
2020-06-05,Maharashtra,Kolhapur,630,303,6,0,
2020-06-06,Maharashtra,Kolhapur,638,334,6,0,
2020-06-07,Maharashtra,Kolhapur,647,335,8,0,
2020-06-08,Maharashtra,Kolhapur,648,394,8,0,
2020-06-09,Maharashtra,Kolhapur,670,430,8,0,
2020-06-10,Maharashtra,Kolhapur,671,470,8,0,
2020-06-11,Maharashtra,Kolhapur,675,504,8,0,
2020-06-12,Maharashtra,Kolhapur,681,504,8,0,
2020-06-13,Maharashtra,Kolhapur,692,521,8,0,
2020-06-14,Maharashtra,Kolhapur,694,532,8,0,
2020-06-15,Maharashtra,Kolhapur,729,532,8,0,
2020-06-16,Maharashtra,Kolhapur,733,532,8,0,
2020-06-17,Maharashtra,Kolhapur,734,615,8,0,
2020-06-18,Maharashtra,Kolhapur,736,646,8,0,
2020-06-19,Maharashtra,Kolhapur,737,661,8,0,
2020-06-20,Maharashtra,Kolhapur,739,666,8,0,
