Date,State,District,Confirmed,Recovered,Deceased,Other,Tested
2020-04-26,Maharashtra,Nagpur,107,20,1,0,
2020-04-27,Maharashtra,Nagpur,127,20,1,0,
2020-04-28,Maharashtra,Nagpur,135,20,1,0,
2020-04-29,Maharashtra,Nagpur,138,35,1,0,
2020-04-30,Maharashtra,Nagpur,139,37,2,0,
2020-05-01,Maharashtra,Nagpur,139,37,2,0,
2020-05-02,Maharashtra,Nagpur,146,37,2,0,
2020-05-03,Maharashtra,Nagpur,152,40,2,0,
2020-05-04,Maharashtra,Nagpur,174,50,2,0,
2020-05-05,Maharashtra,Nagpur,181,56,2,0,
2020-05-06,Maharashtra,Nagpur,182,63,2,0,
2020-05-07,Maharashtra,Nagpur,206,63,2,0,
2020-05-08,Maharashtra,Nagpur,212,63,2,0,
2020-05-09,Maharashtra,Nagpur,224,63,2,0,
2020-05-10,Maharashtra,Nagpur,251,66,2,0,
2020-05-11,Maharashtra,Nagpur,259,71,2,0,
2020-05-12,Maharashtra,Nagpur,268,75,2,0,
2020-05-13,Maharashtra,Nagpur,317,86,2,0,
2020-05-14,Maharashtra,Nagpur,331,93,2,0,
2020-05-15,Maharashtra,Nagpur,334,128,2,0,
2020-05-16,Maharashtra,Nagpur,352,159,2,0,
2020-05-17,Maharashtra,Nagpur,357,162,2,0,
2020-05-18,Maharashtra,Nagpur,375,188,4,0,
2020-05-19,Maharashtra,Nagpur,388,228,6,0,8248.0
2020-05-20,Maharashtra,Nagpur,423,269,6,0,8767.0
2020-05-21,Maharashtra,Nagpur,437,274,6,0,9366.0
2020-05-22,Maharashtra,Nagpur,460,283,7,0,9366.0
2020-05-23,Maharashtra,Nagpur,465,293,7,0,9366.0
2020-05-24,Maharashtra,Nagpur,471,306,7,0,9366.0
2020-05-25,Maharashtra,Nagpur,475,329,7,0,9366.0
2020-05-26,Maharashtra,Nagpur,481,333,8,0,9366.0
2020-05-27,Maharashtra,Nagpur,484,334,9,0,9366.0
2020-05-28,Maharashtra,Nagpur,495,336,9,0,9366.0
2020-05-29,Maharashtra,Nagpur,511,342,9,0,9366.0
2020-05-30,Maharashtra,Nagpur,556,353,10,0,9366.0
2020-05-31,Maharashtra,Nagpur,574,358,10,0,9366.0
2020-06-01,Maharashtra,Nagpur,592,378,11,0,9366.0
2020-06-02,Maharashtra,Nagpur,614,381,11,0,9366.0
2020-06-03,Maharashtra,Nagpur,635,392,11,0,9366.0
2020-06-04,Maharashtra,Nagpur,662,410,11,0,9366.0
2020-06-05,Maharashtra,Nagpur,681,411,11,0,9366.0
2020-06-06,Maharashtra,Nagpur,738,416,11,0,9366.0
2020-06-07,Maharashtra,Nagpur,747,434,11,0,9366.0
2020-06-08,Maharashtra,Nagpur,761,466,11,0,9366.0
2020-06-09,Maharashtra,Nagpur,788,478,12,0,9366.0
2020-06-10,Maharashtra,Nagpur,831,495,12,0,9366.0
2020-06-11,Maharashtra,Nagpur,919,523,12,0,9366.0
2020-06-12,Maharashtra,Nagpur,969,536,12,0,16965.0
2020-06-13,Maharashtra,Nagpur,982,539,12,0,17834.0
2020-06-14,Maharashtra,Nagpur,1013,598,12,0,18282.0
2020-06-15,Maharashtra,Nagpur,1046,624,12,0,18826.0
2020-06-16,Maharashtra,Nagpur,1110,631,12,0,19076.0
2020-06-17,Maharashtra,Nagpur,1129,647,12,0,19450.0
2020-06-18,Maharashtra,Nagpur,1154,651,13,0,19891.0
2020-06-19,Maharashtra,Nagpur,1191,781,13,0,19891.0
2020-06-20,Maharashtra,Nagpur,1271,809,13,0,19891.0
2020-06-21,Maharashtra,Nagpur,1325,833,13,0,19891.0
2020-06-22,Maharashtra,Nagpur,1337,842,13,0,19891.0
2020-06-23,Maharashtra,Nagpur,1352,897,13,0,22235.0
2020-06-24,Maharashtra,Nagpur,1366,942,13,0,22863.0
2020-06-25,Maharashtra,Nagpur,1418,965,13,0,22863.0
2020-06-26,Maharashtra,Nagpur,1424,1005,14,0,22863.0
2020-06-27,Maharashtra,Nagpur,1400,1021,14,0,22863.0
2020-06-28,Maharashtra,Nagpur,1421,1037,14,0,22863.0
2020-06-29,Maharashtra,Nagpur,1448,1101,15,0,22863.0
