Date,State,District,Confirmed,Recovered,Deceased,Other,Tested
2020-04-26,Maharashtra,Nandurbar,11,0,1,0,
2020-04-27,Maharashtra,Nandurbar,11,0,1,0,
2020-04-28,Maharashtra,Nandurbar,11,0,1,0,
2020-04-29,Maharashtra,Nandurbar,11,0,1,0,
2020-04-30,Maharashtra,Nandurbar,11,0,1,0,
2020-05-01,Maharashtra,Nandurbar,11,0,1,0,
2020-05-02,Maharashtra,Nandurbar,12,0,1,0,
2020-05-03,Maharashtra,Nandurbar,12,0,1,0,
2020-05-04,Maharashtra,Nandurbar,18,0,1,0,
2020-05-05,Maharashtra,Nandurbar,19,0,1,0,
2020-05-06,Maharashtra,Nandurbar,19,4,1,0,
2020-05-07,Maharashtra,Nandurbar,19,4,1,0,
2020-05-08,Maharashtra,Nandurbar,19,4,1,0,
2020-05-09,Maharashtra,Nandurbar,19,4,1,0,
2020-05-10,Maharashtra,Nandurbar,22,9,2,0,
2020-05-11,Maharashtra,Nandurbar,22,9,2,0,
2020-05-12,Maharashtra,Nandurbar,22,9,2,0,
2020-05-13,Maharashtra,Nandurbar,22,9,2,0,
2020-05-14,Maharashtra,Nandurbar,22,10,2,0,
2020-05-15,Maharashtra,Nandurbar,22,10,2,0,
2020-05-16,Maharashtra,Nandurbar,22,16,2,0,
2020-05-17,Maharashtra,Nandurbar,23,16,2,0,
2020-05-18,Maharashtra,Nandurbar,25,20,2,0,
2020-05-19,Maharashtra,Nandurbar,25,20,2,0,
2020-05-20,Maharashtra,Nandurbar,25,20,2,0,
2020-05-21,Maharashtra,Nandurbar,26,20,2,0,
2020-05-22,Maharashtra,Nandurbar,32,20,2,0,
2020-05-23,Maharashtra,Nandurbar,32,20,2,0,
2020-05-24,Maharashtra,Nandurbar,32,20,2,0,
2020-05-25,Maharashtra,Nandurbar,32,20,2,0,
2020-05-26,Maharashtra,Nandurbar,32,20,2,0,
2020-05-27,Maharashtra,Nandurbar,32,20,3,0,
2020-05-28,Maharashtra,Nandurbar,32,20,3,0,
2020-05-29,Maharashtra,Nandurbar,33,20,3,0,
2020-05-30,Maharashtra,Nandurbar,34,20,3,0,
2020-05-31,Maharashtra,Nandurbar,35,20,3,0,
2020-06-01,Maharashtra,Nandurbar,35,27,3,0,
2020-06-02,Maharashtra,Nandurbar,37,27,3,0,
2020-06-03,Maharashtra,Nandurbar,37,28,4,0,
2020-06-04,Maharashtra,Nandurbar,39,28,4,0,
2020-06-05,Maharashtra,Nandurbar,40,28,4,0,
2020-06-06,Maharashtra,Nandurbar,40,28,4,0,
2020-06-07,Maharashtra,Nandurbar,40,28,4,0,
2020-06-08,Maharashtra,Nandurbar,40,28,4,0,
2020-06-09,Maharashtra,Nandurbar,40,28,4,0,
2020-06-10,Maharashtra,Nandurbar,44,28,4,0,
2020-06-11,Maharashtra,Nandurbar,45,30,4,0,
2020-06-12,Maharashtra,Nandurbar,48,30,4,0,
2020-06-13,Maharashtra,Nandurbar,48,30,4,0,
2020-06-14,Maharashtra,Nandurbar,48,30,4,0,
2020-06-15,Maharashtra,Nandurbar,66,32,4,0,
2020-06-16,Maharashtra,Nandurbar,72,33,4,0,
2020-06-17,Maharashtra,Nandurbar,72,33,6,0,
2020-06-18,Maharashtra,Nandurbar,72,33,6,0,
2020-06-19,Maharashtra,Nandurbar,83,36,6,0,
2020-06-20,Maharashtra,Nandurbar,83,36,5,0,
2020-06-21,Maharashtra,Nandurbar,83,36,5,0,
2020-06-22,Maharashtra,Nandurbar,83,41,5,0,
2020-06-23,Maharashtra,Nandurbar,89,52,5,0,
2020-06-24,Maharashtra,Nandurbar,90,52,6,0,
2020-06-25,Maharashtra,Nandurbar,90,52,6,0,
2020-06-26,Maharashtra,Nandurbar,153,52,7,0,
2020-06-27,Maharashtra,Nandurbar,165,60,7,0,
2020-06-28,Maharashtra,Nandurbar,166,70,7,0,
2020-06-29,Maharashtra,Nandurbar,173,70,7,0,
2020-06-30,Maharashtra,Nandurbar,175,72,7,0,
2020-07-01,Maharashtra,Nandurbar,178,72,7,0,
2020-07-02,Maharashtra,Nandurbar,178,73,8,0,
2020-07-03,Maharashtra,Nandurbar,179,79,9,0,2032.0
2020-07-04,Maharashtra,Nandurbar,197,83,9,0,2070.0
2020-07-05,Maharashtra,Nandurbar,197,83,9,0,2115.0
2020-07-06,Maharashtra,Nandurbar,208,139,9,0,2151.0
2020-07-07,Maharashtra,Nandurbar,208,143,9,0,2193.0
2020-07-08,Maharashtra,Nandurbar,209,143,9,0,2231.0
2020-07-09,Maharashtra,Nandurbar,236,149,11,0,2231.0
2020-07-10,Maharashtra,Nandurbar,240,149,11,0,2299.0
2020-07-11,Maharashtra,Nandurbar,248,149,11,0,2333.0
2020-07-12,Maharashtra,Nandurbar,279,149,11,0,2407.0
2020-07-13,Maharashtra,Nandurbar,279,149,11,0,2445.0
2020-07-14,Maharashtra,Nandurbar,282,167,11,0,2526.0
2020-07-15,Maharashtra,Nandurbar,309,172,11,0,2526.0
2020-07-16,Maharashtra,Nandurbar,318,172,16,0,2670.0
2020-07-17,Maharashtra,Nandurbar,350,172,16,0,2717.0
2020-07-18,Maharashtra,Nandurbar,360,172,16,0,2800.0
2020-07-19,Maharashtra,Nandurbar,382,173,17,0,2818.0
2020-07-20,Maharashtra,Nandurbar,397,195,17,0,2883.0
2020-07-21,Maharashtra,Nandurbar,438,195,19,0,2953.0
2020-07-22,Maharashtra,Nandurbar,466,198,20,0,2983.0
2020-07-23,Maharashtra,Nandurbar,477,200,20,0,3093.0
2020-07-24,Maharashtra,Nandurbar,491,232,21,0,3171.0
2020-07-25,Maharashtra,Nandurbar,497,295,22,0,3295.0
2020-07-26,Maharashtra,Nandurbar,504,322,23,0,3408.0
2020-07-27,Maharashtra,Nandurbar,516,326,26,0,3408.0
2020-07-28,Maharashtra,Nandurbar,562,360,27,0,3565.0
2020-07-29,Maharashtra,Nandurbar,573,364,30,0,3723.0
2020-07-30,Maharashtra,Nandurbar,588,366,31,0,3927.0
2020-07-31,Maharashtra,Nandurbar,629,414,31,0,4014.0
2020-08-01,Maharashtra,Nandurbar,642,414,32,0,4175.0
2020-08-02,Maharashtra,Nandurbar,655,420,32,0,4308.0
2020-08-03,Maharashtra,Nandurbar,658,436,36,0,4407.0
2020-08-04,Maharashtra,Nandurbar,668,441,38,0,4503.0
2020-08-05,Maharashtra,Nandurbar,678,465,42,0,4559.0
2020-08-06,Maharashtra,Nandurbar,727,482,43,0,4606.0
2020-08-07,Maharashtra,Nandurbar,740,503,43,0,4765.0
2020-08-08,Maharashtra,Nandurbar,896,506,43,0,4831.0
2020-08-09,Maharashtra,Nandurbar,923,515,43,0,4831.0
2020-08-10,Maharashtra,Nandurbar,928,516,46,0,4936.0
2020-08-11,Maharashtra,Nandurbar,965,569,46,0,4936.0
2020-08-12,Maharashtra,Nandurbar,1000,595,50,0,5167.0
2020-08-13,Maharashtra,Nandurbar,1088,672,51,0,5167.0
2020-08-14,Maharashtra,Nandurbar,1103,724,51,0,5912.0
2020-08-15,Maharashtra,Nandurbar,1176,754,53,0,5912.0
2020-08-16,Maharashtra,Nandurbar,1182,769,53,0,6125.0
2020-08-17,Maharashtra,Nandurbar,1184,794,53,0,6125.0
2020-08-18,Maharashtra,Nandurbar,1221,809,56,0,6125.0
2020-08-19,Maharashtra,Nandurbar,1259,877,56,0,6233.0
2020-08-20,Maharashtra,Nandurbar,1340,900,57,0,6425.0
2020-08-21,Maharashtra,Nandurbar,1452,923,58,0,6692.0
2020-08-22,Maharashtra,Nandurbar,1601,938,60,0,7162.0
2020-08-23,Maharashtra,Nandurbar,1720,980,60,0,7443.0
2020-08-24,Maharashtra,Nandurbar,1838,1008,60,0,7631.0
2020-08-25,Maharashtra,Nandurbar,1945,1034,60,0,7817.0
2020-08-26,Maharashtra,Nandurbar,2075,1076,62,0,8191.0
2020-08-27,Maharashtra,Nandurbar,2218,1127,65,0,8483.0
2020-08-28,Maharashtra,Nandurbar,2294,1209,68,0,8483.0
2020-08-29,Maharashtra,Nandurbar,2359,1220,69,0,9110.0
2020-08-30,Maharashtra,Nandurbar,2649,1297,74,0,9394.0
2020-08-31,Maharashtra,Nandurbar,2754,1366,74,0,9480.0
2020-09-01,Maharashtra,Nandurbar,2796,1462,74,0,9480.0
2020-09-02,Maharashtra,Nandurbar,2897,1540,77,0,9480.0
2020-09-03,Maharashtra,Nandurbar,2982,1618,81,0,10332.0
2020-09-04,Maharashtra,Nandurbar,3065,1782,82,0,10620.0
2020-09-05,Maharashtra,Nandurbar,3169,1801,83,0,10902.0
2020-09-06,Maharashtra,Nandurbar,3283,1892,84,0,11278.0
2020-09-07,Maharashtra,Nandurbar,3305,2136,85,0,11465.0
2020-09-08,Maharashtra,Nandurbar,3399,2267,86,0,11747.0
2020-09-09,Maharashtra,Nandurbar,3547,2335,91,0,12029.0
2020-09-10,Maharashtra,Nandurbar,3606,2442,96,0,12233.0
2020-09-11,Maharashtra,Nandurbar,3694,2547,97,0,12515.0
2020-09-12,Maharashtra,Nandurbar,3868,2633,98,0,12894.0
2020-09-13,Maharashtra,Nandurbar,3992,2673,99,0,12994.0
