Date,State,District,Confirmed,Recovered,Deceased,Other,Tested
2020-04-26,Maharashtra,Nashik,131,2,12,0,
2020-04-27,Maharashtra,Nashik,146,5,12,0,
2020-04-28,Maharashtra,Nashik,195,6,12,0,
2020-04-29,Maharashtra,Nashik,195,6,12,0,
2020-04-30,Maharashtra,Nashik,197,6,12,0,
2020-05-01,Maharashtra,Nashik,242,6,12,0,
2020-05-02,Maharashtra,Nashik,262,6,12,0,
2020-05-03,Maharashtra,Nashik,284,6,12,0,
2020-05-04,Maharashtra,Nashik,382,6,12,0,
2020-05-05,Maharashtra,Nashik,409,6,12,0,
2020-05-06,Maharashtra,Nashik,463,24,12,0,
2020-05-07,Maharashtra,Nashik,533,24,12,0,
2020-05-08,Maharashtra,Nashik,557,42,12,0,
2020-05-09,Maharashtra,Nashik,595,42,20,0,
2020-05-10,Maharashtra,Nashik,659,47,34,0,
2020-05-11,Maharashtra,Nashik,696,47,34,0,
2020-05-12,Maharashtra,Nashik,741,103,34,0,
2020-05-13,Maharashtra,Nashik,751,126,34,0,
2020-05-14,Maharashtra,Nashik,807,139,34,0,
2020-05-15,Maharashtra,Nashik,825,139,34,0,
2020-05-16,Maharashtra,Nashik,835,265,35,0,
2020-05-17,Maharashtra,Nashik,851,416,35,0,
2020-05-18,Maharashtra,Nashik,857,550,35,0,
2020-05-19,Maharashtra,Nashik,840,638,36,0,7820.0
2020-05-20,Maharashtra,Nashik,868,639,36,0,7911.0
2020-05-21,Maharashtra,Nashik,907,641,45,0,8080.0
2020-05-22,Maharashtra,Nashik,918,641,46,0,9447.0
2020-05-23,Maharashtra,Nashik,931,669,46,0,9547.0
2020-05-24,Maharashtra,Nashik,936,718,46,0,9778.0
2020-05-25,Maharashtra,Nashik,973,722,46,0,10148.0
2020-05-26,Maharashtra,Nashik,992,728,49,0,10346.0
2020-05-27,Maharashtra,Nashik,1012,750,52,0,10624.0
2020-05-28,Maharashtra,Nashik,1043,755,52,0,10887.0
2020-05-29,Maharashtra,Nashik,1070,818,60,0,11218.0
2020-05-30,Maharashtra,Nashik,1111,893,60,0,11503.0
2020-05-31,Maharashtra,Nashik,1135,893,66,0,11503.0
2020-06-01,Maharashtra,Nashik,1182,893,67,0,11800.0
2020-06-02,Maharashtra,Nashik,1212,919,68,0,12470.0
2020-06-03,Maharashtra,Nashik,1235,942,68,0,12664.0
2020-06-04,Maharashtra,Nashik,1297,942,71,0,12910.0
2020-06-05,Maharashtra,Nashik,1367,978,81,0,13087.0
2020-06-06,Maharashtra,Nashik,1412,1012,88,0,13247.0
2020-06-07,Maharashtra,Nashik,1521,1027,89,0,13466.0
2020-06-08,Maharashtra,Nashik,1592,1027,91,0,13724.0
2020-06-09,Maharashtra,Nashik,1660,1094,95,0,13983.0
