Date,State,District,Confirmed,Recovered,Deceased,Other,Tested
2020-04-26,Maharashtra,Osmanabad,3,3,0,0,
2020-04-27,Maharashtra,Osmanabad,3,3,0,0,
2020-04-28,Maharashtra,Osmanabad,3,3,0,0,
2020-04-29,Maharashtra,Osmanabad,3,3,0,0,
2020-04-30,Maharashtra,Osmanabad,3,3,0,0,
2020-05-01,Maharashtra,Osmanabad,3,3,0,0,
2020-05-02,Maharashtra,Osmanabad,3,3,0,0,
2020-05-03,Maharashtra,Osmanabad,3,3,0,0,
2020-05-04,Maharashtra,Osmanabad,3,3,0,0,
2020-05-05,Maharashtra,Osmanabad,3,3,0,0,
2020-05-06,Maharashtra,Osmanabad,3,3,0,0,
2020-05-07,Maharashtra,Osmanabad,3,3,0,0,
2020-05-08,Maharashtra,Osmanabad,3,3,0,0,
2020-05-09,Maharashtra,Osmanabad,3,3,0,0,
2020-05-10,Maharashtra,Osmanabad,3,3,0,0,
2020-05-11,Maharashtra,Osmanabad,3,3,0,0,
2020-05-12,Maharashtra,Osmanabad,4,3,0,0,
2020-05-13,Maharashtra,Osmanabad,4,3,0,0,
2020-05-14,Maharashtra,Osmanabad,4,3,0,0,
2020-05-15,Maharashtra,Osmanabad,6,3,0,0,
2020-05-16,Maharashtra,Osmanabad,7,3,0,0,
2020-05-17,Maharashtra,Osmanabad,7,3,0,0,
2020-05-18,Maharashtra,Osmanabad,11,3,0,0,
2020-05-19,Maharashtra,Osmanabad,11,3,0,0,
2020-05-20,Maharashtra,Osmanabad,11,4,0,0,
2020-05-21,Maharashtra,Osmanabad,19,4,0,0,
2020-05-22,Maharashtra,Osmanabad,26,4,0,0,
2020-05-23,Maharashtra,Osmanabad,29,4,0,0,
2020-05-24,Maharashtra,Osmanabad,31,4,0,0,
2020-05-25,Maharashtra,Osmanabad,37,6,0,0,
2020-05-26,Maharashtra,Osmanabad,37,8,0,0,
2020-05-27,Maharashtra,Osmanabad,45,9,0,0,
2020-05-28,Maharashtra,Osmanabad,54,12,0,0,
2020-05-29,Maharashtra,Osmanabad,64,13,0,0,
2020-05-30,Maharashtra,Osmanabad,66,18,0,0,
2020-05-31,Maharashtra,Osmanabad,73,19,1,0,
2020-06-01,Maharashtra,Osmanabad,76,26,1,0,
2020-06-02,Maharashtra,Osmanabad,80,32,1,0,
2020-06-03,Maharashtra,Osmanabad,91,40,2,0,
2020-06-04,Maharashtra,Osmanabad,96,45,3,0,
2020-06-05,Maharashtra,Osmanabad,106,53,3,0,
2020-06-06,Maharashtra,Osmanabad,118,58,3,0,
2020-06-07,Maharashtra,Osmanabad,124,59,3,0,
2020-06-08,Maharashtra,Osmanabad,125,69,3,0,
2020-06-09,Maharashtra,Osmanabad,125,74,3,0,
2020-06-10,Maharashtra,Osmanabad,140,83,3,0,
2020-06-11,Maharashtra,Osmanabad,140,87,3,0,
2020-06-12,Maharashtra,Osmanabad,140,96,3,0,
2020-06-13,Maharashtra,Osmanabad,143,100,3,0,
2020-06-14,Maharashtra,Osmanabad,146,113,5,0,
2020-06-15,Maharashtra,Osmanabad,150,113,5,0,
2020-06-16,Maharashtra,Osmanabad,151,113,8,0,
2020-06-17,Maharashtra,Osmanabad,156,123,8,0,
2020-06-18,Maharashtra,Osmanabad,161,123,8,0,
2020-06-19,Maharashtra,Osmanabad,166,125,8,0,
2020-06-20,Maharashtra,Osmanabad,169,126,6,0,
2020-06-21,Maharashtra,Osmanabad,176,130,6,0,
2020-06-22,Maharashtra,Osmanabad,179,130,6,0,
2020-06-23,Maharashtra,Osmanabad,183,130,6,0,
2020-06-24,Maharashtra,Osmanabad,186,135,8,0,
2020-06-25,Maharashtra,Osmanabad,190,140,8,0,
2020-06-26,Maharashtra,Osmanabad,194,147,8,0,
2020-06-27,Maharashtra,Osmanabad,195,150,9,0,
2020-06-28,Maharashtra,Osmanabad,203,161,9,0,
2020-06-29,Maharashtra,Osmanabad,207,164,10,0,
2020-06-30,Maharashtra,Osmanabad,215,169,10,0,
2020-07-01,Maharashtra,Osmanabad,223,171,12,0,
2020-07-02,Maharashtra,Osmanabad,229,174,12,0,
2020-07-03,Maharashtra,Osmanabad,241,180,12,0,3201.0
2020-07-04,Maharashtra,Osmanabad,253,182,12,0,3375.0
2020-07-05,Maharashtra,Osmanabad,264,186,12,0,3517.0
2020-07-06,Maharashtra,Osmanabad,285,193,13,0,3646.0
2020-07-07,Maharashtra,Osmanabad,292,195,14,0,3848.0
2020-07-08,Maharashtra,Osmanabad,309,202,14,0,3934.0
2020-07-09,Maharashtra,Osmanabad,329,203,14,0,4107.0
2020-07-10,Maharashtra,Osmanabad,332,209,14,0,4213.0
2020-07-11,Maharashtra,Osmanabad,345,223,14,0,4331.0
2020-07-12,Maharashtra,Osmanabad,381,234,14,0,4490.0
2020-07-13,Maharashtra,Osmanabad,395,246,17,0,4668.0
2020-07-14,Maharashtra,Osmanabad,410,251,17,0,4776.0
2020-07-15,Maharashtra,Osmanabad,429,272,17,0,5085.0
2020-07-16,Maharashtra,Osmanabad,434,275,21,0,5327.0
2020-07-17,Maharashtra,Osmanabad,466,276,23,0,5494.0
2020-07-18,Maharashtra,Osmanabad,481,296,24,0,5992.0
2020-07-19,Maharashtra,Osmanabad,498,312,25,0,5841.0
2020-07-20,Maharashtra,Osmanabad,500,334,25,0,6052.0
2020-07-21,Maharashtra,Osmanabad,556,339,28,0,6248.0
2020-07-22,Maharashtra,Osmanabad,573,349,29,0,6155.0
2020-07-23,Maharashtra,Osmanabad,593,369,30,0,6531.0
2020-07-24,Maharashtra,Osmanabad,619,387,33,0,6794.0
2020-07-25,Maharashtra,Osmanabad,634,398,33,0,7031.0
2020-07-26,Maharashtra,Osmanabad,671,429,34,0,7224.0
2020-07-27,Maharashtra,Osmanabad,693,448,35,0,7224.0
2020-07-28,Maharashtra,Osmanabad,708,480,39,0,7722.0
2020-07-29,Maharashtra,Osmanabad,759,486,40,0,7833.0
2020-07-30,Maharashtra,Osmanabad,858,512,43,0,7885.0
2020-07-31,Maharashtra,Osmanabad,971,518,45,0,8388.0
2020-08-01,Maharashtra,Osmanabad,1004,520,51,0,8803.0
2020-08-02,Maharashtra,Osmanabad,1092,522,53,0,9281.0
2020-08-03,Maharashtra,Osmanabad,1127,529,54,0,9319.0
2020-08-04,Maharashtra,Osmanabad,1471,561,56,0,9458.0
2020-08-05,Maharashtra,Osmanabad,1613,589,59,0,9687.0
2020-08-06,Maharashtra,Osmanabad,1729,655,59,0,10004.0
2020-08-07,Maharashtra,Osmanabad,1892,745,60,0,10322.0
2020-08-08,Maharashtra,Osmanabad,2088,798,61,0,10673.0
2020-08-09,Maharashtra,Osmanabad,2249,858,62,0,13026.0
2020-08-10,Maharashtra,Osmanabad,2409,984,65,0,13026.0
2020-08-11,Maharashtra,Osmanabad,2737,1112,66,0,15621.0
2020-08-12,Maharashtra,Osmanabad,2858,1279,73,0,16831.0
2020-08-13,Maharashtra,Osmanabad,3065,1418,82,0,18376.0
2020-08-14,Maharashtra,Osmanabad,3256,1563,86,0,19719.0
2020-08-15,Maharashtra,Osmanabad,3432,1662,90,0,19719.0
2020-08-16,Maharashtra,Osmanabad,3559,1765,92,0,24213.0
2020-08-17,Maharashtra,Osmanabad,3711,1855,98,0,25178.0
2020-08-18,Maharashtra,Osmanabad,3813,2043,102,0,26205.0
2020-08-19,Maharashtra,Osmanabad,4119,2198,108,0,27052.0
2020-08-20,Maharashtra,Osmanabad,4383,2310,112,0,28449.0
2020-08-21,Maharashtra,Osmanabad,4520,2471,117,0,29552.0
2020-08-22,Maharashtra,Osmanabad,4783,2609,124,0,30696.0
2020-08-23,Maharashtra,Osmanabad,4966,2728,128,0,31542.0
2020-08-24,Maharashtra,Osmanabad,5168,2937,129,0,31955.0
2020-08-25,Maharashtra,Osmanabad,5273,3034,136,0,32474.0
2020-08-26,Maharashtra,Osmanabad,5328,3164,141,0,32977.0
2020-08-27,Maharashtra,Osmanabad,5377,3259,145,0,33342.0
2020-08-28,Maharashtra,Osmanabad,5515,3368,147,0,33694.0
2020-08-29,Maharashtra,Osmanabad,5672,3603,150,0,34297.0
2020-08-30,Maharashtra,Osmanabad,5780,3733,152,0,35210.0
2020-08-31,Maharashtra,Osmanabad,5912,3923,158,0,35762.0
2020-09-01,Maharashtra,Osmanabad,6185,4110,165,0,35762.0
2020-09-02,Maharashtra,Osmanabad,6353,4235,171,0,37512.0
2020-09-03,Maharashtra,Osmanabad,6643,4364,180,0,38475.0
