Date,State,District,Confirmed,Recovered,Deceased,Other,Tested
2020-04-26,Maharashtra,Other State,25,0,2,0,
2020-04-27,Maharashtra,Other State,25,0,2,0,
2020-04-28,Maharashtra,Other State,25,0,2,0,
2020-04-29,Maharashtra,Other State,25,0,2,0,
2020-04-30,Maharashtra,Other State,26,0,2,0,
2020-05-01,Maharashtra,Other State,27,0,3,0,
2020-05-02,Maharashtra,Other State,27,0,4,0,
2020-05-03,Maharashtra,Other State,28,0,4,0,
2020-05-04,Maharashtra,Other State,29,0,5,0,
2020-05-05,Maharashtra,Other State,30,0,5,0,
2020-05-06,Maharashtra,Other State,32,0,6,0,
2020-05-07,Maharashtra,Other State,34,0,8,0,
2020-05-08,Maharashtra,Other State,34,0,8,0,
2020-05-09,Maharashtra,Other State,35,0,8,0,
2020-05-10,Maharashtra,Other State,36,0,9,0,
2020-05-11,Maharashtra,Other State,41,0,10,0,
2020-05-12,Maharashtra,Other State,41,0,10,0,
2020-05-13,Maharashtra,Other State,41,0,10,0,
2020-05-14,Maharashtra,Other State,41,0,10,0,
2020-05-15,Maharashtra,Other State,41,0,10,0,
2020-05-16,Maharashtra,Other State,41,0,10,0,
2020-05-17,Maharashtra,Other State,41,0,10,0,
2020-05-18,Maharashtra,Other State,43,0,11,0,
2020-05-19,Maharashtra,Other State,46,0,11,0,
2020-05-20,Maharashtra,Other State,48,0,11,0,
2020-05-21,Maharashtra,Other State,48,0,11,0,
2020-05-22,Maharashtra,Other State,48,0,11,0,
2020-05-23,Maharashtra,Other State,48,0,11,0,
2020-05-24,Maharashtra,Other State,49,0,11,0,
2020-05-25,Maharashtra,Other State,51,0,12,0,
2020-05-26,Maharashtra,Other State,52,0,12,0,
2020-05-27,Maharashtra,Other State,53,0,13,0,
2020-05-28,Maharashtra,Other State,54,0,13,0,
2020-05-29,Maharashtra,Other State,56,0,13,0,
2020-05-30,Maharashtra,Other State,59,0,15,0,
2020-05-31,Maharashtra,Other State,59,0,15,0,
2020-06-01,Maharashtra,Other State,60,0,15,0,
2020-06-02,Maharashtra,Other State,62,0,15,0,
2020-06-03,Maharashtra,Other State,63,0,18,0,
2020-06-04,Maharashtra,Other State,64,0,18,0,
2020-06-05,Maharashtra,Other State,65,0,18,0,
2020-06-06,Maharashtra,Other State,65,0,18,0,
2020-06-07,Maharashtra,Other State,72,0,19,0,
2020-06-08,Maharashtra,Other State,75,0,19,0,
2020-06-09,Maharashtra,Other State,78,0,20,0,
2020-06-10,Maharashtra,Other State,80,0,20,0,
2020-06-11,Maharashtra,Other State,80,0,20,0,
2020-06-12,Maharashtra,Other State,80,0,20,0,
2020-06-13,Maharashtra,Other State,80,0,20,0,
2020-06-14,Maharashtra,Other State,81,0,20,0,
2020-06-15,Maharashtra,Other State,89,0,20,0,
2020-06-16,Maharashtra,Other State,93,0,20,0,
2020-06-17,Maharashtra,Other State,98,0,20,0,
2020-06-18,Maharashtra,Other State,102,0,20,0,
2020-06-19,Maharashtra,Other State,109,0,20,0,
2020-06-20,Maharashtra,Other State,112,0,20,0,
2020-06-21,Maharashtra,Other State,114,0,20,0,
2020-06-22,Maharashtra,Other State,116,0,20,0,
2020-06-23,Maharashtra,Other State,117,0,20,0,
2020-06-24,Maharashtra,Other State,118,0,21,0,
2020-06-25,Maharashtra,Other State,121,0,23,0,
2020-06-26,Maharashtra,Other State,123,0,23,0,
2020-06-27,Maharashtra,Other State,72,0,23,0,
2020-06-28,Maharashtra,Other State,74,0,23,0,
2020-06-29,Maharashtra,Other State,85,0,23,0,
2020-06-30,Maharashtra,Other State,89,0,23,0,
2020-07-01,Maharashtra,Other State,94,0,23,0,
2020-07-02,Maharashtra,Other State,97,0,23,0,
2020-07-03,Maharashtra,Other State,106,0,25,0,
2020-07-04,Maharashtra,Other State,111,0,25,0,
2020-07-05,Maharashtra,Other State,133,0,25,0,
2020-07-06,Maharashtra,Other State,139,0,25,0,
2020-07-07,Maharashtra,Other State,145,0,26,0,
2020-07-08,Maharashtra,Other State,153,0,26,0,
2020-07-09,Maharashtra,Other State,166,0,27,0,
2020-07-10,Maharashtra,Other State,175,0,28,0,
2020-07-11,Maharashtra,Other State,183,0,30,0,
2020-07-12,Maharashtra,Other State,195,0,31,0,
