Date,State,District,Confirmed,Recovered,Deceased,Other,Tested
2020-04-26,Maharashtra,Palghar,141,35,4,0,
2020-04-27,Maharashtra,Palghar,146,36,4,0,
2020-04-28,Maharashtra,Palghar,164,36,4,0,
2020-04-29,Maharashtra,Palghar,169,40,4,0,
2020-04-30,Maharashtra,Palghar,169,46,4,0,
2020-05-01,Maharashtra,Palghar,179,55,4,0,
2020-05-02,Maharashtra,Palghar,188,55,5,0,
2020-05-03,Maharashtra,Palghar,196,64,5,0,
2020-05-04,Maharashtra,Palghar,204,87,5,0,
2020-05-05,Maharashtra,Palghar,192,92,5,0,
2020-05-06,Maharashtra,Palghar,211,100,5,0,
2020-05-07,Maharashtra,Palghar,233,104,11,0,
2020-05-08,Maharashtra,Palghar,240,107,11,0,
2020-05-09,Maharashtra,Palghar,248,107,11,0,
2020-05-10,Maharashtra,Palghar,263,114,12,0,
2020-05-11,Maharashtra,Palghar,286,118,12,0,
2020-05-12,Maharashtra,Palghar,301,118,12,0,
2020-05-13,Maharashtra,Palghar,326,118,13,0,
2020-05-14,Maharashtra,Palghar,337,118,13,0,
2020-05-15,Maharashtra,Palghar,363,128,13,0,
2020-05-16,Maharashtra,Palghar,390,136,13,0,
2020-05-17,Maharashtra,Palghar,420,136,13,0,
2020-05-18,Maharashtra,Palghar,437,139,14,0,
2020-05-19,Maharashtra,Palghar,463,166,14,0,
2020-05-20,Maharashtra,Palghar,475,177,14,0,
2020-05-21,Maharashtra,Palghar,527,220,14,0,
2020-05-22,Maharashtra,Palghar,558,223,17,0,
2020-05-23,Maharashtra,Palghar,610,231,18,0,
2020-05-24,Maharashtra,Palghar,676,239,18,0,
2020-05-25,Maharashtra,Palghar,717,255,18,0,
2020-05-26,Maharashtra,Palghar,752,264,18,0,
2020-05-27,Maharashtra,Palghar,771,271,19,0,
2020-05-28,Maharashtra,Palghar,825,273,23,0,
2020-05-29,Maharashtra,Palghar,913,280,23,0,
2020-05-30,Maharashtra,Palghar,968,329,30,0,
2020-05-31,Maharashtra,Palghar,1018,378,30,0,
2020-06-01,Maharashtra,Palghar,1071,391,33,0,
2020-06-02,Maharashtra,Palghar,1122,443,33,0,
2020-06-03,Maharashtra,Palghar,1199,447,34,0,
2020-06-04,Maharashtra,Palghar,1234,458,36,0,
2020-06-05,Maharashtra,Palghar,1285,468,37,0,
2020-06-06,Maharashtra,Palghar,1386,581,39,0,
2020-06-07,Maharashtra,Palghar,1485,607,40,0,
2020-06-08,Maharashtra,Palghar,1567,608,41,0,
2020-06-09,Maharashtra,Palghar,1636,608,43,0,
2020-06-10,Maharashtra,Palghar,1738,645,45,0,
2020-06-11,Maharashtra,Palghar,1842,687,47,0,
2020-06-12,Maharashtra,Palghar,2053,688,48,0,
2020-06-13,Maharashtra,Palghar,2216,714,48,0,
2020-06-14,Maharashtra,Palghar,2326,714,50,0,
2020-06-15,Maharashtra,Palghar,2476,714,71,0,
2020-06-16,Maharashtra,Palghar,2593,797,82,0,
2020-06-17,Maharashtra,Palghar,2691,922,82,0,
2020-06-18,Maharashtra,Palghar,2853,960,83,0,
2020-06-19,Maharashtra,Palghar,3029,1016,88,0,
2020-06-20,Maharashtra,Palghar,3225,1045,88,0,
2020-06-21,Maharashtra,Palghar,3453,1047,90,0,
2020-06-22,Maharashtra,Palghar,3621,1154,93,0,
2020-06-23,Maharashtra,Palghar,3866,1154,93,0,
2020-06-24,Maharashtra,Palghar,4028,1158,93,0,
2020-06-25,Maharashtra,Palghar,4263,1188,99,0,
2020-06-26,Maharashtra,Palghar,4536,1382,99,0,
2020-06-27,Maharashtra,Palghar,4880,1508,101,0,26797.0
2020-06-28,Maharashtra,Palghar,5267,1767,101,0,28722.0
2020-06-29,Maharashtra,Palghar,5578,2621,101,0,28722.0
2020-06-30,Maharashtra,Palghar,5858,2621,108,0,32179.0
2020-07-01,Maharashtra,Palghar,6064,2654,111,0,33759.0
2020-07-02,Maharashtra,Palghar,6427,2796,111,0,36145.0
2020-07-03,Maharashtra,Palghar,6837,2866,117,0,38445.0
2020-07-04,Maharashtra,Palghar,7173,2900,122,0,38445.0
2020-07-05,Maharashtra,Palghar,7470,2965,126,0,42039.0
2020-07-06,Maharashtra,Palghar,7823,3117,140,0,45024.0
2020-07-07,Maharashtra,Palghar,8051,3348,150,0,45024.0
2020-07-08,Maharashtra,Palghar,8304,3794,153,0,46585.0
2020-07-09,Maharashtra,Palghar,8575,4152,161,0,48190.0
2020-07-10,Maharashtra,Palghar,8963,4554,171,0,49823.0
2020-07-11,Maharashtra,Palghar,9343,4773,180,0,49823.0
2020-07-12,Maharashtra,Palghar,9744,4817,188,0,53015.0
2020-07-13,Maharashtra,Palghar,10078,4967,194,0,54301.0
2020-07-14,Maharashtra,Palghar,10226,5233,202,0,54301.0
2020-07-15,Maharashtra,Palghar,10462,5338,208,0,58029.0
