Date,State,District,Confirmed,Recovered,Deceased,Other,Tested
2020-04-26,Maharashtra,Solapur,47,0,5,0,
2020-04-27,Maharashtra,Solapur,65,0,5,0,
2020-04-28,Maharashtra,Solapur,82,0,5,0,
2020-04-29,Maharashtra,Solapur,85,0,6,0,
2020-04-30,Maharashtra,Solapur,99,0,6,0,
2020-05-01,Maharashtra,Solapur,108,0,6,0,
2020-05-02,Maharashtra,Solapur,115,0,6,0,
2020-05-03,Maharashtra,Solapur,116,0,6,0,
2020-05-04,Maharashtra,Solapur,129,22,7,0,
2020-05-05,Maharashtra,Solapur,130,22,7,0,
2020-05-06,Maharashtra,Solapur,175,22,8,0,
2020-05-07,Maharashtra,Solapur,183,22,10,0,
2020-05-08,Maharashtra,Solapur,185,28,10,0,
2020-05-09,Maharashtra,Solapur,190,28,10,0,
2020-05-10,Maharashtra,Solapur,250,29,11,0,
2020-05-11,Maharashtra,Solapur,296,29,16,0,
2020-05-12,Maharashtra,Solapur,317,47,19,0,
2020-05-13,Maharashtra,Solapur,320,47,21,0,
2020-05-14,Maharashtra,Solapur,344,102,21,0,
2020-05-15,Maharashtra,Solapur,365,102,21,0,
2020-05-16,Maharashtra,Solapur,371,109,22,0,
2020-05-17,Maharashtra,Solapur,373,122,25,0,
2020-05-18,Maharashtra,Solapur,429,145,25,0,
2020-05-19,Maharashtra,Solapur,439,156,25,0,
2020-05-20,Maharashtra,Solapur,505,156,27,0,4738.0
2020-05-21,Maharashtra,Solapur,522,163,28,0,4893.0
2020-05-22,Maharashtra,Solapur,532,204,33,0,5122.0
2020-05-23,Maharashtra,Solapur,567,210,35,0,5122.0
2020-05-24,Maharashtra,Solapur,601,228,41,0,5500.0
2020-05-25,Maharashtra,Solapur,623,230,42,0,5500.0
2020-05-26,Maharashtra,Solapur,646,269,49,0,5500.0
2020-05-27,Maharashtra,Solapur,679,287,52,0,5500.0
2020-05-28,Maharashtra,Solapur,711,303,59,0,5500.0
2020-05-29,Maharashtra,Solapur,769,314,62,0,5500.0
2020-05-30,Maharashtra,Solapur,872,353,68,0,5500.0
2020-05-31,Maharashtra,Solapur,897,371,70,0,5500.0
2020-06-01,Maharashtra,Solapur,933,423,70,0,5500.0
2020-06-02,Maharashtra,Solapur,934,443,75,0,5500.0
2020-06-03,Maharashtra,Solapur,1032,448,85,0,5500.0
2020-06-04,Maharashtra,Solapur,1125,457,92,0,5500.0
2020-06-05,Maharashtra,Solapur,1217,572,94,0,5500.0
2020-06-06,Maharashtra,Solapur,1261,620,96,0,5500.0
2020-06-07,Maharashtra,Solapur,1343,620,104,0,5500.0
2020-06-08,Maharashtra,Solapur,1419,620,110,0,5500.0
2020-06-09,Maharashtra,Solapur,1468,627,112,0,5500.0
2020-06-10,Maharashtra,Solapur,1483,654,112,0,5500.0
