Date,State,District,Confirmed,Recovered,Deceased,Other,Tested
2020-05-11,Maharashtra,Wardha,1,0,1,0,
2020-05-12,Maharashtra,Wardha,1,0,1,0,
2020-05-13,Maharashtra,Wardha,1,0,1,0,
2020-05-14,Maharashtra,Wardha,1,0,1,0,
2020-05-15,Maharashtra,Wardha,2,0,1,0,
2020-05-16,Maharashtra,Wardha,2,0,1,0,
2020-05-17,Maharashtra,Wardha,2,0,1,0,
2020-05-18,Maharashtra,Wardha,3,0,1,0,
2020-05-19,Maharashtra,Wardha,3,0,1,0,
2020-05-20,Maharashtra,Wardha,3,0,1,0,
2020-05-21,Maharashtra,Wardha,3,0,1,0,
2020-05-22,Maharashtra,Wardha,3,0,1,0,
2020-05-23,Maharashtra,Wardha,3,0,1,0,
2020-05-24,Maharashtra,Wardha,4,0,1,0,
2020-05-25,Maharashtra,Wardha,6,0,1,0,
2020-05-26,Maharashtra,Wardha,7,0,1,0,
2020-05-27,Maharashtra,Wardha,10,0,1,0,
2020-05-28,Maharashtra,Wardha,11,0,1,0,
2020-05-29,Maharashtra,Wardha,11,0,1,0,
2020-05-30,Maharashtra,Wardha,11,0,1,0,
2020-05-31,Maharashtra,Wardha,12,0,1,0,
2020-06-01,Maharashtra,Wardha,9,1,1,0,
2020-06-02,Maharashtra,Wardha,9,1,1,0,
2020-06-03,Maharashtra,Wardha,9,2,1,0,
2020-06-04,Maharashtra,Wardha,9,4,1,0,
2020-06-05,Maharashtra,Wardha,9,6,1,0,
2020-06-06,Maharashtra,Wardha,9,7,1,0,
2020-06-07,Maharashtra,Wardha,11,7,1,0,
2020-06-08,Maharashtra,Wardha,11,7,1,0,
2020-06-09,Maharashtra,Wardha,11,7,1,0,
2020-06-10,Maharashtra,Wardha,14,7,1,0,
2020-06-11,Maharashtra,Wardha,14,7,1,0,
2020-06-12,Maharashtra,Wardha,14,7,1,0,
2020-06-13,Maharashtra,Wardha,14,7,1,0,
2020-06-14,Maharashtra,Wardha,14,8,1,0,
2020-06-15,Maharashtra,Wardha,14,8,1,0,
2020-06-16,Maharashtra,Wardha,14,8,1,0,
2020-06-17,Maharashtra,Wardha,14,8,1,0,
2020-06-18,Maharashtra,Wardha,14,8,1,0,
2020-06-19,Maharashtra,Wardha,14,11,1,0,
2020-06-20,Maharashtra,Wardha,14,11,1,0,
2020-06-21,Maharashtra,Wardha,14,11,1,0,
2020-06-22,Maharashtra,Wardha,14,11,1,0,
2020-06-23,Maharashtra,Wardha,14,11,1,0,
2020-06-24,Maharashtra,Wardha,14,11,1,0,
2020-06-25,Maharashtra,Wardha,15,11,1,0,
2020-06-26,Maharashtra,Wardha,15,11,1,0,
2020-06-27,Maharashtra,Wardha,16,11,1,0,
2020-06-28,Maharashtra,Wardha,16,11,1,0,
2020-06-29,Maharashtra,Wardha,17,11,1,0,
2020-06-30,Maharashtra,Wardha,19,12,1,0,
2020-07-01,Maharashtra,Wardha,19,12,1,0,
2020-07-02,Maharashtra,Wardha,16,12,1,0,
2020-07-03,Maharashtra,Wardha,16,12,1,0,4587.0
2020-07-04,Maharashtra,Wardha,17,13,1,0,4630.0
2020-07-05,Maharashtra,Wardha,17,13,1,0,4773.0
2020-07-06,Maharashtra,Wardha,17,13,1,0,4823.0
2020-07-07,Maharashtra,Wardha,26,13,1,0,4882.0
2020-07-08,Maharashtra,Wardha,26,13,1,0,4973.0
2020-07-09,Maharashtra,Wardha,26,14,1,0,5030.0
2020-07-10,Maharashtra,Wardha,28,14,1,1,5147.0
2020-07-11,Maharashtra,Wardha,28,14,1,1,5252.0
2020-07-12,Maharashtra,Wardha,34,14,1,1,5394.0
2020-07-13,Maharashtra,Wardha,34,14,1,1,5541.0
2020-07-14,Maharashtra,Wardha,44,14,1,1,5705.0
2020-07-15,Maharashtra,Wardha,44,14,1,1,5849.0
2020-07-16,Maharashtra,Wardha,50,33,1,1,5949.0
2020-07-17,Maharashtra,Wardha,50,33,1,1,6113.0
2020-07-18,Maharashtra,Wardha,66,33,1,1,6253.0
2020-07-19,Maharashtra,Wardha,71,36,1,1,6387.0
2020-07-20,Maharashtra,Wardha,72,39,2,1,6420.0
2020-07-21,Maharashtra,Wardha,75,40,2,1,6579.0
2020-07-22,Maharashtra,Wardha,84,40,2,1,6723.0
2020-07-23,Maharashtra,Wardha,97,42,2,1,6906.0
2020-07-24,Maharashtra,Wardha,104,45,2,1,7070.0
2020-07-25,Maharashtra,Wardha,114,51,3,1,7239.0
2020-07-26,Maharashtra,Wardha,126,51,4,1,7385.0
2020-07-27,Maharashtra,Wardha,135,62,4,1,7532.0
2020-07-28,Maharashtra,Wardha,155,82,4,1,7532.0
2020-07-29,Maharashtra,Wardha,168,84,4,1,7789.0
2020-07-30,Maharashtra,Wardha,183,97,4,1,8162.0
2020-07-31,Maharashtra,Wardha,196,102,4,1,8364.0
2020-08-01,Maharashtra,Wardha,205,106,4,1,8513.0
2020-08-02,Maharashtra,Wardha,223,125,4,1,8725.0
2020-08-03,Maharashtra,Wardha,226,146,4,1,8821.0
2020-08-04,Maharashtra,Wardha,237,152,5,1,9029.0
2020-08-05,Maharashtra,Wardha,247,152,8,1,9244.0
2020-08-06,Maharashtra,Wardha,252,154,8,1,9424.0
2020-08-07,Maharashtra,Wardha,255,169,8,1,9762.0
2020-08-08,Maharashtra,Wardha,257,176,8,1,9788.0
2020-08-09,Maharashtra,Wardha,280,177,9,1,9956.0
2020-08-10,Maharashtra,Wardha,282,186,9,1,9956.0
2020-08-11,Maharashtra,Wardha,293,192,10,1,10161.0
2020-08-12,Maharashtra,Wardha,304,207,10,1,10392.0
2020-08-13,Maharashtra,Wardha,318,207,10,1,10472.0
2020-08-14,Maharashtra,Wardha,345,208,10,1,10696.0
2020-08-15,Maharashtra,Wardha,364,211,10,1,10696.0
2020-08-16,Maharashtra,Wardha,374,212,10,1,10963.0
2020-08-17,Maharashtra,Wardha,379,234,10,1,11596.0
2020-08-18,Maharashtra,Wardha,393,241,10,1,11723.0
2020-08-19,Maharashtra,Wardha,452,243,11,1,13194.0
2020-08-20,Maharashtra,Wardha,478,252,11,1,13402.0
2020-08-21,Maharashtra,Wardha,526,285,11,1,13667.0
2020-08-22,Maharashtra,Wardha,563,297,12,1,13988.0
2020-08-23,Maharashtra,Wardha,579,300,12,1,14155.0
2020-08-24,Maharashtra,Wardha,584,333,12,1,14367.0
2020-08-25,Maharashtra,Wardha,634,365,13,1,14578.0
2020-08-26,Maharashtra,Wardha,686,366,13,1,14787.0
2020-08-27,Maharashtra,Wardha,727,376,16,1,14934.0
2020-08-28,Maharashtra,Wardha,763,459,16,1,15039.0
2020-08-29,Maharashtra,Wardha,819,460,17,1,15448.0
2020-08-30,Maharashtra,Wardha,885,469,17,1,15726.0
2020-08-31,Maharashtra,Wardha,890,484,17,1,16234.0
2020-09-01,Maharashtra,Wardha,1026,484,18,1,16234.0
2020-09-02,Maharashtra,Wardha,1090,523,18,1,17470.0
2020-09-03,Maharashtra,Wardha,1200,556,18,1,18376.0
2020-09-04,Maharashtra,Wardha,1317,626,18,1,19692.0
2020-09-05,Maharashtra,Wardha,1430,755,22,1,21016.0
2020-09-06,Maharashtra,Wardha,1512,855,23,1,21972.0
2020-09-07,Maharashtra,Wardha,1568,857,23,1,22637.0
2020-09-08,Maharashtra,Wardha,1823,908,23,1,23386.0
2020-09-09,Maharashtra,Wardha,1943,921,23,1,24184.0
2020-09-10,Maharashtra,Wardha,2019,940,23,1,24833.0
2020-09-11,Maharashtra,Wardha,2064,967,24,1,25385.0
2020-09-12,Maharashtra,Wardha,2151,967,24,1,25999.0
2020-09-13,Maharashtra,Wardha,2232,1361,25,1,23899.0
2020-09-14,Maharashtra,Wardha,2277,1491,26,1,27292.0
2020-09-15,Maharashtra,Wardha,2355,1593,26,1,27922.0
2020-09-16,Maharashtra,Wardha,2423,1639,27,1,28628.0
2020-09-17,Maharashtra,Wardha,2524,1642,28,1,28628.0
2020-09-18,Maharashtra,Wardha,2653,1672,28,1,29781.0
2020-09-19,Maharashtra,Wardha,2750,1754,31,1,30307.0
2020-09-20,Maharashtra,Wardha,2888,1914,32,1,30746.0
2020-09-21,Maharashtra,Wardha,3002,2005,36,1,30746.0
2020-09-22,Maharashtra,Wardha,3163,2007,36,1,31716.0
2020-09-23,Maharashtra,Wardha,3298,2007,43,1,32145.0
2020-09-24,Maharashtra,Wardha,3483,2052,50,1,32691.0
2020-09-25,Maharashtra,Wardha,3561,2158,54,1,33225.0
2020-09-26,Maharashtra,Wardha,3825,2260,59,1,33773.0
2020-09-27,Maharashtra,Wardha,4023,2384,60,1,34293.0
2020-09-28,Maharashtra,Wardha,4090,2567,60,1,34629.0
2020-09-29,Maharashtra,Wardha,4149,2604,69,1,35281.0
2020-09-30,Maharashtra,Wardha,4276,2792,69,1,35902.0
2020-10-01,Maharashtra,Wardha,4479,2805,74,1,36497.0
2020-10-02,Maharashtra,Wardha,4628,2953,77,1,36990.0
2020-10-03,Maharashtra,Wardha,4739,3035,81,1,37404.0
2020-10-04,Maharashtra,Wardha,4871,3091,81,1,37877.0
2020-10-05,Maharashtra,Wardha,4938,3178,81,1,37877.0
2020-10-06,Maharashtra,Wardha,5155,3293,89,1,38813.0
2020-10-07,Maharashtra,Wardha,5236,3465,94,1,39250.0
2020-10-08,Maharashtra,Wardha,5334,3651,114,1,39703.0
2020-10-09,Maharashtra,Wardha,5376,3693,128,1,40297.0
2020-10-10,Maharashtra,Wardha,5455,3754,129,1,40698.0
2020-10-11,Maharashtra,Wardha,5547,3786,129,1,41046.0
2020-10-12,Maharashtra,Wardha,5566,3808,129,1,41392.0
2020-10-13,Maharashtra,Wardha,5604,4033,131,1,41798.0
2020-10-14,Maharashtra,Wardha,5686,4258,131,1,42239.0
2020-10-15,Maharashtra,Wardha,5769,4619,135,1,42239.0
2020-10-16,Maharashtra,Wardha,5853,4670,145,1,43140.0
2020-10-17,Maharashtra,Wardha,5971,4848,160,1,43601.0
2020-10-18,Maharashtra,Wardha,6027,5061,163,1,43987.0
2020-10-19,Maharashtra,Wardha,6064,5101,170,1,44269.0
2020-10-20,Maharashtra,Wardha,6099,5124,172,1,44887.0
2020-10-21,Maharashtra,Wardha,6175,5221,174,1,45508.0
2020-10-22,Maharashtra,Wardha,6229,5339,176,1,46122.0
2020-10-23,Maharashtra,Wardha,6298,5496,192,1,46923.0
2020-10-24,Maharashtra,Wardha,6358,5539,195,1,47902.0
2020-10-25,Maharashtra,Wardha,6406,5633,195,1,47902.0
2020-10-26,Maharashtra,Wardha,6420,5658,196,1,47902.0
2020-10-27,Maharashtra,Wardha,6459,5676,199,1,49414.0
2020-10-28,Maharashtra,Wardha,6514,5725,202,1,49414.0
2020-10-29,Maharashtra,Wardha,6514,5725,202,1,49414.0
