Date,State,District,Confirmed,Recovered,Deceased,Other,Tested
2020-04-26,Maharashtra,Washim,1,1,0,0,
2020-04-27,Maharashtra,Washim,1,1,0,0,
2020-04-28,Maharashtra,Washim,1,1,0,0,
2020-04-29,Maharashtra,Washim,2,1,0,0,
2020-04-30,Maharashtra,Washim,2,1,0,0,
2020-05-01,Maharashtra,Washim,2,1,0,0,
2020-05-02,Maharashtra,Washim,2,1,0,0,
2020-05-03,Maharashtra,Washim,2,1,0,0,
2020-05-04,Maharashtra,Washim,1,1,0,0,
2020-05-05,Maharashtra,Washim,1,1,0,0,
2020-05-06,Maharashtra,Washim,1,1,0,0,
2020-05-07,Maharashtra,Washim,1,2,0,0,
2020-05-08,Maharashtra,Washim,1,1,0,0,
2020-05-09,Maharashtra,Washim,1,1,0,0,
2020-05-10,Maharashtra,Washim,1,3,0,0,
2020-05-11,Maharashtra,Washim,1,3,0,0,
2020-05-12,Maharashtra,Washim,2,1,0,0,
2020-05-13,Maharashtra,Washim,3,1,0,0,
2020-05-14,Maharashtra,Washim,3,1,0,0,
2020-05-15,Maharashtra,Washim,3,1,0,0,
2020-05-16,Maharashtra,Washim,3,1,0,0,
2020-05-17,Maharashtra,Washim,3,1,0,0,
2020-05-18,Maharashtra,Washim,3,1,0,0,
2020-05-19,Maharashtra,Washim,3,1,0,0,
2020-05-20,Maharashtra,Washim,8,1,0,0,
2020-05-21,Maharashtra,Washim,8,1,0,0,
2020-05-22,Maharashtra,Washim,8,1,0,0,
2020-05-23,Maharashtra,Washim,8,1,0,0,
2020-05-24,Maharashtra,Washim,8,1,0,0,
2020-05-25,Maharashtra,Washim,8,1,0,0,
2020-05-26,Maharashtra,Washim,8,1,0,0,
2020-05-27,Maharashtra,Washim,8,5,0,0,
2020-05-28,Maharashtra,Washim,8,5,0,0,
2020-05-29,Maharashtra,Washim,8,6,0,0,
2020-05-30,Maharashtra,Washim,8,6,0,0,
2020-05-31,Maharashtra,Washim,8,6,0,0,
