Date,State,District,Confirmed,Recovered,Deceased,Other,Tested
2020-04-26,Maharashtra,Yavatmal,48,10,0,0,
2020-04-27,Maharashtra,Yavatmal,62,10,0,0,
2020-04-28,Maharashtra,Yavatmal,71,10,0,0,
2020-04-29,Maharashtra,Yavatmal,79,10,0,0,
2020-04-30,Maharashtra,Yavatmal,79,10,0,0,
2020-05-01,Maharashtra,Yavatmal,79,10,0,0,
2020-05-02,Maharashtra,Yavatmal,79,10,0,0,
2020-05-03,Maharashtra,Yavatmal,79,10,0,0,
2020-05-04,Maharashtra,Yavatmal,91,10,0,0,
2020-05-05,Maharashtra,Yavatmal,92,19,0,0,
2020-05-06,Maharashtra,Yavatmal,92,19,0,0,
2020-05-07,Maharashtra,Yavatmal,93,19,0,0,
2020-05-08,Maharashtra,Yavatmal,95,19,0,0,
2020-05-09,Maharashtra,Yavatmal,95,19,0,0,
2020-05-10,Maharashtra,Yavatmal,96,40,0,0,
2020-05-11,Maharashtra,Yavatmal,97,40,0,0,
2020-05-12,Maharashtra,Yavatmal,98,49,0,0,
2020-05-13,Maharashtra,Yavatmal,99,50,0,0,
2020-05-14,Maharashtra,Yavatmal,99,50,0,0,
2020-05-15,Maharashtra,Yavatmal,99,50,0,0,
2020-05-16,Maharashtra,Yavatmal,99,50,0,0,
2020-05-17,Maharashtra,Yavatmal,99,87,0,0,
2020-05-18,Maharashtra,Yavatmal,100,88,0,0,
2020-05-19,Maharashtra,Yavatmal,101,89,0,0,
2020-05-20,Maharashtra,Yavatmal,102,89,0,0,
2020-05-21,Maharashtra,Yavatmal,111,91,0,0,
2020-05-22,Maharashtra,Yavatmal,113,91,0,0,
2020-05-23,Maharashtra,Yavatmal,113,91,0,0,
2020-05-24,Maharashtra,Yavatmal,115,91,0,0,
2020-05-25,Maharashtra,Yavatmal,115,91,0,0,
2020-05-26,Maharashtra,Yavatmal,115,91,0,0,
2020-05-27,Maharashtra,Yavatmal,115,92,0,0,
2020-05-28,Maharashtra,Yavatmal,116,92,0,0,
2020-05-29,Maharashtra,Yavatmal,128,92,0,0,
2020-05-30,Maharashtra,Yavatmal,130,92,0,0,
2020-05-31,Maharashtra,Yavatmal,130,99,1,0,
2020-06-01,Maharashtra,Yavatmal,130,99,1,0,
2020-06-02,Maharashtra,Yavatmal,131,99,1,0,
2020-06-03,Maharashtra,Yavatmal,148,99,1,0,
2020-06-04,Maharashtra,Yavatmal,155,99,2,0,
2020-06-05,Maharashtra,Yavatmal,160,104,2,0,
2020-06-06,Maharashtra,Yavatmal,160,104,2,0,
2020-06-07,Maharashtra,Yavatmal,160,115,2,0,
2020-06-08,Maharashtra,Yavatmal,163,115,2,0,
2020-06-09,Maharashtra,Yavatmal,164,116,2,0,
2020-06-10,Maharashtra,Yavatmal,168,117,2,0,
2020-06-11,Maharashtra,Yavatmal,170,117,2,0,
2020-06-12,Maharashtra,Yavatmal,171,117,2,0,
2020-06-13,Maharashtra,Yavatmal,176,134,3,0,
2020-06-14,Maharashtra,Yavatmal,181,136,3,0,
2020-06-15,Maharashtra,Yavatmal,190,137,3,0,
2020-06-16,Maharashtra,Yavatmal,190,139,4,0,
2020-06-17,Maharashtra,Yavatmal,205,139,5,0,
2020-06-18,Maharashtra,Yavatmal,210,142,5,0,
2020-06-19,Maharashtra,Yavatmal,222,156,5,0,
2020-06-20,Maharashtra,Yavatmal,230,156,7,0,
2020-06-21,Maharashtra,Yavatmal,233,161,7,0,
2020-06-22,Maharashtra,Yavatmal,238,161,7,0,
2020-06-23,Maharashtra,Yavatmal,251,161,8,0,
2020-06-24,Maharashtra,Yavatmal,255,161,8,0,
2020-06-25,Maharashtra,Yavatmal,279,173,9,0,
2020-06-26,Maharashtra,Yavatmal,280,181,9,0,
2020-06-27,Maharashtra,Yavatmal,279,186,9,0,
2020-06-28,Maharashtra,Yavatmal,283,186,10,0,
2020-06-29,Maharashtra,Yavatmal,283,203,10,0,
2020-06-30,Maharashtra,Yavatmal,285,203,10,0,
2020-07-01,Maharashtra,Yavatmal,296,209,10,0,
2020-07-02,Maharashtra,Yavatmal,309,221,10,0,
2020-07-03,Maharashtra,Yavatmal,318,221,10,0,5137.0
2020-07-04,Maharashtra,Yavatmal,329,227,11,0,5137.0
2020-07-05,Maharashtra,Yavatmal,338,235,11,0,5339.0
2020-07-06,Maharashtra,Yavatmal,341,238,11,0,5427.0
2020-07-07,Maharashtra,Yavatmal,356,241,13,0,5795.0
2020-07-08,Maharashtra,Yavatmal,367,253,14,0,5927.0
2020-07-09,Maharashtra,Yavatmal,377,260,14,0,6275.0
2020-07-10,Maharashtra,Yavatmal,402,266,14,0,6471.0
2020-07-11,Maharashtra,Yavatmal,414,280,14,0,6928.0
2020-07-12,Maharashtra,Yavatmal,424,280,14,0,7004.0
2020-07-13,Maharashtra,Yavatmal,448,291,14,0,7124.0
2020-07-14,Maharashtra,Yavatmal,469,298,14,0,7199.0
2020-07-15,Maharashtra,Yavatmal,476,315,14,0,7304.0
2020-07-16,Maharashtra,Yavatmal,484,322,16,0,7467.0
2020-07-17,Maharashtra,Yavatmal,492,327,16,0,8624.0
2020-07-18,Maharashtra,Yavatmal,508,349,16,0,9192.0
2020-07-19,Maharashtra,Yavatmal,544,363,17,0,9115.0
2020-07-20,Maharashtra,Yavatmal,556,378,17,0,9728.0
2020-07-21,Maharashtra,Yavatmal,553,393,20,0,10103.0
2020-07-22,Maharashtra,Yavatmal,611,412,20,0,10554.0
2020-07-23,Maharashtra,Yavatmal,657,426,22,0,10978.0
2020-07-24,Maharashtra,Yavatmal,691,431,23,0,11557.0
2020-07-25,Maharashtra,Yavatmal,712,436,23,0,12241.0
2020-07-26,Maharashtra,Yavatmal,721,436,26,0,12685.0
2020-07-27,Maharashtra,Yavatmal,786,451,26,0,13407.0
2020-07-28,Maharashtra,Yavatmal,804,451,27,0,14251.0
2020-07-29,Maharashtra,Yavatmal,827,460,27,0,15196.0
2020-07-30,Maharashtra,Yavatmal,855,469,27,0,16113.0
2020-07-31,Maharashtra,Yavatmal,943,508,27,0,17123.0
2020-08-01,Maharashtra,Yavatmal,1044,515,27,0,18006.0
2020-08-02,Maharashtra,Yavatmal,1107,523,28,0,19008.0
2020-08-03,Maharashtra,Yavatmal,1110,583,30,0,19008.0
2020-08-04,Maharashtra,Yavatmal,1162,679,30,0,20781.0
2020-08-05,Maharashtra,Yavatmal,1208,704,30,0,20781.0
2020-08-06,Maharashtra,Yavatmal,1252,746,32,0,19050.0
