Date,State,District,Confirmed,Recovered,Deceased,Other,Tested
2020-07-16,Meghalaya,East Garo Hills,1,0,0,0,
2020-07-17,Meghalaya,East Garo Hills,1,0,0,0,
2020-07-18,Meghalaya,East Garo Hills,1,0,0,0,
2020-07-19,Meghalaya,East Garo Hills,1,0,0,0,
2020-07-20,Meghalaya,East Garo Hills,1,0,0,0,
2020-07-21,Meghalaya,East Garo Hills,1,0,0,0,
2020-07-22,Meghalaya,East Garo Hills,1,0,0,0,
2020-07-23,Meghalaya,East Garo Hills,1,0,0,0,
2020-07-24,Meghalaya,East Garo Hills,1,0,0,0,
2020-07-25,Meghalaya,East Garo Hills,1,0,0,0,
2020-07-26,Meghalaya,East Garo Hills,1,0,0,0,
2020-07-27,Meghalaya,East Garo Hills,1,0,0,0,
2020-07-28,Meghalaya,East Garo Hills,1,0,0,0,
2020-07-29,Meghalaya,East Garo Hills,1,1,0,0,
2020-07-30,Meghalaya,East Garo Hills,1,1,0,0,
2020-07-31,Meghalaya,East Garo Hills,1,1,0,0,
2020-08-01,Meghalaya,East Garo Hills,1,1,0,0,
2020-08-02,Meghalaya,East Garo Hills,1,1,0,0,
2020-08-03,Meghalaya,East Garo Hills,1,1,0,0,
2020-08-04,Meghalaya,East Garo Hills,1,1,0,0,
2020-08-05,Meghalaya,East Garo Hills,1,1,0,0,
2020-08-06,Meghalaya,East Garo Hills,1,1,0,0,
2020-08-07,Meghalaya,East Garo Hills,1,1,0,0,
2020-08-08,Meghalaya,East Garo Hills,1,1,0,0,
2020-08-09,Meghalaya,East Garo Hills,1,1,0,0,
2020-08-10,Meghalaya,East Garo Hills,1,1,0,0,
2020-08-11,Meghalaya,East Garo Hills,1,1,0,0,
2020-08-12,Meghalaya,East Garo Hills,1,1,0,0,
2020-08-13,Meghalaya,East Garo Hills,1,1,0,0,
2020-08-14,Meghalaya,East Garo Hills,1,1,0,0,
2020-08-15,Meghalaya,East Garo Hills,1,1,0,0,
2020-08-16,Meghalaya,East Garo Hills,1,1,0,0,
2020-08-17,Meghalaya,East Garo Hills,1,1,0,0,
2020-08-18,Meghalaya,East Garo Hills,1,1,0,0,
2020-08-19,Meghalaya,East Garo Hills,1,1,0,0,
2020-08-20,Meghalaya,East Garo Hills,2,1,0,0,
2020-08-21,Meghalaya,East Garo Hills,4,1,0,0,
2020-08-22,Meghalaya,East Garo Hills,4,1,0,0,
2020-08-23,Meghalaya,East Garo Hills,4,1,0,0,
2020-08-24,Meghalaya,East Garo Hills,4,1,0,0,
2020-08-25,Meghalaya,East Garo Hills,4,1,0,0,
2020-08-26,Meghalaya,East Garo Hills,13,1,0,0,
2020-08-27,Meghalaya,East Garo Hills,40,1,0,0,
2020-08-28,Meghalaya,East Garo Hills,72,1,0,0,
2020-08-29,Meghalaya,East Garo Hills,72,1,0,0,
2020-08-30,Meghalaya,East Garo Hills,81,1,0,0,
2020-08-31,Meghalaya,East Garo Hills,81,1,0,0,
2020-09-01,Meghalaya,East Garo Hills,85,4,0,0,
2020-09-02,Meghalaya,East Garo Hills,87,4,0,0,
2020-09-03,Meghalaya,East Garo Hills,87,4,0,0,
2020-09-04,Meghalaya,East Garo Hills,87,4,0,0,
2020-09-05,Meghalaya,East Garo Hills,102,5,0,0,
2020-09-06,Meghalaya,East Garo Hills,102,5,0,0,
2020-09-07,Meghalaya,East Garo Hills,103,5,0,0,
2020-09-08,Meghalaya,East Garo Hills,103,78,0,0,
2020-09-09,Meghalaya,East Garo Hills,103,80,0,0,
2020-09-10,Meghalaya,East Garo Hills,103,80,0,0,
2020-09-11,Meghalaya,East Garo Hills,103,87,0,0,
2020-09-12,Meghalaya,East Garo Hills,104,87,0,0,
2020-09-13,Meghalaya,East Garo Hills,104,87,0,0,
2020-09-14,Meghalaya,East Garo Hills,104,87,0,0,
2020-09-15,Meghalaya,East Garo Hills,104,87,0,0,
2020-09-16,Meghalaya,East Garo Hills,105,102,0,0,
2020-09-17,Meghalaya,East Garo Hills,107,102,0,0,
2020-09-18,Meghalaya,East Garo Hills,107,102,0,0,
2020-09-19,Meghalaya,East Garo Hills,107,102,0,0,
2020-09-20,Meghalaya,East Garo Hills,107,102,0,0,
2020-09-21,Meghalaya,East Garo Hills,107,102,0,0,
2020-09-22,Meghalaya,East Garo Hills,109,103,0,0,
