Date,State,District,Confirmed,Recovered,Deceased,Other,Tested
2020-06-30,Meghalaya,East Jaintia Hills,1,0,0,0,
2020-07-01,Meghalaya,East Jaintia Hills,1,0,0,0,
2020-07-02,Meghalaya,East Jaintia Hills,1,0,0,0,
2020-07-03,Meghalaya,East Jaintia Hills,1,0,0,0,
2020-07-04,Meghalaya,East Jaintia Hills,1,0,0,0,
2020-07-05,Meghalaya,East Jaintia Hills,1,0,0,0,
2020-07-06,Meghalaya,East Jaintia Hills,1,0,0,0,
2020-07-07,Meghalaya,East Jaintia Hills,1,0,0,0,
2020-07-08,Meghalaya,East Jaintia Hills,1,0,0,0,
2020-07-09,Meghalaya,East Jaintia Hills,1,0,0,0,
2020-07-10,Meghalaya,East Jaintia Hills,1,0,0,0,
2020-07-11,Meghalaya,East Jaintia Hills,1,0,0,0,
2020-07-12,Meghalaya,East Jaintia Hills,1,0,0,0,
2020-07-13,Meghalaya,East Jaintia Hills,1,0,0,0,
2020-07-14,Meghalaya,East Jaintia Hills,1,0,0,0,
2020-07-15,Meghalaya,East Jaintia Hills,1,0,0,0,
2020-07-16,Meghalaya,East Jaintia Hills,2,0,0,0,
2020-07-17,Meghalaya,East Jaintia Hills,2,0,0,0,
2020-07-18,Meghalaya,East Jaintia Hills,2,0,0,0,
2020-07-19,Meghalaya,East Jaintia Hills,2,0,0,0,
2020-07-20,Meghalaya,East Jaintia Hills,2,0,0,0,
2020-07-21,Meghalaya,East Jaintia Hills,2,0,0,0,
2020-07-22,Meghalaya,East Jaintia Hills,4,1,0,0,
2020-07-23,Meghalaya,East Jaintia Hills,4,1,0,0,
2020-07-24,Meghalaya,East Jaintia Hills,6,2,0,0,
2020-07-25,Meghalaya,East Jaintia Hills,10,2,0,0,
2020-07-26,Meghalaya,East Jaintia Hills,15,2,0,0,
2020-07-27,Meghalaya,East Jaintia Hills,17,2,0,0,
2020-07-28,Meghalaya,East Jaintia Hills,17,2,0,0,
2020-07-29,Meghalaya,East Jaintia Hills,17,2,0,0,
2020-07-30,Meghalaya,East Jaintia Hills,17,2,0,0,
2020-07-31,Meghalaya,East Jaintia Hills,17,2,0,0,
2020-08-01,Meghalaya,East Jaintia Hills,18,2,0,0,
2020-08-02,Meghalaya,East Jaintia Hills,19,2,0,0,
2020-08-03,Meghalaya,East Jaintia Hills,19,2,0,0,
2020-08-04,Meghalaya,East Jaintia Hills,19,2,0,0,
2020-08-05,Meghalaya,East Jaintia Hills,19,2,0,0,
2020-08-06,Meghalaya,East Jaintia Hills,19,2,0,0,
2020-08-07,Meghalaya,East Jaintia Hills,20,2,0,0,
2020-08-08,Meghalaya,East Jaintia Hills,20,2,0,0,
2020-08-09,Meghalaya,East Jaintia Hills,20,14,0,0,
2020-08-10,Meghalaya,East Jaintia Hills,20,14,0,0,
2020-08-11,Meghalaya,East Jaintia Hills,20,14,0,0,
2020-08-12,Meghalaya,East Jaintia Hills,21,15,0,0,
2020-08-13,Meghalaya,East Jaintia Hills,21,15,0,0,
2020-08-14,Meghalaya,East Jaintia Hills,21,16,0,0,
2020-08-15,Meghalaya,East Jaintia Hills,21,16,0,0,
2020-08-16,Meghalaya,East Jaintia Hills,21,16,0,0,
2020-08-17,Meghalaya,East Jaintia Hills,22,17,0,0,
2020-08-18,Meghalaya,East Jaintia Hills,23,17,0,0,
2020-08-19,Meghalaya,East Jaintia Hills,25,17,0,0,
2020-08-20,Meghalaya,East Jaintia Hills,25,17,0,0,
2020-08-21,Meghalaya,East Jaintia Hills,25,17,0,0,
