Date,State,District,Confirmed,Recovered,Deceased,Other,Tested
2020-04-26,Meghalaya,East Khasi Hills,12,0,1,0,
2020-04-27,Meghalaya,East Khasi Hills,12,0,1,0,
2020-04-28,Meghalaya,East Khasi Hills,12,0,1,0,
2020-04-29,Meghalaya,East Khasi Hills,12,0,1,0,
2020-04-30,Meghalaya,East Khasi Hills,12,0,1,0,
2020-05-01,Meghalaya,East Khasi Hills,12,10,1,0,
2020-05-02,Meghalaya,East Khasi Hills,12,10,1,0,
2020-05-03,Meghalaya,East Khasi Hills,12,10,1,0,
2020-05-04,Meghalaya,East Khasi Hills,12,10,1,0,
2020-05-05,Meghalaya,East Khasi Hills,12,10,1,0,
2020-05-06,Meghalaya,East Khasi Hills,12,10,1,0,
2020-05-07,Meghalaya,East Khasi Hills,12,10,1,0,
2020-05-08,Meghalaya,East Khasi Hills,12,10,1,0,
2020-05-09,Meghalaya,East Khasi Hills,13,10,1,0,
2020-05-10,Meghalaya,East Khasi Hills,13,10,1,0,
2020-05-11,Meghalaya,East Khasi Hills,13,10,1,0,
2020-05-12,Meghalaya,East Khasi Hills,13,10,1,0,
2020-05-13,Meghalaya,East Khasi Hills,13,11,1,0,
2020-05-14,Meghalaya,East Khasi Hills,13,11,1,0,
2020-05-15,Meghalaya,East Khasi Hills,13,11,1,0,
2020-05-16,Meghalaya,East Khasi Hills,13,11,1,0,
2020-05-17,Meghalaya,East Khasi Hills,13,11,1,0,
2020-05-18,Meghalaya,East Khasi Hills,13,12,1,0,
2020-05-19,Meghalaya,East Khasi Hills,13,12,1,0,
2020-05-20,Meghalaya,East Khasi Hills,13,12,1,0,
2020-05-21,Meghalaya,East Khasi Hills,13,12,1,0,
2020-05-22,Meghalaya,East Khasi Hills,13,12,1,0,
2020-05-23,Meghalaya,East Khasi Hills,13,12,1,0,
2020-05-24,Meghalaya,East Khasi Hills,13,12,1,0,
2020-05-25,Meghalaya,East Khasi Hills,13,12,1,0,
2020-05-26,Meghalaya,East Khasi Hills,18,12,1,0,
2020-05-27,Meghalaya,East Khasi Hills,18,12,1,0,
2020-05-28,Meghalaya,East Khasi Hills,18,12,1,0,
2020-05-29,Meghalaya,East Khasi Hills,19,12,1,0,
2020-05-30,Meghalaya,East Khasi Hills,19,12,1,0,
2020-05-31,Meghalaya,East Khasi Hills,19,12,1,0,
2020-06-01,Meghalaya,East Khasi Hills,19,12,1,0,
2020-06-02,Meghalaya,East Khasi Hills,19,12,1,0,
2020-06-03,Meghalaya,East Khasi Hills,21,13,1,0,
2020-06-04,Meghalaya,East Khasi Hills,21,13,1,0,
2020-06-05,Meghalaya,East Khasi Hills,21,13,1,0,
2020-06-06,Meghalaya,East Khasi Hills,21,13,1,0,
2020-06-07,Meghalaya,East Khasi Hills,24,13,1,0,
2020-06-08,Meghalaya,East Khasi Hills,24,13,1,0,
2020-06-09,Meghalaya,East Khasi Hills,24,13,1,0,
2020-06-10,Meghalaya,East Khasi Hills,25,13,1,0,
2020-06-11,Meghalaya,East Khasi Hills,25,13,1,0,
2020-06-12,Meghalaya,East Khasi Hills,25,15,1,0,
2020-06-13,Meghalaya,East Khasi Hills,25,15,1,0,
2020-06-14,Meghalaya,East Khasi Hills,25,15,1,0,
2020-06-15,Meghalaya,East Khasi Hills,25,15,1,0,
2020-06-16,Meghalaya,East Khasi Hills,25,15,1,0,
2020-06-17,Meghalaya,East Khasi Hills,25,17,1,0,
2020-06-18,Meghalaya,East Khasi Hills,25,17,1,0,
2020-06-19,Meghalaya,East Khasi Hills,25,17,1,0,
2020-06-20,Meghalaya,East Khasi Hills,25,17,1,0,
2020-06-21,Meghalaya,East Khasi Hills,25,17,1,0,
2020-06-22,Meghalaya,East Khasi Hills,25,17,1,0,
2020-06-23,Meghalaya,East Khasi Hills,25,17,1,0,
2020-06-24,Meghalaya,East Khasi Hills,25,17,1,0,
2020-06-25,Meghalaya,East Khasi Hills,25,17,1,0,
2020-06-26,Meghalaya,East Khasi Hills,26,17,1,0,
2020-06-27,Meghalaya,East Khasi Hills,26,17,1,0,
2020-06-28,Meghalaya,East Khasi Hills,28,17,1,0,
2020-06-29,Meghalaya,East Khasi Hills,29,17,1,0,
2020-06-30,Meghalaya,East Khasi Hills,29,17,1,0,
2020-07-01,Meghalaya,East Khasi Hills,31,17,1,0,
2020-07-02,Meghalaya,East Khasi Hills,31,17,1,0,
2020-07-03,Meghalaya,East Khasi Hills,33,17,1,0,
2020-07-04,Meghalaya,East Khasi Hills,36,17,1,0,
2020-07-05,Meghalaya,East Khasi Hills,37,17,1,0,
