Date,State,District,Confirmed,Recovered,Deceased,Other,Tested
2020-05-25,Meghalaya,North Garo Hills,1,0,0,0,
2020-05-26,Meghalaya,North Garo Hills,1,0,0,0,
2020-05-27,Meghalaya,North Garo Hills,1,0,0,0,
2020-05-28,Meghalaya,North Garo Hills,1,0,0,0,
2020-05-29,Meghalaya,North Garo Hills,1,0,0,0,
2020-05-30,Meghalaya,North Garo Hills,1,0,0,0,
2020-05-31,Meghalaya,North Garo Hills,1,0,0,0,
2020-06-01,Meghalaya,North Garo Hills,1,0,0,0,
2020-06-02,Meghalaya,North Garo Hills,1,0,0,0,
2020-06-03,Meghalaya,North Garo Hills,1,0,0,0,
2020-06-04,Meghalaya,North Garo Hills,1,0,0,0,
2020-06-05,Meghalaya,North Garo Hills,1,0,0,0,
2020-06-06,Meghalaya,North Garo Hills,1,0,0,0,
2020-06-07,Meghalaya,North Garo Hills,1,0,0,0,
2020-06-08,Meghalaya,North Garo Hills,1,0,0,0,
2020-06-09,Meghalaya,North Garo Hills,1,0,0,0,
2020-06-10,Meghalaya,North Garo Hills,1,0,0,0,
2020-06-11,Meghalaya,North Garo Hills,1,0,0,0,
2020-06-12,Meghalaya,North Garo Hills,1,1,0,0,
2020-06-13,Meghalaya,North Garo Hills,1,1,0,0,
2020-06-14,Meghalaya,North Garo Hills,1,1,0,0,
2020-06-15,Meghalaya,North Garo Hills,1,1,0,0,
2020-06-16,Meghalaya,North Garo Hills,1,1,0,0,
2020-06-17,Meghalaya,North Garo Hills,1,1,0,0,
2020-06-18,Meghalaya,North Garo Hills,1,1,0,0,
2020-06-19,Meghalaya,North Garo Hills,1,1,0,0,
2020-06-20,Meghalaya,North Garo Hills,1,1,0,0,
2020-06-21,Meghalaya,North Garo Hills,1,1,0,0,
2020-06-22,Meghalaya,North Garo Hills,1,1,0,0,
2020-06-23,Meghalaya,North Garo Hills,1,1,0,0,
2020-06-24,Meghalaya,North Garo Hills,1,1,0,0,
2020-06-25,Meghalaya,North Garo Hills,1,1,0,0,
