Date,State,District,Confirmed,Recovered,Deceased,Other,Tested
2020-07-16,Meghalaya,South Garo Hills,2,0,0,0,
2020-07-17,Meghalaya,South Garo Hills,2,0,0,0,
2020-07-18,Meghalaya,South Garo Hills,2,0,0,0,
2020-07-19,Meghalaya,South Garo Hills,2,0,0,0,
2020-07-20,Meghalaya,South Garo Hills,2,0,0,0,
2020-07-21,Meghalaya,South Garo Hills,2,0,0,0,
2020-07-22,Meghalaya,South Garo Hills,2,0,0,0,
2020-07-23,Meghalaya,South Garo Hills,2,0,0,0,
2020-07-24,Meghalaya,South Garo Hills,2,0,0,0,
2020-07-25,Meghalaya,South Garo Hills,2,0,0,0,
2020-07-26,Meghalaya,South Garo Hills,2,0,0,0,
2020-07-27,Meghalaya,South Garo Hills,3,1,0,0,
2020-07-28,Meghalaya,South Garo Hills,3,3,0,0,
2020-07-29,Meghalaya,South Garo Hills,3,3,0,0,
2020-07-30,Meghalaya,South Garo Hills,4,3,0,0,
2020-07-31,Meghalaya,South Garo Hills,5,3,0,0,
2020-08-01,Meghalaya,South Garo Hills,5,3,0,0,
2020-08-02,Meghalaya,South Garo Hills,5,3,0,0,
2020-08-03,Meghalaya,South Garo Hills,5,3,0,0,
2020-08-04,Meghalaya,South Garo Hills,5,3,0,0,
2020-08-05,Meghalaya,South Garo Hills,5,3,0,0,
2020-08-06,Meghalaya,South Garo Hills,5,3,0,0,
2020-08-07,Meghalaya,South Garo Hills,5,3,0,0,
2020-08-08,Meghalaya,South Garo Hills,5,3,0,0,
2020-08-09,Meghalaya,South Garo Hills,5,3,0,0,
2020-08-10,Meghalaya,South Garo Hills,5,3,0,0,
2020-08-11,Meghalaya,South Garo Hills,5,3,0,0,
2020-08-12,Meghalaya,South Garo Hills,6,3,0,0,
2020-08-13,Meghalaya,South Garo Hills,6,3,0,0,
2020-08-14,Meghalaya,South Garo Hills,6,3,0,0,
2020-08-15,Meghalaya,South Garo Hills,6,4,0,0,
2020-08-16,Meghalaya,South Garo Hills,6,4,0,0,
2020-08-17,Meghalaya,South Garo Hills,6,4,0,0,
2020-08-18,Meghalaya,South Garo Hills,6,4,0,0,
2020-08-19,Meghalaya,South Garo Hills,6,4,0,0,
2020-08-20,Meghalaya,South Garo Hills,6,4,0,0,
2020-08-21,Meghalaya,South Garo Hills,6,4,0,0,
2020-08-22,Meghalaya,South Garo Hills,6,4,0,0,
2020-08-23,Meghalaya,South Garo Hills,16,4,0,0,
2020-08-24,Meghalaya,South Garo Hills,16,4,0,0,
2020-08-25,Meghalaya,South Garo Hills,16,4,0,0,
2020-08-26,Meghalaya,South Garo Hills,16,4,0,0,
2020-08-27,Meghalaya,South Garo Hills,17,6,0,0,
2020-08-28,Meghalaya,South Garo Hills,17,6,0,0,
2020-08-29,Meghalaya,South Garo Hills,19,6,0,0,
2020-08-30,Meghalaya,South Garo Hills,20,6,0,0,
2020-08-31,Meghalaya,South Garo Hills,20,6,0,0,
2020-09-01,Meghalaya,South Garo Hills,22,6,0,0,
2020-09-02,Meghalaya,South Garo Hills,25,6,0,0,
2020-09-03,Meghalaya,South Garo Hills,27,6,0,0,
2020-09-04,Meghalaya,South Garo Hills,28,6,0,0,
2020-09-05,Meghalaya,South Garo Hills,28,6,0,0,
2020-09-06,Meghalaya,South Garo Hills,32,17,0,0,
2020-09-07,Meghalaya,South Garo Hills,33,17,0,0,
2020-09-08,Meghalaya,South Garo Hills,33,17,0,0,
2020-09-09,Meghalaya,South Garo Hills,37,17,0,0,
2020-09-10,Meghalaya,South Garo Hills,37,17,0,0,
2020-09-11,Meghalaya,South Garo Hills,37,17,0,0,
2020-09-12,Meghalaya,South Garo Hills,37,17,0,0,
2020-09-13,Meghalaya,South Garo Hills,37,17,0,0,
2020-09-14,Meghalaya,South Garo Hills,37,17,0,0,
2020-09-15,Meghalaya,South Garo Hills,38,18,0,0,
2020-09-16,Meghalaya,South Garo Hills,38,20,0,0,
2020-09-17,Meghalaya,South Garo Hills,38,20,0,0,
2020-09-18,Meghalaya,South Garo Hills,38,20,0,0,
2020-09-19,Meghalaya,South Garo Hills,38,30,0,0,
2020-09-20,Meghalaya,South Garo Hills,38,30,0,0,
2020-09-21,Meghalaya,South Garo Hills,38,30,0,0,
2020-09-22,Meghalaya,South Garo Hills,37,32,0,0,
2020-09-23,Meghalaya,South Garo Hills,37,33,0,0,
2020-09-24,Meghalaya,South Garo Hills,37,33,0,0,
2020-09-25,Meghalaya,South Garo Hills,37,35,0,0,
2020-09-26,Meghalaya,South Garo Hills,37,34,0,0,
2020-09-27,Meghalaya,South Garo Hills,38,37,0,0,
2020-09-28,Meghalaya,South Garo Hills,39,37,0,0,
2020-09-29,Meghalaya,South Garo Hills,39,37,0,0,
2020-09-30,Meghalaya,South Garo Hills,39,37,0,0,
2020-10-01,Meghalaya,South Garo Hills,40,37,0,0,
2020-10-02,Meghalaya,South Garo Hills,46,37,0,0,
2020-10-03,Meghalaya,South Garo Hills,46,37,0,0,
2020-10-04,Meghalaya,South Garo Hills,47,37,0,0,
2020-10-05,Meghalaya,South Garo Hills,47,37,0,0,
2020-10-06,Meghalaya,South Garo Hills,47,37,0,0,
2020-10-07,Meghalaya,South Garo Hills,50,37,0,0,
2020-10-08,Meghalaya,South Garo Hills,64,38,0,0,
2020-10-09,Meghalaya,South Garo Hills,69,38,0,0,
2020-10-10,Meghalaya,South Garo Hills,72,38,0,0,
2020-10-11,Meghalaya,South Garo Hills,73,38,0,0,
2020-10-12,Meghalaya,South Garo Hills,73,38,0,0,
2020-10-13,Meghalaya,South Garo Hills,75,38,0,0,
2020-10-14,Meghalaya,South Garo Hills,76,39,0,0,
2020-10-15,Meghalaya,South Garo Hills,80,39,0,0,
2020-10-16,Meghalaya,South Garo Hills,82,42,0,0,
2020-10-17,Meghalaya,South Garo Hills,82,42,0,0,
2020-10-18,Meghalaya,South Garo Hills,82,49,0,0,
2020-10-19,Meghalaya,South Garo Hills,82,49,0,0,
2020-10-20,Meghalaya,South Garo Hills,85,49,0,0,
2020-10-21,Meghalaya,South Garo Hills,87,49,0,0,
2020-10-22,Meghalaya,South Garo Hills,94,57,0,0,
2020-10-23,Meghalaya,South Garo Hills,95,64,0,0,
2020-10-24,Meghalaya,South Garo Hills,95,64,0,0,
2020-10-25,Meghalaya,South Garo Hills,96,69,0,0,
2020-10-26,Meghalaya,South Garo Hills,96,69,0,0,
2020-10-27,Meghalaya,South Garo Hills,101,72,0,0,
2020-10-28,Meghalaya,South Garo Hills,101,82,0,0,
2020-10-29,Meghalaya,South Garo Hills,101,82,0,0,
