Date,State,District,Confirmed,Recovered,Deceased,Other,Tested
2020-06-09,Meghalaya,Unknown,1,0,0,0,
2020-06-10,Meghalaya,Unknown,1,0,0,0,
2020-06-11,Meghalaya,Unknown,1,5,0,0,
2020-06-12,Meghalaya,Unknown,1,5,0,0,
2020-06-13,Meghalaya,Unknown,1,5,0,0,
2020-06-14,Meghalaya,Unknown,1,5,0,0,
2020-06-15,Meghalaya,Unknown,1,5,0,0,
2020-06-16,Meghalaya,Unknown,1,5,0,0,
2020-06-17,Meghalaya,Unknown,1,5,0,0,
2020-06-18,Meghalaya,Unknown,1,5,0,0,
2020-06-19,Meghalaya,Unknown,1,5,0,0,
2020-06-20,Meghalaya,Unknown,1,5,0,0,
2020-06-21,Meghalaya,Unknown,1,10,0,0,
2020-06-22,Meghalaya,Unknown,1,10,0,0,
2020-06-23,Meghalaya,Unknown,2,10,0,0,
2020-06-24,Meghalaya,Unknown,2,10,0,0,
2020-06-25,Meghalaya,Unknown,2,11,0,0,
2020-06-26,Meghalaya,Unknown,2,11,0,0,
2020-06-27,Meghalaya,Unknown,2,11,0,0,
2020-06-28,Meghalaya,Unknown,2,11,0,0,
2020-06-29,Meghalaya,Unknown,2,11,0,0,
2020-06-30,Meghalaya,Unknown,2,11,0,0,
2020-07-01,Meghalaya,Unknown,2,11,0,0,
2020-07-02,Meghalaya,Unknown,2,12,0,0,
2020-07-03,Meghalaya,Unknown,2,12,0,0,
2020-07-04,Meghalaya,Unknown,2,12,0,0,
2020-07-05,Meghalaya,Unknown,2,12,0,0,
2020-07-06,Meghalaya,Unknown,2,12,0,0,
2020-07-07,Meghalaya,Unknown,2,12,0,0,
2020-07-08,Meghalaya,Unknown,2,12,1,0,
2020-07-09,Meghalaya,Unknown,2,12,1,0,
2020-07-10,Meghalaya,Unknown,11,12,1,0,
2020-07-11,Meghalaya,Unknown,87,12,1,0,
2020-07-12,Meghalaya,Unknown,120,12,1,0,
2020-07-13,Meghalaya,Unknown,141,13,1,0,
2020-07-14,Meghalaya,Unknown,143,13,1,0,
2020-07-15,Meghalaya,Unknown,162,13,1,0,
2020-07-16,Meghalaya,Unknown,14,14,0,0,
2020-07-17,Meghalaya,Unknown,14,14,0,0,
2020-07-18,Meghalaya,Unknown,15,14,0,0,
2020-07-19,Meghalaya,Unknown,14,14,0,0,
2020-07-20,Meghalaya,Unknown,14,14,0,0,
2020-07-21,Meghalaya,Unknown,14,14,0,0,
2020-07-22,Meghalaya,Unknown,13,13,0,0,
2020-07-23,Meghalaya,Unknown,14,14,0,0,
2020-07-24,Meghalaya,Unknown,14,14,0,0,
2020-07-25,Meghalaya,Unknown,14,14,0,0,
2020-07-26,Meghalaya,Unknown,14,14,0,0,
2020-07-27,Meghalaya,Unknown,0,0,0,0,
2020-09-23,Meghalaya,Unknown,0,-1,2,0,
2020-09-24,Meghalaya,Unknown,0,-1,3,0,
2020-09-25,Meghalaya,Unknown,-5,-1,3,0,
2020-09-26,Meghalaya,Unknown,0,0,0,0,
