Date,State,District,Confirmed,Recovered,Deceased,Other,Tested
2020-05-20,Meghalaya,West Garo Hills,1,0,0,0,
2020-05-21,Meghalaya,West Garo Hills,1,0,0,0,
2020-05-22,Meghalaya,West Garo Hills,1,0,0,0,
2020-05-23,Meghalaya,West Garo Hills,1,0,0,0,
2020-05-24,Meghalaya,West Garo Hills,1,0,0,0,
2020-05-25,Meghalaya,West Garo Hills,1,0,0,0,
2020-05-26,Meghalaya,West Garo Hills,1,0,0,0,
2020-05-27,Meghalaya,West Garo Hills,1,0,0,0,
2020-05-28,Meghalaya,West Garo Hills,2,0,0,0,
2020-05-29,Meghalaya,West Garo Hills,3,0,0,0,
2020-05-30,Meghalaya,West Garo Hills,3,0,0,0,
2020-05-31,Meghalaya,West Garo Hills,3,0,0,0,
2020-06-01,Meghalaya,West Garo Hills,3,0,0,0,
2020-06-02,Meghalaya,West Garo Hills,5,0,0,0,
2020-06-03,Meghalaya,West Garo Hills,5,0,0,0,
2020-06-04,Meghalaya,West Garo Hills,5,0,0,0,
2020-06-05,Meghalaya,West Garo Hills,5,0,0,0,
2020-06-06,Meghalaya,West Garo Hills,5,0,0,0,
2020-06-07,Meghalaya,West Garo Hills,5,0,0,0,
2020-06-08,Meghalaya,West Garo Hills,5,0,0,0,
2020-06-09,Meghalaya,West Garo Hills,5,0,0,0,
2020-06-10,Meghalaya,West Garo Hills,5,0,0,0,
2020-06-11,Meghalaya,West Garo Hills,5,0,0,0,
2020-06-12,Meghalaya,West Garo Hills,5,1,0,0,
2020-06-13,Meghalaya,West Garo Hills,5,2,0,0,
2020-06-14,Meghalaya,West Garo Hills,5,2,0,0,
2020-06-15,Meghalaya,West Garo Hills,5,2,0,0,
2020-06-16,Meghalaya,West Garo Hills,5,4,0,0,
2020-06-17,Meghalaya,West Garo Hills,5,4,0,0,
2020-06-18,Meghalaya,West Garo Hills,5,4,0,0,
2020-06-19,Meghalaya,West Garo Hills,5,4,0,0,
2020-06-20,Meghalaya,West Garo Hills,5,4,0,0,
2020-06-21,Meghalaya,West Garo Hills,5,4,0,0,
2020-06-22,Meghalaya,West Garo Hills,5,4,0,0,
2020-06-23,Meghalaya,West Garo Hills,5,4,0,0,
2020-06-24,Meghalaya,West Garo Hills,5,4,0,0,
2020-06-25,Meghalaya,West Garo Hills,5,4,0,0,
2020-06-26,Meghalaya,West Garo Hills,5,4,0,0,
2020-06-27,Meghalaya,West Garo Hills,5,4,0,0,
2020-06-28,Meghalaya,West Garo Hills,5,4,0,0,
2020-06-29,Meghalaya,West Garo Hills,5,4,0,0,
2020-06-30,Meghalaya,West Garo Hills,6,4,0,0,
2020-07-01,Meghalaya,West Garo Hills,6,4,0,0,
2020-07-02,Meghalaya,West Garo Hills,6,4,0,0,
2020-07-03,Meghalaya,West Garo Hills,7,4,0,0,
2020-07-04,Meghalaya,West Garo Hills,7,4,0,0,
2020-07-05,Meghalaya,West Garo Hills,7,4,0,0,
2020-07-06,Meghalaya,West Garo Hills,8,4,0,0,
2020-07-07,Meghalaya,West Garo Hills,8,4,0,0,
2020-07-08,Meghalaya,West Garo Hills,8,4,0,0,
2020-07-09,Meghalaya,West Garo Hills,8,4,0,0,
2020-07-10,Meghalaya,West Garo Hills,8,4,0,0,
2020-07-11,Meghalaya,West Garo Hills,8,4,0,0,
2020-07-12,Meghalaya,West Garo Hills,8,4,0,0,
2020-07-13,Meghalaya,West Garo Hills,8,4,0,0,
2020-07-14,Meghalaya,West Garo Hills,8,4,0,0,
2020-07-15,Meghalaya,West Garo Hills,8,4,0,0,
2020-07-16,Meghalaya,West Garo Hills,12,4,0,0,
2020-07-17,Meghalaya,West Garo Hills,12,4,0,0,
2020-07-18,Meghalaya,West Garo Hills,15,4,0,0,
2020-07-19,Meghalaya,West Garo Hills,15,4,0,0,
2020-07-20,Meghalaya,West Garo Hills,18,4,0,0,
2020-07-21,Meghalaya,West Garo Hills,18,6,0,0,
2020-07-22,Meghalaya,West Garo Hills,18,6,0,0,
2020-07-23,Meghalaya,West Garo Hills,21,6,0,0,
2020-07-24,Meghalaya,West Garo Hills,21,6,0,0,
2020-07-25,Meghalaya,West Garo Hills,21,6,0,0,
2020-07-26,Meghalaya,West Garo Hills,21,6,0,0,
2020-07-27,Meghalaya,West Garo Hills,25,9,0,0,
2020-07-28,Meghalaya,West Garo Hills,26,15,0,0,
2020-07-29,Meghalaya,West Garo Hills,28,15,0,0,
2020-07-30,Meghalaya,West Garo Hills,30,15,0,0,
2020-07-31,Meghalaya,West Garo Hills,30,15,0,0,
2020-08-01,Meghalaya,West Garo Hills,31,15,0,0,
2020-08-02,Meghalaya,West Garo Hills,31,15,0,0,
2020-08-03,Meghalaya,West Garo Hills,31,15,0,0,
2020-08-04,Meghalaya,West Garo Hills,29,15,0,0,
2020-08-05,Meghalaya,West Garo Hills,30,15,0,0,
2020-08-06,Meghalaya,West Garo Hills,44,15,0,0,
2020-08-07,Meghalaya,West Garo Hills,45,17,0,0,
2020-08-08,Meghalaya,West Garo Hills,48,17,0,0,
2020-08-09,Meghalaya,West Garo Hills,48,17,0,0,
2020-08-10,Meghalaya,West Garo Hills,87,22,0,0,
2020-08-11,Meghalaya,West Garo Hills,94,22,0,0,
2020-08-12,Meghalaya,West Garo Hills,104,22,0,0,
2020-08-13,Meghalaya,West Garo Hills,104,22,0,0,
2020-08-14,Meghalaya,West Garo Hills,124,24,0,0,
2020-08-15,Meghalaya,West Garo Hills,158,25,0,0,
2020-08-16,Meghalaya,West Garo Hills,206,25,0,0,
2020-08-17,Meghalaya,West Garo Hills,209,25,0,0,
2020-08-18,Meghalaya,West Garo Hills,216,25,0,0,
2020-08-19,Meghalaya,West Garo Hills,241,34,0,0,
2020-08-20,Meghalaya,West Garo Hills,253,34,0,0,
2020-08-21,Meghalaya,West Garo Hills,256,35,0,0,
2020-08-22,Meghalaya,West Garo Hills,265,50,0,0,
2020-08-23,Meghalaya,West Garo Hills,274,50,1,0,
2020-08-24,Meghalaya,West Garo Hills,274,50,1,0,
2020-08-25,Meghalaya,West Garo Hills,280,82,1,0,
2020-08-26,Meghalaya,West Garo Hills,287,114,1,0,
2020-08-27,Meghalaya,West Garo Hills,306,118,1,0,
2020-08-28,Meghalaya,West Garo Hills,329,170,1,0,
2020-08-29,Meghalaya,West Garo Hills,344,207,1,0,
2020-08-30,Meghalaya,West Garo Hills,353,215,1,0,
2020-08-31,Meghalaya,West Garo Hills,358,241,1,0,
2020-09-01,Meghalaya,West Garo Hills,365,246,1,0,
2020-09-02,Meghalaya,West Garo Hills,371,252,1,0,
2020-09-03,Meghalaya,West Garo Hills,386,264,1,0,
2020-09-04,Meghalaya,West Garo Hills,410,269,1,0,
2020-09-05,Meghalaya,West Garo Hills,422,277,1,0,
2020-09-06,Meghalaya,West Garo Hills,462,287,1,0,
2020-09-07,Meghalaya,West Garo Hills,474,287,1,0,
2020-09-08,Meghalaya,West Garo Hills,487,313,1,0,
2020-09-09,Meghalaya,West Garo Hills,512,318,1,0,
2020-09-10,Meghalaya,West Garo Hills,530,336,1,0,
2020-09-11,Meghalaya,West Garo Hills,547,342,1,0,
2020-09-12,Meghalaya,West Garo Hills,564,352,1,0,
