Date,State,District,Confirmed,Recovered,Deceased,Other,Tested
2020-06-03,Meghalaya,West Jaintia Hills,1,0,0,0,
2020-06-04,Meghalaya,West Jaintia Hills,1,0,0,0,
2020-06-05,Meghalaya,West Jaintia Hills,1,0,0,0,
2020-06-06,Meghalaya,West Jaintia Hills,1,0,0,0,
2020-06-07,Meghalaya,West Jaintia Hills,1,0,0,0,
2020-06-08,Meghalaya,West Jaintia Hills,4,0,0,0,
2020-06-09,Meghalaya,West Jaintia Hills,5,0,0,0,
2020-06-10,Meghalaya,West Jaintia Hills,5,0,0,0,
2020-06-11,Meghalaya,West Jaintia Hills,5,0,0,0,
2020-06-12,Meghalaya,West Jaintia Hills,5,0,0,0,
2020-06-13,Meghalaya,West Jaintia Hills,5,0,0,0,
2020-06-14,Meghalaya,West Jaintia Hills,5,0,0,0,
2020-06-15,Meghalaya,West Jaintia Hills,5,0,0,0,
2020-06-16,Meghalaya,West Jaintia Hills,5,0,0,0,
2020-06-17,Meghalaya,West Jaintia Hills,5,0,0,0,
2020-06-18,Meghalaya,West Jaintia Hills,5,1,0,0,
2020-06-19,Meghalaya,West Jaintia Hills,5,1,0,0,
2020-06-20,Meghalaya,West Jaintia Hills,5,1,0,0,
2020-06-21,Meghalaya,West Jaintia Hills,5,1,0,0,
2020-06-22,Meghalaya,West Jaintia Hills,5,1,0,0,
2020-06-23,Meghalaya,West Jaintia Hills,5,5,0,0,
2020-06-24,Meghalaya,West Jaintia Hills,5,5,0,0,
2020-06-25,Meghalaya,West Jaintia Hills,5,5,0,0,
2020-06-26,Meghalaya,West Jaintia Hills,5,5,0,0,
2020-06-27,Meghalaya,West Jaintia Hills,5,5,0,0,
2020-06-28,Meghalaya,West Jaintia Hills,5,5,0,0,
2020-06-29,Meghalaya,West Jaintia Hills,5,5,0,0,
2020-06-30,Meghalaya,West Jaintia Hills,5,5,0,0,
2020-07-01,Meghalaya,West Jaintia Hills,5,5,0,0,
2020-07-02,Meghalaya,West Jaintia Hills,5,5,0,0,
2020-07-03,Meghalaya,West Jaintia Hills,5,5,0,0,
2020-07-04,Meghalaya,West Jaintia Hills,5,5,0,0,
2020-07-05,Meghalaya,West Jaintia Hills,5,5,0,0,
2020-07-06,Meghalaya,West Jaintia Hills,5,5,0,0,
2020-07-07,Meghalaya,West Jaintia Hills,5,5,0,0,
2020-07-08,Meghalaya,West Jaintia Hills,5,5,0,0,
2020-07-09,Meghalaya,West Jaintia Hills,5,5,0,0,
2020-07-10,Meghalaya,West Jaintia Hills,5,5,0,0,
2020-07-11,Meghalaya,West Jaintia Hills,5,5,0,0,
2020-07-12,Meghalaya,West Jaintia Hills,5,5,0,0,
2020-07-13,Meghalaya,West Jaintia Hills,5,5,0,0,
2020-07-14,Meghalaya,West Jaintia Hills,5,5,0,0,
2020-07-15,Meghalaya,West Jaintia Hills,5,5,0,0,
2020-07-16,Meghalaya,West Jaintia Hills,5,5,0,0,
2020-07-17,Meghalaya,West Jaintia Hills,5,5,0,0,
2020-07-18,Meghalaya,West Jaintia Hills,5,5,0,0,
2020-07-19,Meghalaya,West Jaintia Hills,5,5,0,0,
2020-07-20,Meghalaya,West Jaintia Hills,5,5,0,0,
2020-07-21,Meghalaya,West Jaintia Hills,6,5,0,0,
2020-07-22,Meghalaya,West Jaintia Hills,10,5,0,0,
2020-07-23,Meghalaya,West Jaintia Hills,10,5,0,0,
2020-07-24,Meghalaya,West Jaintia Hills,13,5,0,0,
2020-07-25,Meghalaya,West Jaintia Hills,14,5,0,0,
2020-07-26,Meghalaya,West Jaintia Hills,15,5,0,0,
2020-07-27,Meghalaya,West Jaintia Hills,15,5,0,0,
2020-07-28,Meghalaya,West Jaintia Hills,18,5,0,0,
2020-07-29,Meghalaya,West Jaintia Hills,18,5,0,0,
2020-07-30,Meghalaya,West Jaintia Hills,19,5,0,0,
2020-07-31,Meghalaya,West Jaintia Hills,19,5,0,0,
2020-08-01,Meghalaya,West Jaintia Hills,20,6,0,0,
2020-08-02,Meghalaya,West Jaintia Hills,20,6,0,0,
2020-08-03,Meghalaya,West Jaintia Hills,22,6,0,0,
2020-08-04,Meghalaya,West Jaintia Hills,22,6,0,0,
2020-08-05,Meghalaya,West Jaintia Hills,22,6,0,0,
2020-08-06,Meghalaya,West Jaintia Hills,23,6,0,0,
2020-08-07,Meghalaya,West Jaintia Hills,23,7,0,0,
2020-08-08,Meghalaya,West Jaintia Hills,23,8,0,0,
2020-08-09,Meghalaya,West Jaintia Hills,23,8,0,0,
2020-08-10,Meghalaya,West Jaintia Hills,23,8,0,0,
2020-08-11,Meghalaya,West Jaintia Hills,24,8,0,0,
2020-08-12,Meghalaya,West Jaintia Hills,24,8,0,0,
2020-08-13,Meghalaya,West Jaintia Hills,24,8,0,0,
2020-08-14,Meghalaya,West Jaintia Hills,24,8,0,0,
2020-08-15,Meghalaya,West Jaintia Hills,24,18,0,0,
2020-08-16,Meghalaya,West Jaintia Hills,24,19,0,0,
2020-08-17,Meghalaya,West Jaintia Hills,24,20,0,0,
2020-08-18,Meghalaya,West Jaintia Hills,24,20,0,0,
2020-08-19,Meghalaya,West Jaintia Hills,24,20,0,0,
2020-08-20,Meghalaya,West Jaintia Hills,25,20,0,0,
2020-08-21,Meghalaya,West Jaintia Hills,26,21,0,0,
2020-08-22,Meghalaya,West Jaintia Hills,26,23,0,0,
2020-08-23,Meghalaya,West Jaintia Hills,26,23,0,0,
2020-08-24,Meghalaya,West Jaintia Hills,26,24,0,0,
2020-08-25,Meghalaya,West Jaintia Hills,27,24,0,0,
2020-08-26,Meghalaya,West Jaintia Hills,27,24,0,0,
2020-08-27,Meghalaya,West Jaintia Hills,27,25,0,0,
2020-08-28,Meghalaya,West Jaintia Hills,27,25,0,0,
2020-08-29,Meghalaya,West Jaintia Hills,27,25,0,0,
2020-08-30,Meghalaya,West Jaintia Hills,27,25,0,0,
