Date,State,District,Confirmed,Recovered,Deceased,Other,Tested
2020-06-08,Mizoram,Champhai,5,0,0,0,
2020-06-09,Mizoram,Champhai,5,0,0,0,
2020-06-10,Mizoram,Champhai,5,0,0,0,
2020-06-11,Mizoram,Champhai,5,0,0,0,
2020-06-12,Mizoram,Champhai,5,0,0,0,
2020-06-13,Mizoram,Champhai,5,0,0,0,
2020-06-14,Mizoram,Champhai,5,0,0,0,
2020-06-15,Mizoram,Champhai,5,0,0,0,
2020-06-16,Mizoram,Champhai,5,0,0,0,
2020-06-17,Mizoram,Champhai,5,0,0,0,
2020-06-18,Mizoram,Champhai,5,0,0,0,
2020-06-19,Mizoram,Champhai,5,0,0,0,
2020-06-20,Mizoram,Champhai,8,0,0,0,
2020-06-21,Mizoram,Champhai,8,0,0,0,
2020-06-22,Mizoram,Champhai,8,0,0,0,
2020-06-23,Mizoram,Champhai,8,0,0,0,
2020-06-24,Mizoram,Champhai,8,4,0,0,
2020-06-25,Mizoram,Champhai,8,4,0,0,
2020-06-26,Mizoram,Champhai,8,4,0,0,
2020-06-27,Mizoram,Champhai,9,4,0,0,
2020-06-28,Mizoram,Champhai,9,4,0,0,
2020-06-29,Mizoram,Champhai,9,5,0,0,
2020-06-30,Mizoram,Champhai,9,5,0,0,
2020-07-01,Mizoram,Champhai,9,5,0,0,
2020-07-02,Mizoram,Champhai,10,5,0,0,
2020-07-03,Mizoram,Champhai,10,5,0,0,
2020-07-04,Mizoram,Champhai,10,8,0,0,
2020-07-05,Mizoram,Champhai,10,8,0,0,
2020-07-06,Mizoram,Champhai,10,8,0,0,
2020-07-07,Mizoram,Champhai,10,8,0,0,
2020-07-08,Mizoram,Champhai,10,8,0,0,
2020-07-09,Mizoram,Champhai,10,8,0,0,
2020-07-10,Mizoram,Champhai,10,8,0,0,
2020-07-11,Mizoram,Champhai,10,8,0,0,
2020-07-12,Mizoram,Champhai,10,8,0,0,
2020-07-13,Mizoram,Champhai,10,9,0,0,
2020-07-14,Mizoram,Champhai,10,9,0,0,
2020-07-15,Mizoram,Champhai,10,9,0,0,
2020-07-16,Mizoram,Champhai,10,9,0,0,
2020-07-17,Mizoram,Champhai,12,9,0,0,
2020-07-18,Mizoram,Champhai,12,9,0,0,
2020-07-19,Mizoram,Champhai,12,9,0,0,
2020-07-20,Mizoram,Champhai,12,10,0,0,
2020-07-21,Mizoram,Champhai,12,10,0,0,
2020-07-22,Mizoram,Champhai,12,10,0,0,
2020-07-23,Mizoram,Champhai,13,10,0,0,
2020-07-24,Mizoram,Champhai,13,10,0,0,
2020-07-25,Mizoram,Champhai,13,10,0,0,
2020-07-26,Mizoram,Champhai,13,10,0,0,
2020-07-27,Mizoram,Champhai,13,10,0,0,
2020-07-28,Mizoram,Champhai,13,10,0,0,
2020-07-29,Mizoram,Champhai,13,10,0,0,
2020-07-30,Mizoram,Champhai,13,10,0,0,
