Date,State,District,Confirmed,Recovered,Deceased,Other,Tested
2020-06-09,Mizoram,Kolasib,11,0,0,0,
2020-06-10,Mizoram,Kolasib,11,0,0,0,
2020-06-11,Mizoram,Kolasib,11,0,0,0,
2020-06-12,Mizoram,Kolasib,11,0,0,0,
2020-06-13,Mizoram,Kolasib,11,0,0,0,
2020-06-14,Mizoram,Kolasib,11,0,0,0,
2020-06-15,Mizoram,Kolasib,11,0,0,0,
2020-06-16,Mizoram,Kolasib,11,0,0,0,
2020-06-17,Mizoram,Kolasib,11,0,0,0,
2020-06-18,Mizoram,Kolasib,11,0,0,0,
2020-06-19,Mizoram,Kolasib,11,6,0,0,
2020-06-20,Mizoram,Kolasib,11,6,0,0,
2020-06-21,Mizoram,Kolasib,11,6,0,0,
2020-06-22,Mizoram,Kolasib,11,6,0,0,
2020-06-23,Mizoram,Kolasib,11,7,0,0,
2020-06-24,Mizoram,Kolasib,11,7,0,0,
2020-06-25,Mizoram,Kolasib,11,10,0,0,
2020-06-26,Mizoram,Kolasib,11,10,0,0,
2020-06-27,Mizoram,Kolasib,11,10,0,0,
2020-06-28,Mizoram,Kolasib,11,10,0,0,
2020-06-29,Mizoram,Kolasib,11,10,0,0,
2020-06-30,Mizoram,Kolasib,11,11,0,0,
2020-07-01,Mizoram,Kolasib,11,11,0,0,
2020-07-02,Mizoram,Kolasib,11,11,0,0,
2020-07-03,Mizoram,Kolasib,11,11,0,0,
2020-07-04,Mizoram,Kolasib,11,11,0,0,
2020-07-05,Mizoram,Kolasib,11,11,0,0,
2020-07-06,Mizoram,Kolasib,11,11,0,0,
2020-07-07,Mizoram,Kolasib,12,11,0,0,
2020-07-08,Mizoram,Kolasib,12,11,0,0,
2020-07-09,Mizoram,Kolasib,12,11,0,0,
2020-07-10,Mizoram,Kolasib,12,11,0,0,
2020-07-11,Mizoram,Kolasib,12,11,0,0,
2020-07-12,Mizoram,Kolasib,12,11,0,0,
2020-07-13,Mizoram,Kolasib,12,11,0,0,
2020-07-14,Mizoram,Kolasib,12,11,0,0,
2020-07-15,Mizoram,Kolasib,12,11,0,0,
2020-07-16,Mizoram,Kolasib,12,11,0,0,
2020-07-17,Mizoram,Kolasib,12,11,0,0,
2020-07-18,Mizoram,Kolasib,12,12,0,0,
2020-07-19,Mizoram,Kolasib,12,12,0,0,
2020-07-20,Mizoram,Kolasib,12,12,0,0,
2020-07-21,Mizoram,Kolasib,12,12,0,0,
2020-07-22,Mizoram,Kolasib,12,12,0,0,
2020-07-23,Mizoram,Kolasib,13,12,0,0,
2020-07-24,Mizoram,Kolasib,13,12,0,0,
2020-07-25,Mizoram,Kolasib,14,12,0,0,
2020-07-26,Mizoram,Kolasib,14,12,0,0,
2020-07-27,Mizoram,Kolasib,14,12,0,0,
2020-07-28,Mizoram,Kolasib,14,12,0,0,
2020-07-29,Mizoram,Kolasib,14,12,0,0,
2020-07-30,Mizoram,Kolasib,13,12,0,0,
2020-07-31,Mizoram,Kolasib,13,12,0,0,
2020-08-01,Mizoram,Kolasib,13,12,0,0,
2020-08-02,Mizoram,Kolasib,13,12,0,0,
2020-08-03,Mizoram,Kolasib,14,12,0,0,
2020-08-04,Mizoram,Kolasib,14,12,0,0,
2020-08-05,Mizoram,Kolasib,14,12,0,0,
2020-08-06,Mizoram,Kolasib,15,12,0,0,
2020-08-07,Mizoram,Kolasib,34,12,0,0,
2020-08-08,Mizoram,Kolasib,37,13,0,0,
2020-08-09,Mizoram,Kolasib,53,13,0,0,
2020-08-10,Mizoram,Kolasib,57,13,0,0,
2020-08-11,Mizoram,Kolasib,59,13,0,0,
2020-08-12,Mizoram,Kolasib,69,13,0,0,
2020-08-13,Mizoram,Kolasib,69,13,0,0,
2020-08-14,Mizoram,Kolasib,70,13,0,0,
2020-08-15,Mizoram,Kolasib,96,13,0,0,
2020-08-16,Mizoram,Kolasib,110,13,0,0,
2020-08-17,Mizoram,Kolasib,113,13,0,0,
2020-08-18,Mizoram,Kolasib,118,13,0,0,
2020-08-19,Mizoram,Kolasib,132,13,0,0,
2020-08-20,Mizoram,Kolasib,144,13,0,0,
2020-08-21,Mizoram,Kolasib,151,13,0,0,
2020-08-22,Mizoram,Kolasib,153,13,0,0,
2020-08-23,Mizoram,Kolasib,164,36,0,0,
2020-08-24,Mizoram,Kolasib,164,36,0,0,
2020-08-25,Mizoram,Kolasib,166,36,0,0,
2020-08-26,Mizoram,Kolasib,169,36,0,0,
2020-08-27,Mizoram,Kolasib,169,62,0,0,
2020-08-28,Mizoram,Kolasib,169,62,0,0,
