Date,State,District,Confirmed,Recovered,Deceased,Other,Tested
2020-06-07,Mizoram,Lawngtlai,2,0,0,0,
2020-06-08,Mizoram,Lawngtlai,2,0,0,0,
2020-06-09,Mizoram,Lawngtlai,3,0,0,0,
2020-06-10,Mizoram,Lawngtlai,4,0,0,0,
2020-06-11,Mizoram,Lawngtlai,4,0,0,0,
2020-06-12,Mizoram,Lawngtlai,4,0,0,0,
2020-06-13,Mizoram,Lawngtlai,4,0,0,0,
2020-06-14,Mizoram,Lawngtlai,4,0,0,0,
2020-06-15,Mizoram,Lawngtlai,4,0,0,0,
2020-06-16,Mizoram,Lawngtlai,4,0,0,0,
2020-06-17,Mizoram,Lawngtlai,4,0,0,0,
2020-06-18,Mizoram,Lawngtlai,8,0,0,0,
2020-06-19,Mizoram,Lawngtlai,8,0,0,0,
2020-06-20,Mizoram,Lawngtlai,8,0,0,0,
2020-06-21,Mizoram,Lawngtlai,8,0,0,0,
2020-06-22,Mizoram,Lawngtlai,8,0,0,0,
2020-06-23,Mizoram,Lawngtlai,8,0,0,0,
2020-06-24,Mizoram,Lawngtlai,8,0,0,0,
2020-06-25,Mizoram,Lawngtlai,8,0,0,0,
2020-06-26,Mizoram,Lawngtlai,8,8,0,0,
2020-06-27,Mizoram,Lawngtlai,8,8,0,0,
2020-06-28,Mizoram,Lawngtlai,8,8,0,0,
2020-06-29,Mizoram,Lawngtlai,8,8,0,0,
2020-06-30,Mizoram,Lawngtlai,8,8,0,0,
2020-07-01,Mizoram,Lawngtlai,8,8,0,0,
2020-07-02,Mizoram,Lawngtlai,8,8,0,0,
2020-07-03,Mizoram,Lawngtlai,8,8,0,0,
2020-07-04,Mizoram,Lawngtlai,8,8,0,0,
2020-07-05,Mizoram,Lawngtlai,12,8,0,0,
2020-07-06,Mizoram,Lawngtlai,12,8,0,0,
2020-07-07,Mizoram,Lawngtlai,12,8,0,0,
2020-07-08,Mizoram,Lawngtlai,12,8,0,0,
2020-07-09,Mizoram,Lawngtlai,12,8,0,0,
2020-07-10,Mizoram,Lawngtlai,12,8,0,0,
2020-07-11,Mizoram,Lawngtlai,12,8,0,0,
2020-07-12,Mizoram,Lawngtlai,12,8,0,0,
2020-07-13,Mizoram,Lawngtlai,12,8,0,0,
2020-07-14,Mizoram,Lawngtlai,12,8,0,0,
2020-07-15,Mizoram,Lawngtlai,12,8,0,0,
2020-07-16,Mizoram,Lawngtlai,21,8,0,0,
2020-07-17,Mizoram,Lawngtlai,21,8,0,0,
2020-07-18,Mizoram,Lawngtlai,21,8,0,0,
2020-07-19,Mizoram,Lawngtlai,21,8,0,0,
2020-07-20,Mizoram,Lawngtlai,21,8,0,0,
2020-07-21,Mizoram,Lawngtlai,21,8,0,0,
2020-07-22,Mizoram,Lawngtlai,21,8,0,0,
2020-07-23,Mizoram,Lawngtlai,21,8,0,0,
2020-07-24,Mizoram,Lawngtlai,21,8,0,0,
2020-07-25,Mizoram,Lawngtlai,21,8,0,0,
2020-07-26,Mizoram,Lawngtlai,21,8,0,0,
2020-07-27,Mizoram,Lawngtlai,21,8,0,0,
2020-07-28,Mizoram,Lawngtlai,21,8,0,0,
2020-07-29,Mizoram,Lawngtlai,22,8,0,0,
2020-07-30,Mizoram,Lawngtlai,22,19,0,0,
2020-07-31,Mizoram,Lawngtlai,22,19,0,0,
2020-08-01,Mizoram,Lawngtlai,22,19,0,0,
2020-08-02,Mizoram,Lawngtlai,22,19,0,0,
2020-08-03,Mizoram,Lawngtlai,23,19,0,0,
2020-08-04,Mizoram,Lawngtlai,23,20,0,0,
2020-08-05,Mizoram,Lawngtlai,23,20,0,0,
2020-08-06,Mizoram,Lawngtlai,23,21,0,0,
2020-08-07,Mizoram,Lawngtlai,23,21,0,0,
2020-08-08,Mizoram,Lawngtlai,23,21,0,0,
2020-08-09,Mizoram,Lawngtlai,24,21,0,0,
2020-08-10,Mizoram,Lawngtlai,24,21,0,0,
2020-08-11,Mizoram,Lawngtlai,24,21,0,0,
2020-08-12,Mizoram,Lawngtlai,24,21,0,0,
2020-08-13,Mizoram,Lawngtlai,24,21,0,0,
2020-08-14,Mizoram,Lawngtlai,24,21,0,0,
2020-08-15,Mizoram,Lawngtlai,24,21,0,0,
2020-08-16,Mizoram,Lawngtlai,24,21,0,0,
2020-08-17,Mizoram,Lawngtlai,25,21,0,0,
2020-08-18,Mizoram,Lawngtlai,25,21,0,0,
2020-08-19,Mizoram,Lawngtlai,31,21,0,0,
2020-08-20,Mizoram,Lawngtlai,31,21,0,0,
2020-08-21,Mizoram,Lawngtlai,31,21,0,0,
2020-08-22,Mizoram,Lawngtlai,31,21,0,0,
2020-08-23,Mizoram,Lawngtlai,31,21,0,0,
2020-08-24,Mizoram,Lawngtlai,31,21,0,0,
2020-08-25,Mizoram,Lawngtlai,31,21,0,0,
2020-08-26,Mizoram,Lawngtlai,31,21,0,0,
2020-08-27,Mizoram,Lawngtlai,31,21,0,0,
2020-08-28,Mizoram,Lawngtlai,31,21,0,0,
2020-08-29,Mizoram,Lawngtlai,31,21,0,0,
2020-08-30,Mizoram,Lawngtlai,31,21,0,0,
2020-08-31,Mizoram,Lawngtlai,31,21,0,0,
2020-09-01,Mizoram,Lawngtlai,31,24,0,0,
2020-09-02,Mizoram,Lawngtlai,31,24,0,0,
2020-09-03,Mizoram,Lawngtlai,31,24,0,0,
2020-09-04,Mizoram,Lawngtlai,31,24,0,0,
2020-09-05,Mizoram,Lawngtlai,31,28,0,0,
2020-09-06,Mizoram,Lawngtlai,31,28,0,0,
