Date,State,District,Confirmed,Recovered,Deceased,Other,Tested
2020-06-08,Mizoram,Saiha,1,0,0,0,
2020-06-09,Mizoram,Saiha,1,0,0,0,
2020-06-10,Mizoram,Saiha,1,0,0,0,
2020-06-11,Mizoram,Saiha,1,0,0,0,
2020-06-12,Mizoram,Saiha,2,0,0,0,
2020-06-13,Mizoram,Saiha,2,0,0,0,
2020-06-14,Mizoram,Saiha,4,0,0,0,
2020-06-15,Mizoram,Saiha,4,0,0,0,
2020-06-16,Mizoram,Saiha,4,0,0,0,
2020-06-17,Mizoram,Saiha,4,0,0,0,
2020-06-18,Mizoram,Saiha,8,0,0,0,
2020-06-19,Mizoram,Saiha,8,0,0,0,
2020-06-20,Mizoram,Saiha,8,0,0,0,
2020-06-21,Mizoram,Saiha,8,0,0,0,
2020-06-22,Mizoram,Saiha,9,0,0,0,
2020-06-23,Mizoram,Saiha,9,0,0,0,
2020-06-24,Mizoram,Saiha,9,0,0,0,
2020-06-25,Mizoram,Saiha,9,0,0,0,
2020-06-26,Mizoram,Saiha,9,0,0,0,
2020-06-27,Mizoram,Saiha,9,8,0,0,
2020-06-28,Mizoram,Saiha,9,8,0,0,
2020-06-29,Mizoram,Saiha,9,8,0,0,
2020-06-30,Mizoram,Saiha,18,8,0,0,
2020-07-01,Mizoram,Saiha,18,8,0,0,
2020-07-02,Mizoram,Saiha,18,8,0,0,
2020-07-03,Mizoram,Saiha,18,8,0,0,
2020-07-04,Mizoram,Saiha,18,8,0,0,
2020-07-05,Mizoram,Saiha,22,9,0,0,
2020-07-06,Mizoram,Saiha,23,9,0,0,
2020-07-07,Mizoram,Saiha,23,9,0,0,
2020-07-08,Mizoram,Saiha,23,9,0,0,
2020-07-09,Mizoram,Saiha,23,9,0,0,
2020-07-10,Mizoram,Saiha,23,9,0,0,
2020-07-11,Mizoram,Saiha,23,9,0,0,
2020-07-12,Mizoram,Saiha,23,9,0,0,
2020-07-13,Mizoram,Saiha,23,9,0,0,
2020-07-14,Mizoram,Saiha,23,17,0,0,
2020-07-15,Mizoram,Saiha,23,17,0,0,
2020-07-16,Mizoram,Saiha,23,17,0,0,
2020-07-17,Mizoram,Saiha,26,17,0,0,
2020-07-18,Mizoram,Saiha,26,23,0,0,
2020-07-19,Mizoram,Saiha,26,23,0,0,
2020-07-20,Mizoram,Saiha,26,23,0,0,
2020-07-21,Mizoram,Saiha,26,23,0,0,
2020-07-22,Mizoram,Saiha,26,23,0,0,
2020-07-23,Mizoram,Saiha,26,23,0,0,
2020-07-24,Mizoram,Saiha,26,23,0,0,
2020-07-25,Mizoram,Saiha,26,23,0,0,
2020-07-26,Mizoram,Saiha,26,23,0,0,
2020-07-27,Mizoram,Saiha,26,23,0,0,
2020-07-28,Mizoram,Saiha,26,23,0,0,
2020-07-29,Mizoram,Saiha,26,23,0,0,
2020-07-30,Mizoram,Saiha,26,23,0,0,
2020-07-31,Mizoram,Saiha,26,23,0,0,
2020-08-01,Mizoram,Saiha,26,26,0,0,
2020-08-02,Mizoram,Saiha,26,26,0,0,
2020-08-03,Mizoram,Saiha,26,26,0,0,
2020-08-04,Mizoram,Saiha,26,26,0,0,
2020-08-05,Mizoram,Saiha,26,26,0,0,
2020-08-06,Mizoram,Saiha,26,26,0,0,
2020-08-07,Mizoram,Saiha,26,26,0,0,
2020-08-08,Mizoram,Saiha,26,26,0,0,
2020-08-09,Mizoram,Saiha,26,26,0,0,
2020-08-10,Mizoram,Saiha,26,26,0,0,
2020-08-11,Mizoram,Saiha,26,26,0,0,
2020-08-12,Mizoram,Saiha,26,26,0,0,
2020-08-13,Mizoram,Saiha,26,26,0,0,
2020-08-14,Mizoram,Saiha,26,26,0,0,
2020-08-15,Mizoram,Saiha,26,26,0,0,
2020-08-16,Mizoram,Saiha,26,26,0,0,
2020-08-17,Mizoram,Saiha,26,26,0,0,
2020-08-18,Mizoram,Saiha,26,26,0,0,
2020-08-19,Mizoram,Saiha,26,26,0,0,
2020-08-20,Mizoram,Saiha,26,26,0,0,
2020-08-21,Mizoram,Saiha,27,26,0,0,
2020-08-22,Mizoram,Saiha,27,26,0,0,
2020-08-23,Mizoram,Saiha,27,26,0,0,
2020-08-24,Mizoram,Saiha,27,26,0,0,
2020-08-25,Mizoram,Saiha,27,26,0,0,
2020-08-26,Mizoram,Saiha,27,26,0,0,
2020-08-27,Mizoram,Saiha,27,26,0,0,
2020-08-28,Mizoram,Saiha,27,26,0,0,
2020-08-29,Mizoram,Saiha,27,26,0,0,
2020-08-30,Mizoram,Saiha,27,26,0,0,
2020-08-31,Mizoram,Saiha,27,26,0,0,
2020-09-01,Mizoram,Saiha,27,26,0,0,
2020-09-02,Mizoram,Saiha,27,26,0,0,
2020-09-03,Mizoram,Saiha,27,26,0,0,
2020-09-04,Mizoram,Saiha,27,26,0,0,
