Date,State,District,Confirmed,Recovered,Deceased,Other,Tested
2020-05-19,Nagaland,Dimapur,0,0,0,0,722.0
2020-05-20,Nagaland,Dimapur,0,0,0,0,729.0
2020-05-21,Nagaland,Dimapur,0,0,0,0,729.0
2020-05-22,Nagaland,Dimapur,0,0,0,0,742.0
2020-05-23,Nagaland,Dimapur,0,0,0,0,762.0
2020-05-24,Nagaland,Dimapur,0,0,0,0,777.0
2020-05-25,Nagaland,Dimapur,2,0,0,0,777.0
2020-05-26,Nagaland,Dimapur,2,0,0,0,857.0
2020-05-27,Nagaland,Dimapur,6,0,0,0,896.0
2020-05-28,Nagaland,Dimapur,12,0,0,0,896.0
2020-05-29,Nagaland,Dimapur,14,0,0,0,896.0
2020-05-30,Nagaland,Dimapur,22,0,0,0,896.0
2020-05-31,Nagaland,Dimapur,25,0,0,0,896.0
2020-06-01,Nagaland,Dimapur,25,0,0,0,896.0
2020-06-02,Nagaland,Dimapur,31,0,0,0,896.0
2020-06-03,Nagaland,Dimapur,31,0,0,0,896.0
2020-06-04,Nagaland,Dimapur,57,0,0,0,896.0
2020-06-05,Nagaland,Dimapur,57,0,0,0,896.0
2020-06-06,Nagaland,Dimapur,9,8,0,0,896.0
2020-06-07,Nagaland,Dimapur,20,8,0,0,896.0
2020-06-08,Nagaland,Dimapur,12,8,0,0,896.0
2020-06-09,Nagaland,Dimapur,16,8,0,0,896.0
2020-06-10,Nagaland,Dimapur,16,12,0,0,896.0
2020-06-11,Nagaland,Dimapur,16,19,0,0,896.0
2020-06-12,Nagaland,Dimapur,39,27,0,0,896.0
2020-06-13,Nagaland,Dimapur,39,54,0,0,896.0
2020-06-14,Nagaland,Dimapur,23,0,0,0,896.0
2020-06-15,Nagaland,Dimapur,28,0,0,0,896.0
2020-06-16,Nagaland,Dimapur,28,0,0,0,896.0
2020-06-17,Nagaland,Dimapur,29,0,0,0,896.0
2020-06-18,Nagaland,Dimapur,29,4,0,0,896.0
2020-06-19,Nagaland,Dimapur,30,4,0,0,896.0
2020-06-20,Nagaland,Dimapur,30,4,0,0,896.0
2020-06-21,Nagaland,Dimapur,30,4,0,0,896.0
2020-06-22,Nagaland,Dimapur,33,4,0,0,896.0
2020-06-23,Nagaland,Dimapur,57,4,0,0,896.0
2020-06-24,Nagaland,Dimapur,57,9,0,0,896.0
2020-06-25,Nagaland,Dimapur,60,17,0,0,896.0
2020-06-26,Nagaland,Dimapur,60,17,0,0,896.0
2020-06-27,Nagaland,Dimapur,64,19,0,0,896.0
2020-06-28,Nagaland,Dimapur,84,19,0,0,896.0
2020-06-29,Nagaland,Dimapur,84,19,0,0,896.0
2020-06-30,Nagaland,Dimapur,85,19,0,0,896.0
2020-07-01,Nagaland,Dimapur,86,19,0,0,896.0
2020-07-02,Nagaland,Dimapur,87,19,0,0,896.0
2020-07-03,Nagaland,Dimapur,87,29,0,0,896.0
2020-07-04,Nagaland,Dimapur,87,29,0,0,896.0
2020-07-05,Nagaland,Dimapur,99,29,0,0,896.0
2020-07-06,Nagaland,Dimapur,114,29,0,0,896.0
2020-07-07,Nagaland,Dimapur,114,29,0,0,896.0
