Date,State,District,Confirmed,Recovered,Deceased,Other,Tested
2020-06-23,Nagaland,Longleng,1,0,0,0,
2020-06-24,Nagaland,Longleng,1,0,0,0,
2020-06-25,Nagaland,Longleng,1,0,0,0,
2020-06-26,Nagaland,Longleng,1,0,0,0,
2020-06-27,Nagaland,Longleng,2,0,0,0,
2020-06-28,Nagaland,Longleng,2,0,0,0,
2020-06-29,Nagaland,Longleng,2,0,0,0,
2020-06-30,Nagaland,Longleng,2,0,0,0,
2020-07-01,Nagaland,Longleng,2,0,0,0,
2020-07-02,Nagaland,Longleng,2,0,0,0,
2020-07-03,Nagaland,Longleng,2,0,0,0,
2020-07-04,Nagaland,Longleng,2,0,0,0,
2020-07-05,Nagaland,Longleng,2,0,0,0,
2020-07-06,Nagaland,Longleng,2,0,0,0,
2020-07-07,Nagaland,Longleng,2,0,0,0,
2020-07-08,Nagaland,Longleng,2,0,0,0,
2020-07-09,Nagaland,Longleng,2,0,0,0,
2020-07-10,Nagaland,Longleng,2,0,0,0,
2020-07-11,Nagaland,Longleng,2,0,0,0,
2020-07-12,Nagaland,Longleng,2,0,0,0,
2020-07-13,Nagaland,Longleng,2,0,0,0,
2020-07-14,Nagaland,Longleng,4,0,0,0,
2020-07-15,Nagaland,Longleng,4,0,0,0,
2020-07-16,Nagaland,Longleng,4,0,0,0,
2020-07-17,Nagaland,Longleng,4,0,0,0,
2020-07-18,Nagaland,Longleng,4,0,0,0,
2020-07-19,Nagaland,Longleng,5,0,0,0,
2020-07-20,Nagaland,Longleng,5,0,0,0,
2020-07-21,Nagaland,Longleng,5,0,0,0,
2020-07-22,Nagaland,Longleng,5,0,0,0,
2020-07-23,Nagaland,Longleng,5,2,0,0,
2020-07-24,Nagaland,Longleng,5,2,0,0,
2020-07-25,Nagaland,Longleng,5,2,0,0,
2020-07-26,Nagaland,Longleng,5,4,0,0,
2020-07-27,Nagaland,Longleng,5,4,0,0,
2020-07-28,Nagaland,Longleng,5,4,0,0,
2020-07-29,Nagaland,Longleng,5,4,0,0,
2020-07-30,Nagaland,Longleng,5,5,0,0,
2020-07-31,Nagaland,Longleng,5,5,0,0,
2020-08-01,Nagaland,Longleng,5,5,0,0,
2020-08-02,Nagaland,Longleng,5,5,0,0,
2020-08-03,Nagaland,Longleng,5,5,0,0,
2020-08-04,Nagaland,Longleng,5,5,0,0,
2020-08-05,Nagaland,Longleng,5,5,0,0,
2020-08-06,Nagaland,Longleng,5,5,0,0,
2020-08-07,Nagaland,Longleng,5,5,0,0,
2020-08-08,Nagaland,Longleng,5,5,0,0,
2020-08-09,Nagaland,Longleng,5,5,0,0,
2020-08-10,Nagaland,Longleng,5,5,0,0,
2020-08-11,Nagaland,Longleng,5,5,0,0,
2020-08-12,Nagaland,Longleng,5,5,0,0,
