Date,State,District,Confirmed,Recovered,Deceased,Other,Tested
2020-05-19,Nagaland,Mokokchung,0,0,0,0,2.0
2020-05-20,Nagaland,Mokokchung,0,0,0,0,2.0
2020-05-21,Nagaland,Mokokchung,0,0,0,0,2.0
2020-05-22,Nagaland,Mokokchung,0,0,0,0,4.0
2020-05-23,Nagaland,Mokokchung,0,0,0,0,4.0
2020-05-24,Nagaland,Mokokchung,0,0,0,0,5.0
2020-05-25,Nagaland,Mokokchung,0,0,0,0,5.0
2020-05-26,Nagaland,Mokokchung,0,0,0,0,6.0
2020-05-27,Nagaland,Mokokchung,0,0,0,0,63.0
2020-05-28,Nagaland,Mokokchung,0,0,0,0,63.0
2020-05-29,Nagaland,Mokokchung,0,0,0,0,63.0
2020-05-30,Nagaland,Mokokchung,0,0,0,0,63.0
2020-05-31,Nagaland,Mokokchung,0,0,0,0,63.0
2020-06-01,Nagaland,Mokokchung,0,0,0,0,63.0
2020-06-02,Nagaland,Mokokchung,0,0,0,0,63.0
2020-06-03,Nagaland,Mokokchung,0,0,0,0,63.0
2020-06-04,Nagaland,Mokokchung,0,0,0,0,63.0
2020-06-05,Nagaland,Mokokchung,0,0,0,0,63.0
2020-06-06,Nagaland,Mokokchung,0,0,0,0,63.0
2020-06-07,Nagaland,Mokokchung,0,0,0,0,63.0
2020-06-08,Nagaland,Mokokchung,0,0,0,0,63.0
2020-06-09,Nagaland,Mokokchung,0,0,0,0,63.0
2020-06-10,Nagaland,Mokokchung,0,0,0,0,63.0
2020-06-11,Nagaland,Mokokchung,0,0,0,0,63.0
2020-06-12,Nagaland,Mokokchung,0,0,0,0,63.0
2020-06-13,Nagaland,Mokokchung,0,0,0,0,63.0
2020-06-14,Nagaland,Mokokchung,0,0,0,0,63.0
2020-06-15,Nagaland,Mokokchung,0,0,0,0,63.0
2020-06-16,Nagaland,Mokokchung,0,0,0,0,63.0
2020-06-17,Nagaland,Mokokchung,0,0,0,0,63.0
2020-06-18,Nagaland,Mokokchung,0,0,0,0,63.0
2020-06-19,Nagaland,Mokokchung,0,0,0,0,63.0
2020-06-20,Nagaland,Mokokchung,0,0,0,0,63.0
2020-06-21,Nagaland,Mokokchung,0,0,0,0,63.0
2020-06-22,Nagaland,Mokokchung,0,0,0,0,63.0
2020-06-23,Nagaland,Mokokchung,0,0,0,0,63.0
2020-06-24,Nagaland,Mokokchung,0,0,0,0,63.0
