Date,State,District,Confirmed,Recovered,Deceased,Other,Tested
2020-05-19,Nagaland,Mon,0,0,0,0,8.0
2020-05-20,Nagaland,Mon,0,0,0,0,8.0
2020-05-21,Nagaland,Mon,0,0,0,0,8.0
2020-05-22,Nagaland,Mon,0,0,0,0,33.0
2020-05-23,Nagaland,Mon,0,0,0,0,36.0
2020-05-24,Nagaland,Mon,0,0,0,0,36.0
2020-05-25,Nagaland,Mon,0,0,0,0,36.0
2020-05-26,Nagaland,Mon,0,0,0,0,44.0
2020-05-27,Nagaland,Mon,0,0,0,0,45.0
2020-05-28,Nagaland,Mon,0,0,0,0,45.0
2020-05-29,Nagaland,Mon,0,0,0,0,45.0
2020-05-30,Nagaland,Mon,0,0,0,0,45.0
2020-05-31,Nagaland,Mon,0,0,0,0,45.0
2020-06-01,Nagaland,Mon,0,0,0,0,45.0
2020-06-02,Nagaland,Mon,0,0,0,0,45.0
2020-06-03,Nagaland,Mon,0,0,0,0,45.0
2020-06-04,Nagaland,Mon,0,0,0,0,45.0
2020-06-05,Nagaland,Mon,0,0,0,0,45.0
2020-06-06,Nagaland,Mon,23,0,0,0,45.0
2020-06-07,Nagaland,Mon,23,0,0,0,45.0
2020-06-08,Nagaland,Mon,23,0,0,0,45.0
2020-06-09,Nagaland,Mon,23,0,0,0,45.0
2020-06-10,Nagaland,Mon,23,0,0,0,45.0
2020-06-11,Nagaland,Mon,23,0,0,0,45.0
2020-06-12,Nagaland,Mon,23,0,0,0,45.0
2020-06-13,Nagaland,Mon,23,0,0,0,45.0
2020-06-14,Nagaland,Mon,33,0,0,0,45.0
2020-06-15,Nagaland,Mon,33,0,0,0,45.0
2020-06-16,Nagaland,Mon,33,0,0,0,45.0
2020-06-17,Nagaland,Mon,45,0,0,0,45.0
2020-06-18,Nagaland,Mon,45,0,0,0,45.0
2020-06-19,Nagaland,Mon,47,0,0,0,45.0
2020-06-20,Nagaland,Mon,48,0,0,0,45.0
2020-06-21,Nagaland,Mon,48,0,0,0,45.0
2020-06-22,Nagaland,Mon,48,0,0,0,45.0
2020-06-23,Nagaland,Mon,48,0,0,0,45.0
2020-06-24,Nagaland,Mon,48,0,0,0,45.0
2020-06-25,Nagaland,Mon,48,0,0,0,45.0
2020-06-26,Nagaland,Mon,48,0,0,0,45.0
2020-06-27,Nagaland,Mon,60,0,0,0,45.0
2020-06-28,Nagaland,Mon,63,0,0,0,45.0
2020-06-29,Nagaland,Mon,63,0,0,0,45.0
2020-06-30,Nagaland,Mon,63,0,0,0,45.0
2020-07-01,Nagaland,Mon,63,0,0,0,45.0
2020-07-02,Nagaland,Mon,63,0,0,0,45.0
2020-07-03,Nagaland,Mon,66,0,0,0,45.0
2020-07-04,Nagaland,Mon,66,0,0,0,45.0
2020-07-05,Nagaland,Mon,67,0,0,0,45.0
2020-07-06,Nagaland,Mon,87,0,0,0,45.0
2020-07-07,Nagaland,Mon,97,0,0,0,45.0
2020-07-08,Nagaland,Mon,98,0,0,0,45.0
2020-07-09,Nagaland,Mon,98,0,0,0,45.0
2020-07-10,Nagaland,Mon,98,0,0,0,45.0
2020-07-11,Nagaland,Mon,101,0,0,0,45.0
2020-07-12,Nagaland,Mon,101,0,0,0,45.0
2020-07-13,Nagaland,Mon,108,0,0,0,45.0
2020-07-14,Nagaland,Mon,108,0,0,0,45.0
2020-07-15,Nagaland,Mon,108,0,0,0,45.0
2020-07-16,Nagaland,Mon,108,0,0,0,45.0
2020-07-17,Nagaland,Mon,108,0,0,0,45.0
2020-07-18,Nagaland,Mon,108,0,0,0,45.0
2020-07-19,Nagaland,Mon,108,0,0,0,45.0
2020-07-20,Nagaland,Mon,120,0,0,0,45.0
2020-07-21,Nagaland,Mon,122,0,0,0,45.0
2020-07-22,Nagaland,Mon,124,0,0,0,45.0
2020-07-23,Nagaland,Mon,124,33,0,0,45.0
2020-07-24,Nagaland,Mon,124,33,0,0,45.0
2020-07-25,Nagaland,Mon,144,33,0,0,45.0
2020-07-26,Nagaland,Mon,157,33,0,0,45.0
2020-07-27,Nagaland,Mon,165,33,0,0,45.0
2020-07-28,Nagaland,Mon,168,33,0,0,45.0
2020-07-29,Nagaland,Mon,173,35,0,0,45.0
2020-07-30,Nagaland,Mon,173,64,0,0,45.0
2020-07-31,Nagaland,Mon,173,64,0,0,45.0
2020-08-01,Nagaland,Mon,173,64,0,0,45.0
2020-08-02,Nagaland,Mon,174,64,0,0,45.0
2020-08-03,Nagaland,Mon,174,64,0,0,45.0
2020-08-04,Nagaland,Mon,263,64,0,0,45.0
2020-08-05,Nagaland,Mon,268,69,0,0,45.0
2020-08-06,Nagaland,Mon,263,99,0,0,45.0
