Date,State,District,Confirmed,Recovered,Deceased,Other,Tested
2020-05-19,Nagaland,Phek,0,0,0,0,1.0
2020-05-20,Nagaland,Phek,0,0,0,0,1.0
2020-05-21,Nagaland,Phek,0,0,0,0,1.0
2020-05-22,Nagaland,Phek,0,0,0,0,1.0
2020-05-23,Nagaland,Phek,0,0,0,0,1.0
2020-05-24,Nagaland,Phek,0,0,0,0,1.0
2020-05-25,Nagaland,Phek,0,0,0,0,1.0
2020-05-26,Nagaland,Phek,0,0,0,0,28.0
2020-05-27,Nagaland,Phek,0,0,0,0,28.0
2020-05-28,Nagaland,Phek,0,0,0,0,28.0
2020-05-29,Nagaland,Phek,0,0,0,0,28.0
2020-05-30,Nagaland,Phek,0,0,0,0,28.0
2020-05-31,Nagaland,Phek,0,0,0,0,28.0
2020-06-01,Nagaland,Phek,0,0,0,0,28.0
2020-06-02,Nagaland,Phek,0,0,0,0,28.0
2020-06-03,Nagaland,Phek,0,0,0,0,28.0
2020-06-04,Nagaland,Phek,0,0,0,0,28.0
2020-06-05,Nagaland,Phek,0,0,0,0,28.0
2020-06-06,Nagaland,Phek,1,0,0,0,28.0
2020-06-07,Nagaland,Phek,1,0,0,0,28.0
2020-06-08,Nagaland,Phek,1,0,0,0,28.0
2020-06-09,Nagaland,Phek,1,0,0,0,28.0
2020-06-10,Nagaland,Phek,1,0,0,0,28.0
2020-06-11,Nagaland,Phek,1,0,0,0,28.0
2020-06-12,Nagaland,Phek,1,0,0,0,28.0
2020-06-13,Nagaland,Phek,1,0,0,0,28.0
2020-06-14,Nagaland,Phek,1,0,0,0,28.0
2020-06-15,Nagaland,Phek,1,0,0,0,28.0
2020-06-16,Nagaland,Phek,1,0,0,0,28.0
2020-06-17,Nagaland,Phek,1,0,0,0,28.0
2020-06-18,Nagaland,Phek,1,0,0,0,28.0
2020-06-19,Nagaland,Phek,1,0,0,0,28.0
2020-06-20,Nagaland,Phek,1,0,0,0,28.0
2020-06-21,Nagaland,Phek,2,0,0,0,28.0
2020-06-22,Nagaland,Phek,2,0,0,0,28.0
2020-06-23,Nagaland,Phek,2,0,0,0,28.0
2020-06-24,Nagaland,Phek,2,0,0,0,28.0
2020-06-25,Nagaland,Phek,2,0,0,0,28.0
2020-06-26,Nagaland,Phek,2,0,0,0,28.0
2020-06-27,Nagaland,Phek,2,0,0,0,28.0
2020-06-28,Nagaland,Phek,2,0,0,0,28.0
2020-06-29,Nagaland,Phek,2,0,0,0,28.0
2020-06-30,Nagaland,Phek,2,0,0,0,28.0
2020-07-01,Nagaland,Phek,10,0,0,0,28.0
2020-07-02,Nagaland,Phek,10,0,0,0,28.0
2020-07-03,Nagaland,Phek,10,1,0,0,28.0
2020-07-04,Nagaland,Phek,10,1,0,0,28.0
2020-07-05,Nagaland,Phek,10,1,0,0,28.0
2020-07-06,Nagaland,Phek,10,1,0,0,28.0
2020-07-07,Nagaland,Phek,10,1,0,0,28.0
2020-07-08,Nagaland,Phek,10,1,0,0,28.0
2020-07-09,Nagaland,Phek,13,1,0,0,28.0
2020-07-10,Nagaland,Phek,14,1,0,0,28.0
2020-07-11,Nagaland,Phek,14,1,0,0,28.0
2020-07-12,Nagaland,Phek,18,9,0,0,28.0
2020-07-13,Nagaland,Phek,18,9,0,0,28.0
2020-07-14,Nagaland,Phek,18,9,0,0,28.0
2020-07-15,Nagaland,Phek,18,9,0,0,28.0
2020-07-16,Nagaland,Phek,18,9,0,0,28.0
2020-07-17,Nagaland,Phek,18,9,0,0,28.0
2020-07-18,Nagaland,Phek,18,9,0,0,28.0
2020-07-19,Nagaland,Phek,18,9,0,0,28.0
2020-07-20,Nagaland,Phek,18,9,0,0,28.0
2020-07-21,Nagaland,Phek,18,9,0,0,28.0
2020-07-22,Nagaland,Phek,18,9,0,0,28.0
2020-07-23,Nagaland,Phek,19,10,0,0,28.0
