Date,State,District,Confirmed,Recovered,Deceased,Other,Tested
2020-06-03,Nagaland,Unknown,9,0,0,0,
2020-06-04,Nagaland,Unknown,0,0,0,0,
2020-06-05,Nagaland,Unknown,27,0,0,0,
2020-06-06,Nagaland,Unknown,0,0,0,0,
2020-06-12,Nagaland,Unknown,0,20,0,0,
2020-06-13,Nagaland,Unknown,7,20,0,0,
2020-06-14,Nagaland,Unknown,12,88,0,0,
2020-06-15,Nagaland,Unknown,0,88,0,0,
2020-06-16,Nagaland,Unknown,0,103,0,0,
2020-06-17,Nagaland,Unknown,0,103,0,0,
2020-06-18,Nagaland,Unknown,0,103,0,0,
2020-06-19,Nagaland,Unknown,0,119,0,0,
2020-06-20,Nagaland,Unknown,0,132,0,0,
2020-06-21,Nagaland,Unknown,0,135,0,0,
2020-06-22,Nagaland,Unknown,0,135,0,0,
2020-06-23,Nagaland,Unknown,0,135,0,0,
2020-06-24,Nagaland,Unknown,0,135,0,0,
2020-06-25,Nagaland,Unknown,0,135,0,0,
2020-06-26,Nagaland,Unknown,16,135,0,0,
2020-06-27,Nagaland,Unknown,0,135,0,0,
2020-06-28,Nagaland,Unknown,0,135,0,0,
2020-06-29,Nagaland,Unknown,17,139,0,0,
2020-06-30,Nagaland,Unknown,0,139,0,0,
2020-07-01,Nagaland,Unknown,0,153,0,0,
2020-07-02,Nagaland,Unknown,0,168,0,0,
2020-07-03,Nagaland,Unknown,0,168,0,0,
2020-07-04,Nagaland,Unknown,1,168,0,0,
2020-07-05,Nagaland,Unknown,0,171,0,0,
2020-07-06,Nagaland,Unknown,0,183,0,0,
2020-07-07,Nagaland,Unknown,0,243,0,0,
2020-07-08,Nagaland,Unknown,0,244,0,0,
2020-07-09,Nagaland,Unknown,0,244,0,0,
2020-07-10,Nagaland,Unknown,0,244,0,0,
2020-07-11,Nagaland,Unknown,0,253,0,0,
2020-07-12,Nagaland,Unknown,0,253,0,0,
2020-07-13,Nagaland,Unknown,0,266,0,0,
2020-07-14,Nagaland,Unknown,0,272,0,0,
2020-07-15,Nagaland,Unknown,0,272,0,0,
2020-07-16,Nagaland,Unknown,0,272,0,0,
2020-07-17,Nagaland,Unknown,0,272,0,0,
2020-07-18,Nagaland,Unknown,0,299,0,0,
2020-07-19,Nagaland,Unknown,0,312,0,0,
2020-07-20,Nagaland,Unknown,0,351,0,0,
2020-07-21,Nagaland,Unknown,0,352,0,0,
2020-07-22,Nagaland,Unknown,0,353,0,0,
2020-07-23,Nagaland,Unknown,0,0,0,0,
2020-10-27,Nagaland,Unknown,0,35,0,0,
2020-10-28,Nagaland,Unknown,0,0,0,0,
