Date,State,District,Confirmed,Recovered,Deceased,Other,Tested
2020-05-01,Odisha,Balangir,2,0,0,0,
2020-05-02,Odisha,Balangir,2,0,0,0,
2020-05-03,Odisha,Balangir,2,0,0,0,
2020-05-04,Odisha,Balangir,2,0,0,0,
2020-05-05,Odisha,Balangir,2,0,0,0,
2020-05-06,Odisha,Balangir,2,0,0,0,
2020-05-07,Odisha,Balangir,2,0,0,0,
2020-05-08,Odisha,Balangir,2,0,0,0,
2020-05-09,Odisha,Balangir,2,0,0,0,
2020-05-10,Odisha,Balangir,2,0,0,0,
2020-05-11,Odisha,Balangir,2,0,0,0,
2020-05-12,Odisha,Balangir,2,0,0,0,
2020-05-13,Odisha,Balangir,2,0,0,0,
2020-05-14,Odisha,Balangir,2,0,0,0,
2020-05-15,Odisha,Balangir,2,0,0,0,
2020-05-16,Odisha,Balangir,2,0,0,0,
2020-05-17,Odisha,Balangir,4,0,0,0,2237.0
2020-05-18,Odisha,Balangir,6,2,0,0,2237.0
2020-05-19,Odisha,Balangir,6,2,0,0,2237.0
2020-05-20,Odisha,Balangir,6,2,0,0,2237.0
2020-05-21,Odisha,Balangir,6,2,0,0,2237.0
2020-05-22,Odisha,Balangir,6,2,0,0,2237.0
2020-05-23,Odisha,Balangir,9,2,0,0,2237.0
2020-05-24,Odisha,Balangir,16,2,0,0,2237.0
2020-05-25,Odisha,Balangir,24,2,0,0,2237.0
2020-05-26,Odisha,Balangir,38,2,0,0,2237.0
2020-05-27,Odisha,Balangir,54,4,0,0,2237.0
2020-05-28,Odisha,Balangir,56,6,0,0,2237.0
2020-05-29,Odisha,Balangir,62,6,0,0,2237.0
2020-05-30,Odisha,Balangir,69,6,0,0,2237.0
2020-05-31,Odisha,Balangir,80,6,0,0,2237.0
2020-06-01,Odisha,Balangir,82,8,0,0,2237.0
2020-06-02,Odisha,Balangir,89,9,0,0,2237.0
2020-06-03,Odisha,Balangir,102,18,0,0,2237.0
2020-06-04,Odisha,Balangir,102,24,0,0,2237.0
2020-06-05,Odisha,Balangir,105,38,0,0,2237.0
2020-06-06,Odisha,Balangir,116,54,0,0,2237.0
2020-06-07,Odisha,Balangir,121,56,0,0,2237.0
2020-06-08,Odisha,Balangir,122,62,0,0,2237.0
2020-06-09,Odisha,Balangir,123,69,0,0,2237.0
2020-06-10,Odisha,Balangir,124,80,0,0,2237.0
2020-06-11,Odisha,Balangir,124,87,0,0,2237.0
2020-06-12,Odisha,Balangir,129,99,0,0,2237.0
2020-06-13,Odisha,Balangir,141,107,0,0,2237.0
2020-06-14,Odisha,Balangir,143,110,0,0,2237.0
2020-06-15,Odisha,Balangir,143,121,0,0,2237.0
2020-06-16,Odisha,Balangir,144,126,0,0,2237.0
2020-06-17,Odisha,Balangir,147,127,0,0,2237.0
2020-06-18,Odisha,Balangir,148,127,0,0,2237.0
2020-06-19,Odisha,Balangir,150,129,0,0,2237.0
2020-06-20,Odisha,Balangir,150,129,0,0,2237.0
2020-06-21,Odisha,Balangir,151,129,0,0,2237.0
2020-06-22,Odisha,Balangir,152,141,0,0,2237.0
2020-06-23,Odisha,Balangir,153,143,0,0,2237.0
2020-06-24,Odisha,Balangir,154,143,0,0,2237.0
2020-06-25,Odisha,Balangir,165,143,0,0,2237.0
2020-06-26,Odisha,Balangir,165,144,0,0,2237.0
2020-06-27,Odisha,Balangir,165,147,0,0,2237.0
2020-06-28,Odisha,Balangir,167,148,0,0,2237.0
2020-06-29,Odisha,Balangir,167,150,0,0,2237.0
2020-06-30,Odisha,Balangir,183,150,0,0,2237.0
2020-07-01,Odisha,Balangir,187,150,0,0,2237.0
2020-07-02,Odisha,Balangir,194,153,0,0,2237.0
2020-07-03,Odisha,Balangir,213,153,0,0,2237.0
2020-07-04,Odisha,Balangir,213,165,0,0,2237.0
2020-07-05,Odisha,Balangir,216,165,0,0,2237.0
2020-07-06,Odisha,Balangir,222,165,0,0,2237.0
2020-07-07,Odisha,Balangir,227,166,0,0,2237.0
2020-07-08,Odisha,Balangir,248,167,0,0,2237.0
2020-07-09,Odisha,Balangir,248,167,0,0,2237.0
2020-07-10,Odisha,Balangir,260,212,0,0,2237.0
2020-07-11,Odisha,Balangir,260,212,0,0,2237.0
2020-07-12,Odisha,Balangir,261,212,0,0,2237.0
2020-07-13,Odisha,Balangir,263,212,0,0,2237.0
2020-07-14,Odisha,Balangir,268,215,0,0,2237.0
2020-07-15,Odisha,Balangir,270,220,0,0,2237.0
2020-07-16,Odisha,Balangir,273,220,0,0,2237.0
2020-07-17,Odisha,Balangir,273,246,0,0,2237.0
2020-07-18,Odisha,Balangir,282,246,0,0,2237.0
2020-07-19,Odisha,Balangir,286,254,0,0,2237.0
2020-07-20,Odisha,Balangir,286,256,0,0,2237.0
2020-07-21,Odisha,Balangir,291,256,0,0,2237.0
2020-07-22,Odisha,Balangir,297,261,0,0,2237.0
2020-07-23,Odisha,Balangir,298,266,0,0,2237.0
2020-07-24,Odisha,Balangir,304,266,0,0,2237.0
2020-07-25,Odisha,Balangir,313,271,0,0,2237.0
2020-07-26,Odisha,Balangir,332,275,0,0,2237.0
2020-07-27,Odisha,Balangir,353,281,0,0,2237.0
2020-07-28,Odisha,Balangir,374,282,0,0,2237.0
2020-07-29,Odisha,Balangir,400,286,0,0,2237.0
2020-07-30,Odisha,Balangir,406,293,0,0,2237.0
2020-07-31,Odisha,Balangir,425,298,0,0,2237.0
2020-08-01,Odisha,Balangir,463,300,0,0,2237.0
2020-08-02,Odisha,Balangir,463,306,0,0,2237.0
2020-08-03,Odisha,Balangir,514,322,0,0,2237.0
2020-08-04,Odisha,Balangir,519,338,0,0,2237.0
2020-08-05,Odisha,Balangir,530,362,0,0,2237.0
2020-08-06,Odisha,Balangir,551,384,0,0,2237.0
2020-08-07,Odisha,Balangir,588,399,0,0,2237.0
2020-08-08,Odisha,Balangir,631,415,0,0,2237.0
2020-08-09,Odisha,Balangir,637,425,0,0,2237.0
2020-08-10,Odisha,Balangir,696,425,0,0,2237.0
2020-08-11,Odisha,Balangir,723,430,0,0,2237.0
2020-08-12,Odisha,Balangir,754,445,0,0,2237.0
2020-08-13,Odisha,Balangir,781,545,0,0,2237.0
2020-08-14,Odisha,Balangir,788,553,0,0,2237.0
2020-08-15,Odisha,Balangir,880,566,0,0,2237.0
2020-08-16,Odisha,Balangir,907,592,1,0,2237.0
2020-08-17,Odisha,Balangir,944,628,1,0,2237.0
2020-08-18,Odisha,Balangir,1010,635,1,0,2237.0
2020-08-19,Odisha,Balangir,1011,657,1,0,2237.0
2020-08-20,Odisha,Balangir,1184,692,1,0,2237.0
2020-08-21,Odisha,Balangir,1255,767,1,0,2237.0
2020-08-22,Odisha,Balangir,1311,793,2,0,2237.0
2020-08-23,Odisha,Balangir,1373,807,3,0,2237.0
2020-08-24,Odisha,Balangir,1430,892,3,0,2237.0
2020-08-25,Odisha,Balangir,1444,910,4,0,2237.0
2020-08-26,Odisha,Balangir,1520,975,4,0,2237.0
2020-08-27,Odisha,Balangir,1619,1026,4,0,2237.0
2020-08-28,Odisha,Balangir,1687,1062,5,0,2237.0
2020-08-29,Odisha,Balangir,1751,1235,5,0,2237.0
2020-08-30,Odisha,Balangir,1786,1280,5,0,2237.0
2020-08-31,Odisha,Balangir,1828,1342,5,0,2237.0
2020-09-01,Odisha,Balangir,1852,1396,5,0,2237.0
2020-09-02,Odisha,Balangir,1862,1443,5,0,2237.0
2020-09-03,Odisha,Balangir,1901,1467,5,0,2237.0
2020-09-04,Odisha,Balangir,1944,1593,7,0,2237.0
2020-09-05,Odisha,Balangir,1981,1654,8,0,2237.0
2020-09-06,Odisha,Balangir,2024,1708,8,0,2237.0
2020-09-07,Odisha,Balangir,2099,1754,8,0,2237.0
2020-09-08,Odisha,Balangir,2209,1782,8,0,2237.0
2020-09-09,Odisha,Balangir,2372,1823,9,0,2237.0
2020-09-10,Odisha,Balangir,2552,1848,9,0,2237.0
2020-09-11,Odisha,Balangir,2676,1881,9,0,2237.0
2020-09-12,Odisha,Balangir,2727,1930,10,0,2237.0
2020-09-13,Odisha,Balangir,2869,1969,10,0,2237.0
2020-09-14,Odisha,Balangir,3066,2049,12,0,2237.0
2020-09-15,Odisha,Balangir,3105,2124,12,0,2237.0
2020-09-16,Odisha,Balangir,3202,2232,12,0,2237.0
2020-09-17,Odisha,Balangir,3246,2372,12,0,2237.0
2020-09-18,Odisha,Balangir,3319,2565,13,0,2237.0
2020-09-19,Odisha,Balangir,3397,2688,14,0,2237.0
2020-09-20,Odisha,Balangir,3476,2734,15,0,2237.0
2020-09-21,Odisha,Balangir,3544,2870,15,0,2237.0
2020-09-22,Odisha,Balangir,3658,3053,17,0,2237.0
2020-09-23,Odisha,Balangir,3725,3097,17,0,2237.0
2020-09-24,Odisha,Balangir,3778,3195,18,0,2237.0
2020-09-25,Odisha,Balangir,3854,3242,19,0,2237.0
2020-09-26,Odisha,Balangir,3930,3307,20,0,2237.0
2020-09-27,Odisha,Balangir,4015,3375,21,0,68003.0
2020-09-28,Odisha,Balangir,4116,3450,22,0,68003.0
2020-09-29,Odisha,Balangir,4194,3518,23,0,68003.0
2020-09-30,Odisha,Balangir,4308,3641,23,0,68003.0
2020-10-01,Odisha,Balangir,4389,3690,24,0,68003.0
2020-10-02,Odisha,Balangir,4488,3735,24,0,68003.0
2020-10-03,Odisha,Balangir,4583,3816,24,0,68003.0
2020-10-04,Odisha,Balangir,4686,3896,24,0,77889.0
2020-10-05,Odisha,Balangir,4795,3966,24,0,77889.0
2020-10-06,Odisha,Balangir,4888,4059,24,0,77889.0
2020-10-07,Odisha,Balangir,4982,4163,24,0,77889.0
2020-10-08,Odisha,Balangir,5068,4272,24,0,77889.0
2020-10-09,Odisha,Balangir,5130,4342,24,0,77889.0
2020-10-10,Odisha,Balangir,5227,4445,25,0,77889.0
2020-10-11,Odisha,Balangir,5312,4527,25,0,87867.0
2020-10-12,Odisha,Balangir,5405,4630,25,0,87867.0
2020-10-13,Odisha,Balangir,5482,4737,26,0,87867.0
2020-10-14,Odisha,Balangir,5546,4826,26,0,87867.0
2020-10-15,Odisha,Balangir,5637,4900,26,0,87867.0
2020-10-16,Odisha,Balangir,5716,4972,26,0,87867.0
2020-10-17,Odisha,Balangir,5787,5030,26,0,87867.0
2020-10-18,Odisha,Balangir,5858,5125,27,0,87867.0
2020-10-19,Odisha,Balangir,5946,5211,29,0,87867.0
2020-10-20,Odisha,Balangir,6012,5325,29,0,87867.0
2020-10-21,Odisha,Balangir,6076,5430,30,0,87867.0
2020-10-22,Odisha,Balangir,6139,5490,30,0,87867.0
2020-10-23,Odisha,Balangir,6215,5577,30,0,87867.0
2020-10-24,Odisha,Balangir,6280,5646,30,0,87867.0
2020-10-25,Odisha,Balangir,6360,5713,30,0,87867.0
2020-10-26,Odisha,Balangir,6404,5785,30,0,87867.0
2020-10-27,Odisha,Balangir,6472,5871,30,0,87867.0
2020-10-28,Odisha,Balangir,6539,5935,30,0,87867.0
2020-10-29,Odisha,Balangir,6607,5935,30,0,87867.0
