Date,State,District,Confirmed,Recovered,Deceased,Other,Tested
2020-04-26,Odisha,Cuttack,1,1,0,0,
2020-04-27,Odisha,Cuttack,1,1,0,0,
2020-04-28,Odisha,Cuttack,1,1,0,0,
2020-04-29,Odisha,Cuttack,1,1,0,0,
2020-04-30,Odisha,Cuttack,1,1,0,0,
2020-05-01,Odisha,Cuttack,1,1,0,0,
2020-05-02,Odisha,Cuttack,1,1,0,0,
2020-05-03,Odisha,Cuttack,1,1,0,0,
2020-05-04,Odisha,Cuttack,1,1,0,0,
2020-05-05,Odisha,Cuttack,2,1,0,0,
2020-05-06,Odisha,Cuttack,2,1,0,0,
2020-05-07,Odisha,Cuttack,2,1,0,0,
2020-05-08,Odisha,Cuttack,2,1,0,0,
2020-05-09,Odisha,Cuttack,2,1,0,0,
2020-05-10,Odisha,Cuttack,2,1,0,0,
2020-05-11,Odisha,Cuttack,2,1,0,0,
2020-05-12,Odisha,Cuttack,3,1,0,0,
2020-05-13,Odisha,Cuttack,3,1,0,0,
2020-05-14,Odisha,Cuttack,4,1,0,0,
2020-05-15,Odisha,Cuttack,10,1,0,0,
2020-05-16,Odisha,Cuttack,10,2,0,0,
2020-05-17,Odisha,Cuttack,22,2,0,0,5720.0
2020-05-18,Odisha,Cuttack,23,2,0,0,5720.0
2020-05-19,Odisha,Cuttack,27,2,1,0,5720.0
2020-05-20,Odisha,Cuttack,36,2,1,0,5720.0
2020-05-21,Odisha,Cuttack,45,2,1,0,5720.0
2020-05-22,Odisha,Cuttack,56,3,1,0,5720.0
2020-05-23,Odisha,Cuttack,57,3,1,0,5720.0
2020-05-24,Odisha,Cuttack,59,3,1,0,5720.0
2020-05-25,Odisha,Cuttack,59,3,1,0,5720.0
2020-05-26,Odisha,Cuttack,75,10,1,0,5720.0
2020-05-27,Odisha,Cuttack,86,14,1,0,5720.0
2020-05-28,Odisha,Cuttack,86,23,1,0,5720.0
2020-05-29,Odisha,Cuttack,89,26,1,0,5720.0
2020-05-30,Odisha,Cuttack,95,35,1,0,5720.0
2020-05-31,Odisha,Cuttack,100,36,1,0,5720.0
2020-06-01,Odisha,Cuttack,120,49,1,0,5720.0
2020-06-02,Odisha,Cuttack,126,56,1,0,5720.0
