Date,State,District,Confirmed,Recovered,Deceased,Other,Tested
2020-04-29,Odisha,Deogarh,1,0,0,0,
2020-04-30,Odisha,Deogarh,1,0,0,0,
2020-05-01,Odisha,Deogarh,1,0,0,0,
2020-05-02,Odisha,Deogarh,1,0,0,0,
2020-05-03,Odisha,Deogarh,1,0,0,0,
2020-05-04,Odisha,Deogarh,1,0,0,0,
2020-05-05,Odisha,Deogarh,1,0,0,0,
2020-05-06,Odisha,Deogarh,1,0,0,0,
2020-05-07,Odisha,Deogarh,1,0,0,0,
2020-05-08,Odisha,Deogarh,1,0,0,0,
2020-05-09,Odisha,Deogarh,1,0,0,0,
2020-05-10,Odisha,Deogarh,1,0,0,0,
2020-05-11,Odisha,Deogarh,1,1,0,0,
2020-05-12,Odisha,Deogarh,1,1,0,0,
2020-05-13,Odisha,Deogarh,1,1,0,0,
2020-05-14,Odisha,Deogarh,2,1,0,0,
2020-05-15,Odisha,Deogarh,2,1,0,0,
2020-05-16,Odisha,Deogarh,2,1,0,0,
2020-05-17,Odisha,Deogarh,2,1,0,0,682.0
2020-05-18,Odisha,Deogarh,2,1,0,0,682.0
2020-05-19,Odisha,Deogarh,2,1,0,0,682.0
2020-05-20,Odisha,Deogarh,2,1,0,0,682.0
2020-05-21,Odisha,Deogarh,2,1,0,0,682.0
2020-05-22,Odisha,Deogarh,2,1,0,0,682.0
2020-05-23,Odisha,Deogarh,2,1,0,0,682.0
2020-05-24,Odisha,Deogarh,2,1,0,0,682.0
2020-05-25,Odisha,Deogarh,24,2,0,0,682.0
2020-05-26,Odisha,Deogarh,24,2,0,0,682.0
2020-05-27,Odisha,Deogarh,24,2,0,0,682.0
2020-05-28,Odisha,Deogarh,24,2,0,0,682.0
2020-05-29,Odisha,Deogarh,24,2,0,0,682.0
2020-05-30,Odisha,Deogarh,28,2,0,0,682.0
2020-05-31,Odisha,Deogarh,32,2,0,0,682.0
2020-06-01,Odisha,Deogarh,32,2,0,0,682.0
2020-06-02,Odisha,Deogarh,32,2,0,0,682.0
2020-06-03,Odisha,Deogarh,33,24,0,0,682.0
2020-06-04,Odisha,Deogarh,33,24,0,0,682.0
2020-06-05,Odisha,Deogarh,33,24,0,0,682.0
2020-06-06,Odisha,Deogarh,33,24,0,0,682.0
2020-06-07,Odisha,Deogarh,33,24,0,0,682.0
2020-06-08,Odisha,Deogarh,33,32,0,0,682.0
2020-06-09,Odisha,Deogarh,38,32,0,0,682.0
2020-06-10,Odisha,Deogarh,38,32,0,0,682.0
2020-06-11,Odisha,Deogarh,38,32,0,0,682.0
2020-06-12,Odisha,Deogarh,40,33,0,0,682.0
2020-06-13,Odisha,Deogarh,40,33,0,0,682.0
2020-06-14,Odisha,Deogarh,40,33,0,0,682.0
2020-06-15,Odisha,Deogarh,40,33,0,0,682.0
2020-06-16,Odisha,Deogarh,40,33,0,0,682.0
2020-06-17,Odisha,Deogarh,40,33,0,0,682.0
2020-06-18,Odisha,Deogarh,40,33,0,0,682.0
2020-06-19,Odisha,Deogarh,40,38,0,0,682.0
2020-06-20,Odisha,Deogarh,41,38,0,0,682.0
