Date,State,District,Confirmed,Recovered,Deceased,Other,Tested
2020-05-02,Odisha,Ganjam,2,0,0,0,
2020-05-03,Odisha,Ganjam,2,0,0,0,
2020-05-04,Odisha,Ganjam,2,0,0,0,
2020-05-05,Odisha,Ganjam,4,0,0,0,
2020-05-06,Odisha,Ganjam,21,0,0,0,
2020-05-07,Odisha,Ganjam,28,0,0,0,
2020-05-08,Odisha,Ganjam,71,0,0,0,
2020-05-09,Odisha,Ganjam,118,0,1,0,
2020-05-10,Odisha,Ganjam,125,0,1,0,
2020-05-11,Odisha,Ganjam,140,0,1,0,
2020-05-12,Odisha,Ganjam,158,0,1,0,
2020-05-13,Odisha,Ganjam,210,2,1,0,
2020-05-14,Odisha,Ganjam,264,2,1,0,
2020-05-15,Odisha,Ganjam,277,2,1,0,
2020-05-16,Odisha,Ganjam,277,30,1,0,
2020-05-17,Odisha,Ganjam,292,49,2,0,6632.0
2020-05-18,Odisha,Ganjam,307,89,2,0,6632.0
2020-05-19,Odisha,Ganjam,307,109,2,0,6632.0
2020-05-20,Odisha,Ganjam,313,132,2,0,6632.0
2020-05-21,Odisha,Ganjam,317,154,3,0,6632.0
2020-05-22,Odisha,Ganjam,322,162,3,0,6632.0
2020-05-23,Odisha,Ganjam,341,203,3,0,6632.0
2020-05-24,Odisha,Ganjam,348,233,3,0,6632.0
2020-05-25,Odisha,Ganjam,353,248,3,0,6632.0
2020-05-26,Odisha,Ganjam,358,272,3,0,6632.0
2020-05-27,Odisha,Ganjam,368,283,3,0,6632.0
2020-05-28,Odisha,Ganjam,394,302,3,0,6632.0
2020-05-29,Odisha,Ganjam,398,317,3,0,6632.0
2020-05-30,Odisha,Ganjam,404,318,3,0,6632.0
2020-05-31,Odisha,Ganjam,414,334,3,0,6632.0
2020-06-01,Odisha,Ganjam,431,336,3,0,6632.0
2020-06-02,Odisha,Ganjam,458,338,3,0,6632.0
2020-06-03,Odisha,Ganjam,499,340,3,0,6632.0
2020-06-04,Odisha,Ganjam,521,354,3,0,6632.0
2020-06-05,Odisha,Ganjam,533,389,3,0,6632.0
2020-06-06,Odisha,Ganjam,597,396,3,0,6632.0
2020-06-07,Odisha,Ganjam,598,410,4,0,6632.0
2020-06-08,Odisha,Ganjam,631,419,4,0,6632.0
2020-06-09,Odisha,Ganjam,649,441,4,0,6632.0
2020-06-10,Odisha,Ganjam,649,498,4,0,6632.0
2020-06-11,Odisha,Ganjam,652,515,4,0,6632.0
2020-06-12,Odisha,Ganjam,658,545,5,0,6632.0
2020-06-13,Odisha,Ganjam,678,578,5,0,6632.0
2020-06-14,Odisha,Ganjam,682,595,6,0,6632.0
2020-06-15,Odisha,Ganjam,690,613,6,0,6632.0
2020-06-16,Odisha,Ganjam,698,616,6,0,6632.0
2020-06-17,Odisha,Ganjam,699,620,6,0,6632.0
2020-06-18,Odisha,Ganjam,755,636,6,0,6632.0
2020-06-19,Odisha,Ganjam,796,641,6,0,6632.0
2020-06-20,Odisha,Ganjam,853,658,6,0,6632.0
2020-06-21,Odisha,Ganjam,893,670,7,0,6632.0
2020-06-22,Odisha,Ganjam,925,670,8,0,6632.0
2020-06-23,Odisha,Ganjam,955,680,8,0,6632.0
2020-06-24,Odisha,Ganjam,1030,729,8,0,6632.0
2020-06-25,Odisha,Ganjam,1088,768,8,0,6632.0
2020-06-26,Odisha,Ganjam,1137,811,8,0,6632.0
2020-06-27,Odisha,Ganjam,1195,859,9,0,6632.0
2020-06-28,Odisha,Ganjam,1271,892,10,0,6632.0
2020-06-29,Odisha,Ganjam,1367,952,12,0,6632.0
2020-06-30,Odisha,Ganjam,1370,993,14,0,6632.0
2020-07-01,Odisha,Ganjam,1472,1041,15,0,6632.0
2020-07-02,Odisha,Ganjam,1567,1090,16,0,6632.0
2020-07-03,Odisha,Ganjam,1850,1128,18,0,6632.0
2020-07-04,Odisha,Ganjam,2066,1219,21,0,6632.0
2020-07-05,Odisha,Ganjam,2182,1318,21,0,6632.0
2020-07-06,Odisha,Ganjam,2348,1391,22,0,6632.0
2020-07-07,Odisha,Ganjam,2621,1487,25,0,6632.0
2020-07-08,Odisha,Ganjam,2836,1607,28,0,6632.0
2020-07-09,Odisha,Ganjam,3096,1707,31,0,6632.0
2020-07-10,Odisha,Ganjam,3416,1892,35,0,6632.0
2020-07-11,Odisha,Ganjam,3634,2079,37,0,6632.0
2020-07-12,Odisha,Ganjam,3864,2185,40,0,6632.0
2020-07-13,Odisha,Ganjam,4147,2433,45,0,6632.0
2020-07-14,Odisha,Ganjam,4335,2701,46,0,6632.0
2020-07-15,Odisha,Ganjam,4621,2971,49,0,6632.0
2020-07-16,Odisha,Ganjam,4867,3055,51,0,6632.0
2020-07-17,Odisha,Ganjam,5098,3275,53,0,6632.0
2020-07-18,Odisha,Ganjam,5280,3554,55,0,6632.0
2020-07-19,Odisha,Ganjam,5527,3753,59,0,6632.0
2020-07-20,Odisha,Ganjam,5766,3871,63,0,6632.0
2020-07-21,Odisha,Ganjam,5991,4008,63,0,6632.0
2020-07-22,Odisha,Ganjam,6362,4076,67,0,6632.0
2020-07-23,Odisha,Ganjam,6902,4483,72,0,6632.0
2020-07-24,Odisha,Ganjam,7634,5013,75,0,6632.0
2020-07-25,Odisha,Ganjam,8194,5404,78,0,6632.0
2020-07-26,Odisha,Ganjam,8678,5836,85,0,6632.0
2020-07-27,Odisha,Ganjam,9169,5996,88,0,6632.0
2020-07-28,Odisha,Ganjam,9501,6303,91,0,6632.0
2020-07-29,Odisha,Ganjam,9746,6699,92,0,6632.0
2020-07-30,Odisha,Ganjam,9996,7130,96,0,6632.0
2020-07-31,Odisha,Ganjam,10364,7342,100,0,6632.0
2020-08-01,Odisha,Ganjam,10672,7481,105,0,6632.0
2020-08-02,Odisha,Ganjam,10992,7524,109,0,6632.0
2020-08-03,Odisha,Ganjam,11323,7878,113,0,6632.0
2020-08-04,Odisha,Ganjam,11611,8136,119,0,6632.0
2020-08-05,Odisha,Ganjam,11812,8621,124,0,6632.0
2020-08-06,Odisha,Ganjam,12080,8911,128,0,6632.0
