Date,State,District,Confirmed,Recovered,Deceased,Other,Tested
2020-05-06,Odisha,Jagatsinghpur,4,0,0,0,
2020-05-07,Odisha,Jagatsinghpur,5,0,0,0,
2020-05-08,Odisha,Jagatsinghpur,5,0,0,0,
2020-05-09,Odisha,Jagatsinghpur,5,0,0,0,
2020-05-10,Odisha,Jagatsinghpur,5,0,0,0,
2020-05-11,Odisha,Jagatsinghpur,5,0,0,0,
2020-05-12,Odisha,Jagatsinghpur,5,0,0,0,
2020-05-13,Odisha,Jagatsinghpur,5,0,0,0,
2020-05-14,Odisha,Jagatsinghpur,5,0,0,0,
2020-05-15,Odisha,Jagatsinghpur,5,0,0,0,
2020-05-16,Odisha,Jagatsinghpur,5,0,0,0,
2020-05-17,Odisha,Jagatsinghpur,5,0,0,0,2138.0
2020-05-18,Odisha,Jagatsinghpur,5,5,0,0,2138.0
2020-05-19,Odisha,Jagatsinghpur,28,5,0,0,2138.0
2020-05-20,Odisha,Jagatsinghpur,28,5,0,0,2138.0
2020-05-21,Odisha,Jagatsinghpur,30,5,0,0,2138.0
2020-05-22,Odisha,Jagatsinghpur,30,5,0,0,2138.0
2020-05-23,Odisha,Jagatsinghpur,30,5,0,0,2138.0
2020-05-24,Odisha,Jagatsinghpur,31,5,0,0,2138.0
2020-05-25,Odisha,Jagatsinghpur,41,5,0,0,2138.0
2020-05-26,Odisha,Jagatsinghpur,41,5,0,0,2138.0
2020-05-27,Odisha,Jagatsinghpur,47,5,0,0,2138.0
2020-05-28,Odisha,Jagatsinghpur,49,5,0,0,2138.0
2020-05-29,Odisha,Jagatsinghpur,60,28,0,0,2138.0
2020-05-30,Odisha,Jagatsinghpur,66,28,0,0,2138.0
2020-05-31,Odisha,Jagatsinghpur,68,30,0,0,2138.0
2020-06-01,Odisha,Jagatsinghpur,82,30,0,0,2138.0
2020-06-02,Odisha,Jagatsinghpur,86,31,0,0,2138.0
2020-06-03,Odisha,Jagatsinghpur,86,31,0,0,2138.0
2020-06-04,Odisha,Jagatsinghpur,86,41,0,0,2138.0
2020-06-05,Odisha,Jagatsinghpur,87,41,0,0,2138.0
2020-06-06,Odisha,Jagatsinghpur,87,49,0,0,2138.0
2020-06-07,Odisha,Jagatsinghpur,89,50,0,0,2138.0
2020-06-08,Odisha,Jagatsinghpur,89,57,0,0,2138.0
2020-06-09,Odisha,Jagatsinghpur,97,68,0,0,2138.0
2020-06-10,Odisha,Jagatsinghpur,130,76,0,0,2138.0
2020-06-11,Odisha,Jagatsinghpur,130,82,0,0,2138.0
2020-06-12,Odisha,Jagatsinghpur,130,86,0,0,2138.0
2020-06-13,Odisha,Jagatsinghpur,143,86,0,0,2138.0
2020-06-14,Odisha,Jagatsinghpur,154,86,0,0,2138.0
2020-06-15,Odisha,Jagatsinghpur,158,87,0,0,2138.0
2020-06-16,Odisha,Jagatsinghpur,167,87,0,0,2138.0
2020-06-17,Odisha,Jagatsinghpur,174,89,0,0,2138.0
2020-06-18,Odisha,Jagatsinghpur,174,89,0,0,2138.0
2020-06-19,Odisha,Jagatsinghpur,175,110,0,0,2138.0
