Date,State,District,Confirmed,Recovered,Deceased,Other,Tested
2020-05-17,Odisha,Kandhamal,0,0,0,0,1516.0
2020-05-18,Odisha,Kandhamal,2,0,0,0,1516.0
2020-05-19,Odisha,Kandhamal,2,0,0,0,1516.0
2020-05-20,Odisha,Kandhamal,3,0,0,0,1516.0
2020-05-21,Odisha,Kandhamal,3,0,0,0,1516.0
2020-05-22,Odisha,Kandhamal,3,0,0,0,1516.0
2020-05-23,Odisha,Kandhamal,5,0,0,0,1516.0
2020-05-24,Odisha,Kandhamal,5,0,0,0,1516.0
2020-05-25,Odisha,Kandhamal,6,0,0,0,1516.0
2020-05-26,Odisha,Kandhamal,13,0,0,0,1516.0
2020-05-27,Odisha,Kandhamal,13,0,0,0,1516.0
2020-05-28,Odisha,Kandhamal,13,2,0,0,1516.0
2020-05-29,Odisha,Kandhamal,13,2,0,0,1516.0
2020-05-30,Odisha,Kandhamal,13,3,0,0,1516.0
2020-05-31,Odisha,Kandhamal,13,3,0,0,1516.0
2020-06-01,Odisha,Kandhamal,22,3,0,0,1516.0
2020-06-02,Odisha,Kandhamal,22,5,0,0,1516.0
2020-06-03,Odisha,Kandhamal,22,5,0,0,1516.0
2020-06-04,Odisha,Kandhamal,22,6,0,0,1516.0
2020-06-05,Odisha,Kandhamal,25,13,0,0,1516.0
2020-06-06,Odisha,Kandhamal,25,13,0,0,1516.0
2020-06-07,Odisha,Kandhamal,25,22,0,0,1516.0
2020-06-08,Odisha,Kandhamal,35,22,0,0,1516.0
2020-06-09,Odisha,Kandhamal,37,22,0,0,1516.0
2020-06-10,Odisha,Kandhamal,37,22,0,0,1516.0
2020-06-11,Odisha,Kandhamal,52,25,0,0,1516.0
2020-06-12,Odisha,Kandhamal,52,25,0,0,1516.0
2020-06-13,Odisha,Kandhamal,67,25,0,0,1516.0
2020-06-14,Odisha,Kandhamal,89,25,0,0,1516.0
2020-06-15,Odisha,Kandhamal,137,30,0,0,1516.0
2020-06-16,Odisha,Kandhamal,137,36,0,0,1516.0
2020-06-17,Odisha,Kandhamal,144,50,0,0,1516.0
2020-06-18,Odisha,Kandhamal,147,64,0,0,1516.0
2020-06-19,Odisha,Kandhamal,147,82,0,0,1516.0
2020-06-20,Odisha,Kandhamal,147,101,0,0,1516.0
2020-06-21,Odisha,Kandhamal,159,142,0,0,1516.0
2020-06-22,Odisha,Kandhamal,159,144,0,0,1516.0
2020-06-23,Odisha,Kandhamal,159,145,0,0,1516.0
2020-06-24,Odisha,Kandhamal,176,145,0,0,1516.0
2020-06-25,Odisha,Kandhamal,176,145,0,0,1516.0
2020-06-26,Odisha,Kandhamal,177,157,0,0,1516.0
2020-06-27,Odisha,Kandhamal,177,158,0,0,1516.0
2020-06-28,Odisha,Kandhamal,178,158,0,0,1516.0
2020-06-29,Odisha,Kandhamal,178,158,0,0,1516.0
2020-06-30,Odisha,Kandhamal,178,175,0,0,1516.0
2020-07-01,Odisha,Kandhamal,178,175,0,0,1516.0
2020-07-02,Odisha,Kandhamal,178,175,0,0,1516.0
2020-07-03,Odisha,Kandhamal,178,178,0,0,1516.0
2020-07-04,Odisha,Kandhamal,186,178,0,0,1516.0
2020-07-05,Odisha,Kandhamal,187,178,0,0,1516.0
2020-07-06,Odisha,Kandhamal,190,178,0,0,1516.0
2020-07-07,Odisha,Kandhamal,190,178,0,0,1516.0
2020-07-08,Odisha,Kandhamal,190,178,0,0,1516.0
2020-07-09,Odisha,Kandhamal,191,184,0,0,1516.0
2020-07-10,Odisha,Kandhamal,193,185,0,0,1516.0
2020-07-11,Odisha,Kandhamal,193,185,0,0,1516.0
2020-07-12,Odisha,Kandhamal,193,185,0,0,1516.0
2020-07-13,Odisha,Kandhamal,199,189,0,0,1516.0
2020-07-14,Odisha,Kandhamal,199,189,0,0,1516.0
2020-07-15,Odisha,Kandhamal,199,191,0,0,1516.0
2020-07-16,Odisha,Kandhamal,199,191,0,0,1516.0
2020-07-17,Odisha,Kandhamal,206,191,0,0,1516.0
2020-07-18,Odisha,Kandhamal,206,199,0,0,1516.0
2020-07-19,Odisha,Kandhamal,206,199,0,0,1516.0
2020-07-20,Odisha,Kandhamal,250,199,0,0,1516.0
2020-07-21,Odisha,Kandhamal,255,199,0,0,1516.0
2020-07-22,Odisha,Kandhamal,268,199,1,0,1516.0
2020-07-23,Odisha,Kandhamal,297,213,1,0,1516.0
2020-07-24,Odisha,Kandhamal,314,213,1,0,1516.0
2020-07-25,Odisha,Kandhamal,353,213,1,0,1516.0
2020-07-26,Odisha,Kandhamal,365,228,1,0,1516.0
2020-07-27,Odisha,Kandhamal,438,245,1,0,1516.0
2020-07-28,Odisha,Kandhamal,452,261,1,0,1516.0
2020-07-29,Odisha,Kandhamal,463,290,2,0,1516.0
2020-07-30,Odisha,Kandhamal,477,309,2,0,1516.0
2020-07-31,Odisha,Kandhamal,527,323,2,0,1516.0
2020-08-01,Odisha,Kandhamal,572,333,2,0,1516.0
2020-08-02,Odisha,Kandhamal,616,353,2,0,1516.0
2020-08-03,Odisha,Kandhamal,616,370,2,0,1516.0
2020-08-04,Odisha,Kandhamal,678,400,2,0,1516.0
2020-08-05,Odisha,Kandhamal,698,428,2,0,1516.0
2020-08-06,Odisha,Kandhamal,772,442,3,0,1516.0
2020-08-07,Odisha,Kandhamal,788,442,3,0,1516.0
2020-08-08,Odisha,Kandhamal,840,483,5,0,1516.0
