Date,State,District,Confirmed,Recovered,Deceased,Other,Tested
2020-04-26,Odisha,Khordha,46,23,1,0,
2020-04-27,Odisha,Khordha,46,25,1,0,
2020-04-28,Odisha,Khordha,46,26,1,0,
2020-04-29,Odisha,Khordha,47,27,1,0,
2020-04-30,Odisha,Khordha,47,27,1,0,
2020-05-01,Odisha,Khordha,47,30,1,0,
2020-05-02,Odisha,Khordha,47,31,1,0,
2020-05-03,Odisha,Khordha,47,31,1,0,
2020-05-04,Odisha,Khordha,47,31,1,0,
2020-05-05,Odisha,Khordha,47,31,2,0,
2020-05-06,Odisha,Khordha,47,31,2,0,
2020-05-07,Odisha,Khordha,50,32,2,0,
2020-05-08,Odisha,Khordha,50,32,2,0,
2020-05-09,Odisha,Khordha,50,32,2,0,
2020-05-10,Odisha,Khordha,50,32,2,0,
2020-05-11,Odisha,Khordha,50,37,2,0,
2020-05-12,Odisha,Khordha,50,37,2,0,
2020-05-13,Odisha,Khordha,50,45,2,0,
2020-05-14,Odisha,Khordha,53,45,2,0,
2020-05-15,Odisha,Khordha,56,45,2,0,
2020-05-16,Odisha,Khordha,56,45,2,0,
2020-05-17,Odisha,Khordha,59,45,2,0,
2020-05-18,Odisha,Khordha,60,48,2,0,
2020-05-19,Odisha,Khordha,64,48,2,0,
2020-05-20,Odisha,Khordha,71,48,3,0,
2020-05-21,Odisha,Khordha,71,48,3,0,
2020-05-22,Odisha,Khordha,74,48,3,0,
2020-05-23,Odisha,Khordha,74,48,3,0,
2020-05-24,Odisha,Khordha,77,51,3,0,
2020-05-25,Odisha,Khordha,82,51,3,0,
2020-05-26,Odisha,Khordha,86,55,3,0,
2020-05-27,Odisha,Khordha,99,57,3,0,
2020-05-28,Odisha,Khordha,110,58,3,0,
2020-05-29,Odisha,Khordha,122,60,4,0,
2020-05-30,Odisha,Khordha,131,67,4,0,
2020-05-31,Odisha,Khordha,138,67,4,0,
2020-06-01,Odisha,Khordha,141,70,4,0,
2020-06-02,Odisha,Khordha,167,72,4,0,
2020-06-03,Odisha,Khordha,170,74,4,0,
2020-06-04,Odisha,Khordha,195,77,4,0,
2020-06-05,Odisha,Khordha,217,87,5,0,
2020-06-06,Odisha,Khordha,226,94,5,0,
2020-06-07,Odisha,Khordha,244,133,5,0,
2020-06-08,Odisha,Khordha,257,146,5,0,
2020-06-09,Odisha,Khordha,276,157,5,0,
2020-06-10,Odisha,Khordha,290,183,5,0,
2020-06-11,Odisha,Khordha,307,186,6,0,
2020-06-12,Odisha,Khordha,315,205,6,0,
