Date,State,District,Confirmed,Recovered,Deceased,Other,Tested
2020-04-27,Odisha,Koraput,1,0,0,0,
2020-04-28,Odisha,Koraput,1,0,0,0,
2020-04-29,Odisha,Koraput,1,0,0,0,
2020-04-30,Odisha,Koraput,1,0,0,0,
2020-05-01,Odisha,Koraput,1,0,0,0,
2020-05-02,Odisha,Koraput,1,0,0,0,
2020-05-03,Odisha,Koraput,1,0,0,0,
2020-05-04,Odisha,Koraput,1,0,0,0,
2020-05-05,Odisha,Koraput,1,0,0,0,
2020-05-06,Odisha,Koraput,1,0,0,0,
2020-05-07,Odisha,Koraput,1,0,0,0,
2020-05-08,Odisha,Koraput,1,0,0,0,
2020-05-09,Odisha,Koraput,1,0,0,0,
2020-05-10,Odisha,Koraput,1,0,0,0,
2020-05-11,Odisha,Koraput,1,0,0,0,
2020-05-12,Odisha,Koraput,1,0,0,0,
2020-05-13,Odisha,Koraput,1,1,0,0,
2020-05-14,Odisha,Koraput,1,1,0,0,
2020-05-15,Odisha,Koraput,1,1,0,0,
2020-05-16,Odisha,Koraput,1,1,0,0,
2020-05-17,Odisha,Koraput,1,1,0,0,1401.0
2020-05-18,Odisha,Koraput,1,1,0,0,1401.0
2020-05-19,Odisha,Koraput,1,1,0,0,1401.0
2020-05-20,Odisha,Koraput,1,1,0,0,1401.0
2020-05-21,Odisha,Koraput,1,1,0,0,1401.0
2020-05-22,Odisha,Koraput,1,1,0,0,1401.0
2020-05-23,Odisha,Koraput,1,1,0,0,1401.0
2020-05-24,Odisha,Koraput,1,1,0,0,1401.0
2020-05-25,Odisha,Koraput,7,1,0,0,1401.0
2020-05-26,Odisha,Koraput,7,1,0,0,1401.0
2020-05-27,Odisha,Koraput,7,1,0,0,1401.0
2020-05-28,Odisha,Koraput,7,1,0,0,1401.0
2020-05-29,Odisha,Koraput,8,1,0,0,1401.0
2020-05-30,Odisha,Koraput,8,1,0,0,1401.0
2020-05-31,Odisha,Koraput,8,1,0,0,1401.0
2020-06-01,Odisha,Koraput,8,1,0,0,1401.0
2020-06-02,Odisha,Koraput,8,1,0,0,1401.0
2020-06-03,Odisha,Koraput,8,1,0,0,1401.0
2020-06-04,Odisha,Koraput,8,1,0,0,1401.0
2020-06-05,Odisha,Koraput,14,7,0,0,1401.0
2020-06-06,Odisha,Koraput,14,7,0,0,1401.0
2020-06-07,Odisha,Koraput,16,7,0,0,1401.0
2020-06-08,Odisha,Koraput,16,8,0,0,1401.0
2020-06-09,Odisha,Koraput,16,7,0,0,1401.0
2020-06-10,Odisha,Koraput,17,8,0,0,1401.0
2020-06-11,Odisha,Koraput,17,8,0,0,1401.0
2020-06-12,Odisha,Koraput,17,8,0,0,1401.0
2020-06-13,Odisha,Koraput,17,8,0,0,1401.0
2020-06-14,Odisha,Koraput,17,9,0,0,1401.0
2020-06-15,Odisha,Koraput,17,14,0,0,1401.0
2020-06-16,Odisha,Koraput,17,16,0,0,1401.0
2020-06-17,Odisha,Koraput,17,16,0,0,1401.0
2020-06-18,Odisha,Koraput,23,16,0,0,1401.0
2020-06-19,Odisha,Koraput,24,17,0,0,1401.0
2020-06-20,Odisha,Koraput,24,17,0,0,1401.0
2020-06-21,Odisha,Koraput,24,17,0,0,1401.0
2020-06-22,Odisha,Koraput,24,17,0,0,1401.0
2020-06-23,Odisha,Koraput,25,17,0,0,1401.0
2020-06-24,Odisha,Koraput,26,17,0,0,1401.0
2020-06-25,Odisha,Koraput,26,17,0,0,1401.0
2020-06-26,Odisha,Koraput,27,17,0,0,1401.0
2020-06-27,Odisha,Koraput,28,17,0,0,1401.0
2020-06-28,Odisha,Koraput,29,17,0,0,1401.0
2020-06-29,Odisha,Koraput,29,17,0,0,1401.0
2020-06-30,Odisha,Koraput,47,24,0,0,1401.0
2020-07-01,Odisha,Koraput,47,24,0,0,1401.0
2020-07-02,Odisha,Koraput,48,25,0,0,1401.0
2020-07-03,Odisha,Koraput,52,25,0,0,1401.0
2020-07-04,Odisha,Koraput,57,25,0,0,1401.0
2020-07-05,Odisha,Koraput,57,27,0,0,1401.0
2020-07-06,Odisha,Koraput,67,28,0,0,1401.0
2020-07-07,Odisha,Koraput,67,28,0,0,1401.0
2020-07-08,Odisha,Koraput,73,29,0,0,1401.0
2020-07-09,Odisha,Koraput,79,47,0,0,1401.0
2020-07-10,Odisha,Koraput,84,47,0,0,1401.0
2020-07-11,Odisha,Koraput,95,47,0,0,1401.0
2020-07-12,Odisha,Koraput,139,51,0,0,1401.0
2020-07-13,Odisha,Koraput,189,55,0,0,1401.0
2020-07-14,Odisha,Koraput,189,57,0,0,1401.0
2020-07-15,Odisha,Koraput,190,67,0,0,1401.0
2020-07-16,Odisha,Koraput,194,67,0,0,1401.0
2020-07-17,Odisha,Koraput,221,71,0,0,1401.0
2020-07-18,Odisha,Koraput,225,80,0,0,1401.0
2020-07-19,Odisha,Koraput,270,85,0,0,1401.0
2020-07-20,Odisha,Koraput,311,96,0,0,1401.0
2020-07-21,Odisha,Koraput,339,137,0,0,1401.0
2020-07-22,Odisha,Koraput,354,155,0,0,1401.0
2020-07-23,Odisha,Koraput,381,158,0,0,1401.0
2020-07-24,Odisha,Koraput,414,159,0,0,1401.0
2020-07-25,Odisha,Koraput,444,162,0,0,1401.0
2020-07-26,Odisha,Koraput,451,167,0,0,1401.0
2020-07-27,Odisha,Koraput,485,168,0,0,1401.0
2020-07-28,Odisha,Koraput,558,185,0,0,1401.0
2020-07-29,Odisha,Koraput,624,220,0,0,1401.0
2020-07-30,Odisha,Koraput,690,221,0,0,1401.0
2020-07-31,Odisha,Koraput,771,262,0,0,1401.0
2020-08-01,Odisha,Koraput,817,280,0,0,1401.0
2020-08-02,Odisha,Koraput,829,346,0,0,1401.0
2020-08-03,Odisha,Koraput,926,351,0,0,1401.0
2020-08-04,Odisha,Koraput,975,435,0,0,1401.0
