Date,State,District,Confirmed,Recovered,Deceased,Other,Tested
2020-05-17,Odisha,Malkangiri,0,0,0,0,1841.0
2020-05-18,Odisha,Malkangiri,0,0,0,0,1841.0
2020-05-19,Odisha,Malkangiri,0,0,0,0,1841.0
2020-05-20,Odisha,Malkangiri,2,0,0,0,1841.0
2020-05-21,Odisha,Malkangiri,3,0,0,0,1841.0
2020-05-22,Odisha,Malkangiri,3,0,0,0,1841.0
2020-05-23,Odisha,Malkangiri,8,0,0,0,1841.0
2020-05-24,Odisha,Malkangiri,10,0,0,0,1841.0
2020-05-25,Odisha,Malkangiri,19,0,0,0,1841.0
2020-05-26,Odisha,Malkangiri,19,0,0,0,1841.0
2020-05-27,Odisha,Malkangiri,19,0,0,0,1841.0
2020-05-28,Odisha,Malkangiri,19,0,0,0,1841.0
2020-05-29,Odisha,Malkangiri,19,0,0,0,1841.0
2020-05-30,Odisha,Malkangiri,19,2,0,0,1841.0
2020-05-31,Odisha,Malkangiri,20,3,0,0,1841.0
2020-06-01,Odisha,Malkangiri,21,3,0,0,1841.0
2020-06-02,Odisha,Malkangiri,21,19,0,0,1841.0
2020-06-03,Odisha,Malkangiri,21,19,0,0,1841.0
2020-06-04,Odisha,Malkangiri,21,19,0,0,1841.0
2020-06-05,Odisha,Malkangiri,21,19,0,0,1841.0
2020-06-06,Odisha,Malkangiri,21,19,0,0,1841.0
2020-06-07,Odisha,Malkangiri,21,21,0,0,1841.0
2020-06-08,Odisha,Malkangiri,21,21,0,0,1841.0
2020-06-09,Odisha,Malkangiri,22,21,0,0,1841.0
2020-06-10,Odisha,Malkangiri,22,21,0,0,1841.0
2020-06-11,Odisha,Malkangiri,22,21,0,0,1841.0
2020-06-12,Odisha,Malkangiri,25,21,0,0,1841.0
2020-06-13,Odisha,Malkangiri,25,21,0,0,1841.0
2020-06-14,Odisha,Malkangiri,26,21,0,0,1841.0
2020-06-15,Odisha,Malkangiri,26,21,0,0,1841.0
2020-06-16,Odisha,Malkangiri,47,22,0,0,1841.0
2020-06-17,Odisha,Malkangiri,47,22,0,0,1841.0
2020-06-18,Odisha,Malkangiri,48,22,0,0,1841.0
2020-06-19,Odisha,Malkangiri,49,22,0,0,1841.0
2020-06-20,Odisha,Malkangiri,51,24,0,0,1841.0
2020-06-21,Odisha,Malkangiri,53,28,0,0,1841.0
2020-06-22,Odisha,Malkangiri,53,43,0,0,1841.0
2020-06-23,Odisha,Malkangiri,53,44,0,0,1841.0
