Date,State,District,Confirmed,Recovered,Deceased,Other,Tested
2020-05-06,Odisha,Mayurbhanj,3,0,0,0,
2020-05-07,Odisha,Mayurbhanj,4,0,0,0,
2020-05-08,Odisha,Mayurbhanj,4,0,0,0,
2020-05-09,Odisha,Mayurbhanj,8,0,0,0,
2020-05-10,Odisha,Mayurbhanj,8,0,0,0,
2020-05-11,Odisha,Mayurbhanj,8,0,0,0,
2020-05-12,Odisha,Mayurbhanj,9,0,0,0,
2020-05-13,Odisha,Mayurbhanj,9,0,0,0,
2020-05-14,Odisha,Mayurbhanj,9,0,0,0,
2020-05-15,Odisha,Mayurbhanj,11,0,0,0,
2020-05-16,Odisha,Mayurbhanj,11,0,0,0,
2020-05-17,Odisha,Mayurbhanj,11,0,0,0,3307.0
2020-05-18,Odisha,Mayurbhanj,11,4,0,0,3307.0
2020-05-19,Odisha,Mayurbhanj,11,4,0,0,3307.0
2020-05-20,Odisha,Mayurbhanj,11,7,0,0,3307.0
2020-05-21,Odisha,Mayurbhanj,14,8,0,0,3307.0
2020-05-22,Odisha,Mayurbhanj,14,8,0,0,3307.0
2020-05-23,Odisha,Mayurbhanj,14,9,0,0,3307.0
2020-05-24,Odisha,Mayurbhanj,14,9,0,0,3307.0
2020-05-25,Odisha,Mayurbhanj,15,9,0,0,3307.0
2020-05-26,Odisha,Mayurbhanj,15,11,0,0,3307.0
2020-05-27,Odisha,Mayurbhanj,16,11,0,0,3307.0
2020-05-28,Odisha,Mayurbhanj,16,11,0,0,3307.0
2020-05-29,Odisha,Mayurbhanj,17,11,0,0,3307.0
2020-05-30,Odisha,Mayurbhanj,17,11,0,0,3307.0
2020-05-31,Odisha,Mayurbhanj,23,14,0,0,3307.0
2020-06-01,Odisha,Mayurbhanj,26,14,0,0,3307.0
2020-06-02,Odisha,Mayurbhanj,27,14,0,0,3307.0
2020-06-03,Odisha,Mayurbhanj,35,14,0,0,3307.0
2020-06-04,Odisha,Mayurbhanj,35,14,0,0,3307.0
2020-06-05,Odisha,Mayurbhanj,57,15,0,0,3307.0
2020-06-06,Odisha,Mayurbhanj,70,16,0,0,3307.0
2020-06-07,Odisha,Mayurbhanj,70,16,0,0,3307.0
2020-06-08,Odisha,Mayurbhanj,76,16,0,0,3307.0
2020-06-09,Odisha,Mayurbhanj,79,16,0,0,3307.0
2020-06-10,Odisha,Mayurbhanj,83,16,0,0,3307.0
2020-06-11,Odisha,Mayurbhanj,92,20,0,0,3307.0
