Date,State,District,Confirmed,Recovered,Deceased,Other,Tested
2020-05-26,Odisha,Subarnapur,1,0,0,0,
2020-05-27,Odisha,Subarnapur,1,0,0,0,
2020-05-28,Odisha,Subarnapur,5,0,0,0,
2020-05-29,Odisha,Subarnapur,5,0,0,0,
2020-05-30,Odisha,Subarnapur,5,0,0,0,
2020-05-31,Odisha,Subarnapur,5,0,0,0,
2020-06-01,Odisha,Subarnapur,8,0,0,0,
2020-06-02,Odisha,Subarnapur,8,3,0,0,
2020-06-03,Odisha,Subarnapur,25,3,0,0,
2020-06-04,Odisha,Subarnapur,25,3,0,0,
2020-06-05,Odisha,Subarnapur,26,3,0,0,
2020-06-06,Odisha,Subarnapur,26,7,0,0,
2020-06-07,Odisha,Subarnapur,29,7,0,0,
2020-06-08,Odisha,Subarnapur,29,7,0,0,
2020-06-09,Odisha,Subarnapur,29,7,0,0,
2020-06-10,Odisha,Subarnapur,29,7,0,0,
2020-06-11,Odisha,Subarnapur,29,16,0,0,
2020-06-12,Odisha,Subarnapur,29,16,0,0,
2020-06-13,Odisha,Subarnapur,29,29,0,0,
2020-06-14,Odisha,Subarnapur,29,29,0,0,
2020-06-15,Odisha,Subarnapur,31,29,0,0,
2020-06-16,Odisha,Subarnapur,31,29,0,0,
2020-06-17,Odisha,Subarnapur,31,29,0,0,
2020-06-18,Odisha,Subarnapur,31,29,0,0,
2020-06-19,Odisha,Subarnapur,31,29,0,0,
2020-06-20,Odisha,Subarnapur,31,29,0,0,
2020-06-21,Odisha,Subarnapur,35,31,0,0,
2020-06-22,Odisha,Subarnapur,35,31,0,0,
2020-06-23,Odisha,Subarnapur,35,31,0,0,
2020-06-24,Odisha,Subarnapur,35,31,0,0,
2020-06-25,Odisha,Subarnapur,35,35,0,0,
2020-06-26,Odisha,Subarnapur,35,35,0,0,
2020-06-27,Odisha,Subarnapur,35,35,0,0,
2020-06-28,Odisha,Subarnapur,35,35,0,0,
2020-06-29,Odisha,Subarnapur,36,35,0,0,
2020-06-30,Odisha,Subarnapur,36,35,0,0,
2020-07-01,Odisha,Subarnapur,37,35,0,0,
2020-07-02,Odisha,Subarnapur,37,35,0,0,
2020-07-03,Odisha,Subarnapur,37,35,0,0,
2020-07-04,Odisha,Subarnapur,39,35,0,0,
2020-07-05,Odisha,Subarnapur,39,35,0,0,
2020-07-06,Odisha,Subarnapur,39,35,0,0,
2020-07-07,Odisha,Subarnapur,39,37,0,0,
2020-07-08,Odisha,Subarnapur,44,37,0,0,
2020-07-09,Odisha,Subarnapur,44,37,0,0,
2020-07-10,Odisha,Subarnapur,44,37,0,0,
2020-07-11,Odisha,Subarnapur,44,37,0,0,
2020-07-12,Odisha,Subarnapur,44,37,0,0,
2020-07-13,Odisha,Subarnapur,44,37,0,0,
2020-07-14,Odisha,Subarnapur,44,37,0,0,
2020-07-15,Odisha,Subarnapur,44,37,0,0,
2020-07-16,Odisha,Subarnapur,44,44,0,0,
2020-07-17,Odisha,Subarnapur,49,44,0,0,
2020-07-18,Odisha,Subarnapur,49,44,0,0,
2020-07-19,Odisha,Subarnapur,49,44,0,0,
2020-07-20,Odisha,Subarnapur,53,44,0,0,
2020-07-21,Odisha,Subarnapur,54,49,0,0,
2020-07-22,Odisha,Subarnapur,64,49,0,0,
2020-07-23,Odisha,Subarnapur,64,49,0,0,
2020-07-24,Odisha,Subarnapur,68,49,0,0,
2020-07-25,Odisha,Subarnapur,69,54,0,0,
2020-07-26,Odisha,Subarnapur,74,55,0,0,
2020-07-27,Odisha,Subarnapur,78,55,0,0,
2020-07-28,Odisha,Subarnapur,80,55,0,0,
2020-07-29,Odisha,Subarnapur,82,55,0,0,
2020-07-30,Odisha,Subarnapur,86,55,0,0,
2020-07-31,Odisha,Subarnapur,91,56,0,0,
