Date,State,District,Confirmed,Recovered,Deceased,Other,Tested
2020-04-26,Odisha,Sundargarh,6,3,0,0,
2020-04-27,Odisha,Sundargarh,10,3,0,0,
2020-04-28,Odisha,Sundargarh,10,3,0,0,
2020-04-29,Odisha,Sundargarh,10,3,0,0,
2020-04-30,Odisha,Sundargarh,10,5,0,0,
2020-05-01,Odisha,Sundargarh,10,5,0,0,
2020-05-02,Odisha,Sundargarh,10,5,0,0,
2020-05-03,Odisha,Sundargarh,10,5,0,0,
2020-05-04,Odisha,Sundargarh,11,5,0,0,
2020-05-05,Odisha,Sundargarh,12,5,0,0,
2020-05-06,Odisha,Sundargarh,12,5,0,0,
2020-05-07,Odisha,Sundargarh,12,5,0,0,
2020-05-08,Odisha,Sundargarh,12,6,0,0,
2020-05-09,Odisha,Sundargarh,13,6,0,0,
2020-05-10,Odisha,Sundargarh,13,6,0,0,
2020-05-11,Odisha,Sundargarh,16,10,0,0,
2020-05-12,Odisha,Sundargarh,16,10,0,0,
2020-05-13,Odisha,Sundargarh,23,12,0,0,
2020-05-14,Odisha,Sundargarh,26,12,0,0,
2020-05-15,Odisha,Sundargarh,26,12,0,0,
2020-05-16,Odisha,Sundargarh,26,12,0,0,
2020-05-17,Odisha,Sundargarh,27,12,0,0,
2020-05-18,Odisha,Sundargarh,27,13,0,0,
2020-05-19,Odisha,Sundargarh,27,13,0,0,
2020-05-20,Odisha,Sundargarh,27,14,0,0,
2020-05-21,Odisha,Sundargarh,27,15,0,0,
2020-05-22,Odisha,Sundargarh,28,23,0,0,
2020-05-23,Odisha,Sundargarh,33,25,0,0,
2020-05-24,Odisha,Sundargarh,37,25,0,0,
2020-05-25,Odisha,Sundargarh,37,26,0,0,
2020-05-26,Odisha,Sundargarh,37,27,0,0,
2020-05-27,Odisha,Sundargarh,39,27,0,0,
2020-05-28,Odisha,Sundargarh,39,27,0,0,
2020-05-29,Odisha,Sundargarh,41,27,0,0,
2020-05-30,Odisha,Sundargarh,48,27,0,0,
2020-05-31,Odisha,Sundargarh,54,28,0,0,
2020-06-01,Odisha,Sundargarh,57,33,0,0,
2020-06-02,Odisha,Sundargarh,65,36,0,0,
2020-06-03,Odisha,Sundargarh,69,39,0,0,
2020-06-04,Odisha,Sundargarh,74,39,0,0,
2020-06-05,Odisha,Sundargarh,81,40,0,0,
2020-06-06,Odisha,Sundargarh,81,50,0,0,
2020-06-07,Odisha,Sundargarh,99,56,0,0,
2020-06-08,Odisha,Sundargarh,111,57,0,0,
2020-06-09,Odisha,Sundargarh,118,65,0,0,
2020-06-10,Odisha,Sundargarh,118,69,0,0,
2020-06-11,Odisha,Sundargarh,118,74,0,0,
2020-06-12,Odisha,Sundargarh,122,81,0,0,
2020-06-13,Odisha,Sundargarh,123,81,0,0,
2020-06-14,Odisha,Sundargarh,126,111,0,0,
2020-06-15,Odisha,Sundargarh,130,111,0,0,
2020-06-16,Odisha,Sundargarh,132,118,0,0,
2020-06-17,Odisha,Sundargarh,137,118,0,0,
2020-06-18,Odisha,Sundargarh,140,119,0,0,
2020-06-19,Odisha,Sundargarh,146,124,0,0,
2020-06-20,Odisha,Sundargarh,146,125,0,0,
2020-06-21,Odisha,Sundargarh,147,126,0,0,
2020-06-22,Odisha,Sundargarh,159,127,0,0,
2020-06-23,Odisha,Sundargarh,163,130,0,0,
2020-06-24,Odisha,Sundargarh,164,133,0,0,
2020-06-25,Odisha,Sundargarh,170,141,0,0,
2020-06-26,Odisha,Sundargarh,181,142,0,0,
2020-06-27,Odisha,Sundargarh,181,146,0,0,
2020-06-28,Odisha,Sundargarh,185,146,0,0,
2020-06-29,Odisha,Sundargarh,191,147,0,0,
2020-06-30,Odisha,Sundargarh,193,157,0,0,
2020-07-01,Odisha,Sundargarh,200,160,0,0,
2020-07-02,Odisha,Sundargarh,217,164,0,0,
2020-07-03,Odisha,Sundargarh,220,176,0,0,
2020-07-04,Odisha,Sundargarh,256,180,0,0,
2020-07-05,Odisha,Sundargarh,322,181,1,0,
2020-07-06,Odisha,Sundargarh,342,185,1,0,
2020-07-07,Odisha,Sundargarh,393,185,1,0,
2020-07-08,Odisha,Sundargarh,471,185,1,0,
2020-07-09,Odisha,Sundargarh,554,185,1,0,
2020-07-10,Odisha,Sundargarh,616,209,2,0,
2020-07-11,Odisha,Sundargarh,660,209,2,0,
2020-07-12,Odisha,Sundargarh,668,247,2,0,
2020-07-13,Odisha,Sundargarh,673,318,2,0,
2020-07-14,Odisha,Sundargarh,725,453,3,0,
2020-07-15,Odisha,Sundargarh,740,537,3,0,
2020-07-16,Odisha,Sundargarh,750,583,3,0,
2020-07-17,Odisha,Sundargarh,760,624,3,0,
2020-07-18,Odisha,Sundargarh,778,639,3,0,
2020-07-19,Odisha,Sundargarh,795,676,4,0,
2020-07-20,Odisha,Sundargarh,806,714,4,0,
2020-07-21,Odisha,Sundargarh,828,721,5,0,
2020-07-22,Odisha,Sundargarh,857,727,5,0,
2020-07-23,Odisha,Sundargarh,917,731,5,0,
2020-07-24,Odisha,Sundargarh,973,734,5,0,
2020-07-25,Odisha,Sundargarh,1020,741,7,0,
2020-07-26,Odisha,Sundargarh,1053,751,8,0,
2020-07-27,Odisha,Sundargarh,1110,763,9,0,
2020-07-28,Odisha,Sundargarh,1112,764,9,0,
2020-07-29,Odisha,Sundargarh,1224,778,9,0,
2020-07-30,Odisha,Sundargarh,1298,802,10,0,
2020-07-31,Odisha,Sundargarh,1373,826,11,0,
2020-08-01,Odisha,Sundargarh,1435,884,12,0,
2020-08-02,Odisha,Sundargarh,1511,916,13,0,
2020-08-03,Odisha,Sundargarh,1557,938,13,0,
2020-08-04,Odisha,Sundargarh,1621,1060,13,0,
2020-08-05,Odisha,Sundargarh,1704,1182,14,0,
2020-08-06,Odisha,Sundargarh,1882,1258,16,0,
2020-08-07,Odisha,Sundargarh,1992,1364,19,0,
2020-08-08,Odisha,Sundargarh,2110,1423,20,0,
2020-08-09,Odisha,Sundargarh,2236,1427,20,0,
2020-08-10,Odisha,Sundargarh,2362,1459,22,0,
2020-08-11,Odisha,Sundargarh,2453,1489,23,0,
2020-08-12,Odisha,Sundargarh,2572,1652,23,0,
2020-08-13,Odisha,Sundargarh,2717,1709,24,0,
2020-08-14,Odisha,Sundargarh,2805,1772,25,0,
2020-08-15,Odisha,Sundargarh,2961,1861,25,0,
2020-08-16,Odisha,Sundargarh,3122,1979,25,0,
2020-08-17,Odisha,Sundargarh,3258,2090,26,0,
2020-08-18,Odisha,Sundargarh,3322,2268,26,0,
2020-08-19,Odisha,Sundargarh,3477,2309,28,0,
2020-08-20,Odisha,Sundargarh,3578,2400,28,0,
2020-08-21,Odisha,Sundargarh,3681,2508,28,0,
2020-08-22,Odisha,Sundargarh,3738,2576,30,0,
2020-08-23,Odisha,Sundargarh,3808,2754,30,0,
2020-08-24,Odisha,Sundargarh,3889,2892,32,0,
2020-08-25,Odisha,Sundargarh,3933,2965,34,0,
2020-08-26,Odisha,Sundargarh,4087,3226,37,0,
2020-08-27,Odisha,Sundargarh,4188,3298,37,0,
2020-08-28,Odisha,Sundargarh,4215,3313,37,0,
2020-08-29,Odisha,Sundargarh,4309,3391,38,0,
2020-08-30,Odisha,Sundargarh,4400,3433,39,0,
2020-08-31,Odisha,Sundargarh,4419,3650,40,0,
2020-09-01,Odisha,Sundargarh,4475,3736,40,0,
2020-09-02,Odisha,Sundargarh,4535,3823,40,0,
2020-09-03,Odisha,Sundargarh,4630,3927,40,0,
2020-09-04,Odisha,Sundargarh,4757,3995,40,0,
2020-09-05,Odisha,Sundargarh,4813,4033,41,0,
2020-09-06,Odisha,Sundargarh,4847,4063,42,0,
2020-09-07,Odisha,Sundargarh,4943,4160,42,0,
2020-09-08,Odisha,Sundargarh,5007,4183,42,0,
2020-09-09,Odisha,Sundargarh,5164,4241,42,0,
2020-09-10,Odisha,Sundargarh,5262,4275,42,0,
2020-09-11,Odisha,Sundargarh,5350,4542,42,0,
2020-09-12,Odisha,Sundargarh,5498,4621,42,0,
2020-09-13,Odisha,Sundargarh,5533,4741,42,0,
2020-09-14,Odisha,Sundargarh,5728,4811,42,0,
2020-09-15,Odisha,Sundargarh,5812,4895,42,0,
2020-09-16,Odisha,Sundargarh,5850,4959,43,0,
2020-09-17,Odisha,Sundargarh,6004,5066,43,0,
2020-09-18,Odisha,Sundargarh,6170,5089,43,0,
2020-09-19,Odisha,Sundargarh,6291,5244,43,0,
2020-09-20,Odisha,Sundargarh,6414,5334,43,0,
2020-09-21,Odisha,Sundargarh,6547,5470,43,0,
2020-09-22,Odisha,Sundargarh,6748,5580,43,0,
2020-09-23,Odisha,Sundargarh,6849,5762,43,0,
2020-09-24,Odisha,Sundargarh,6987,5824,43,0,
2020-09-25,Odisha,Sundargarh,7067,5952,43,0,
2020-09-26,Odisha,Sundargarh,7168,6119,43,0,
2020-09-27,Odisha,Sundargarh,7271,6256,43,0,
2020-09-28,Odisha,Sundargarh,7372,6324,43,0,
2020-09-29,Odisha,Sundargarh,7434,6443,44,0,
2020-09-30,Odisha,Sundargarh,7515,6498,44,0,
2020-10-01,Odisha,Sundargarh,7588,6731,44,0,
2020-10-02,Odisha,Sundargarh,7677,6829,44,0,
2020-10-03,Odisha,Sundargarh,7775,6996,44,0,
2020-10-04,Odisha,Sundargarh,7868,7112,44,0,
2020-10-05,Odisha,Sundargarh,7959,7194,45,0,
2020-10-06,Odisha,Sundargarh,8047,7304,45,0,
2020-10-07,Odisha,Sundargarh,8148,7358,47,0,
2020-10-08,Odisha,Sundargarh,8253,7421,48,0,
2020-10-09,Odisha,Sundargarh,8373,7487,48,0,
2020-10-10,Odisha,Sundargarh,8516,7608,49,0,
2020-10-11,Odisha,Sundargarh,8677,7680,49,0,
2020-10-12,Odisha,Sundargarh,8872,7791,51,0,
2020-10-13,Odisha,Sundargarh,9022,7868,53,0,
2020-10-14,Odisha,Sundargarh,9208,7939,54,0,
2020-10-15,Odisha,Sundargarh,9369,8045,57,0,
2020-10-16,Odisha,Sundargarh,9506,8130,58,0,
2020-10-17,Odisha,Sundargarh,9646,8221,59,0,
2020-10-18,Odisha,Sundargarh,9745,8392,59,0,
2020-10-19,Odisha,Sundargarh,9843,8546,59,0,
2020-10-20,Odisha,Sundargarh,9943,8671,59,0,
2020-10-21,Odisha,Sundargarh,10047,8877,59,0,
2020-10-22,Odisha,Sundargarh,10146,8991,60,0,
2020-10-23,Odisha,Sundargarh,10245,9100,60,0,
2020-10-24,Odisha,Sundargarh,10355,9328,62,0,
